Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1209,15.0934,0.4309,0.81
10,0.1123,15.4152,0.4893,3.10
20,0.1083,15.5707,0.5011,4.60
30,0.1081,15.5798,0.5014,4.94
40,0.1112,15.4573,0.4983,6.01
50,0.1074,15.6068,0.5100,7.54
60,0.1093,15.5310,0.5115,8.14
70,0.1084,15.5656,0.5128,8.52
80,0.1035,15.7690,0.5159,9.31
90,0.0874,16.5043,0.5227,9.82
100,0.0838,16.6835,0.5220,9.87
110,0.0862,16.5621,0.5142,10.25
120,0.0735,17.2564,0.5257,12.49
130,0.0638,17.8708,0.5518,12.94
140,0.0617,18.0177,0.5662,13.40
150,0.0634,17.8955,0.5682,14.01
160,0.0634,17.8955,0.5682,14.01
170,0.0634,17.8951,0.5684,14.04
180,0.0634,17.8951,0.5684,14.04
190,0.0634,17.8951,0.5684,14.04
200,0.0639,17.8632,0.5650,13.81
210,0.0659,17.7308,0.5539,12.90
220,0.0638,17.8669,0.5555,12.80
230,0.0639,17.8606,0.5491,11.96
240,0.0701,17.4605,0.5213,9.96
250,0.0702,17.4558,0.5199,9.77
260,0.0699,17.4752,0.5175,9.80
270,0.0724,17.3194,0.5155,9.43
280,0.0727,17.3040,0.5134,9.19
290,0.0781,16.9904,0.5141,10.01
300,0.0706,17.4308,0.5480,12.03
310,0.0716,17.3686,0.5474,12.34
320,0.0713,17.3885,0.5431,12.43
330,0.0707,17.4215,0.5535,12.54
340,0.0711,17.4017,0.5376,13.79
350,0.0769,17.0560,0.5223,14.27
360,0.0781,16.9886,0.5057,13.16
370,0.0791,16.9341,0.5178,13.51
380,0.0880,16.4715,0.5125,12.79
390,0.0888,16.4326,0.5132,12.66
400,0.0907,16.3402,0.5103,12.38
410,0.0886,16.4439,0.5115,12.37
420,0.0888,16.4333,0.5107,12.09
430,0.0891,16.4199,0.5094,11.62
440,0.1023,15.8198,0.5129,10.28
450,0.1101,15.4990,0.5138,9.24
460,0.1055,15.6855,0.5073,10.21
470,0.0875,16.4974,0.5091,10.70
480,0.0848,16.6354,0.5098,10.98
490,0.0848,16.6317,0.5084,10.81
500,0.3093,11.0477,0.2363,10.34
510,0.3076,11.0722,0.2398,10.07
520,0.3077,11.0704,0.2417,10.07
530,0.3010,11.1661,0.2497,10.07
540,0.3004,11.1751,0.2500,10.07
550,0.3001,11.1790,0.2505,10.01
560,0.3006,11.1720,0.2538,9.80
570,0.2934,11.2783,0.2617,9.47
580,0.2973,11.2204,0.2656,9.49
590,0.2774,11.5206,0.2738,9.50
600,0.2703,11.6330,0.2797,8.44
610,0.2273,12.3861,0.2922,9.27
620,0.2308,12.3199,0.3033,11.53
630,0.2034,12.8687,0.3170,12.51
640,0.2137,12.6549,0.3238,13.55
650,0.1868,13.2388,0.3435,14.12
660,0.1849,13.2835,0.3457,14.42
670,0.1838,13.3091,0.3565,15.41
680,0.1829,13.3297,0.3615,15.90
690,0.1827,13.3356,0.3593,16.27
700,0.1836,13.3131,0.3670,17.10
710,0.1868,13.2374,0.3677,17.23
720,0.1871,13.2323,0.3650,16.90
730,0.1884,13.2015,0.3617,16.56
740,0.1951,13.0504,0.3557,16.43
750,0.1950,13.0516,0.3536,16.15
760,0.1940,13.0742,0.3512,14.84
770,0.2041,12.8534,0.3418,13.98
780,0.2051,12.8318,0.3271,12.77
790,0.2069,12.7938,0.3238,12.56
800,0.2232,12.4646,0.3111,11.85
810,0.2695,11.6466,0.2637,9.55
820,0.2829,11.4363,0.2582,8.86
830,0.2832,11.4317,0.2577,8.85
840,0.3006,11.1719,0.2531,8.17
850,0.3039,11.1255,0.2509,8.16
860,0.3072,11.0784,0.2454,7.81
870,0.2967,11.2289,0.2516,8.17
880,0.3021,11.1511,0.2509,7.92
890,0.2872,11.3706,0.2542,8.14
900,0.2873,11.3686,0.2534,8.16
910,0.2885,11.3508,0.2522,8.33
920,0.2885,11.3508,0.2522,8.33
930,0.2887,11.3482,0.2523,8.35
940,0.2890,11.3432,0.2549,8.48
950,0.2890,11.3431,0.2560,8.36
960,0.2883,11.3537,0.2614,8.70
970,0.2887,11.3482,0.2617,8.71
980,0.2887,11.3485,0.2617,8.74
990,0.3019,11.1535,0.2561,8.38
