Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1121,15.4200,0.4568,0.81
10,0.1120,15.4263,0.4516,2.51
20,0.1120,15.4239,0.4501,3.19
30,0.1130,15.3885,0.4466,3.35
40,0.1123,15.4150,0.4469,3.94
50,0.1095,15.5234,0.4686,5.92
60,0.1104,15.4887,0.4626,6.62
70,0.1110,15.4647,0.4562,7.60
80,0.1125,15.4076,0.4465,7.69
90,0.1115,15.4466,0.4459,8.60
100,0.1133,15.3760,0.4310,9.71
110,0.1097,15.5138,0.4549,9.88
120,0.1118,15.4351,0.4464,10.65
130,0.1119,15.4276,0.4469,10.85
140,0.1112,15.4554,0.4480,11.21
150,0.1123,15.4158,0.4427,11.42
160,0.1116,15.4408,0.4475,11.46
170,0.1115,15.4453,0.4486,11.52
180,0.1113,15.4541,0.4583,11.52
190,0.1105,15.4849,0.4600,11.56
200,0.1108,15.4738,0.4527,11.75
210,0.1128,15.3929,0.4429,12.54
220,0.1102,15.4941,0.4518,11.95
230,0.1105,15.4853,0.4529,12.24
240,0.1113,15.4511,0.4409,12.18
250,0.1120,15.4248,0.4391,14.53
260,0.1193,15.1512,0.4087,16.74
270,0.1106,15.4813,0.4013,17.78
280,0.1101,15.5000,0.4101,17.67
290,0.1111,15.4604,0.3968,19.59
300,0.1113,15.4540,0.3979,20.28
310,0.1100,15.5056,0.3983,20.26
320,0.1084,15.5690,0.4062,19.55
330,0.1079,15.5871,0.4188,18.21
340,0.1075,15.6043,0.4101,17.85
350,0.1097,15.5165,0.4150,17.30
360,0.1076,15.6012,0.4147,16.88
370,0.1087,15.5553,0.4089,16.73
380,0.1120,15.4273,0.4219,15.89
390,0.1109,15.4692,0.4100,14.65
400,0.1099,15.5078,0.4192,14.81
410,0.1109,15.4677,0.4144,14.41
420,0.1116,15.4426,0.4154,14.41
430,0.1102,15.4973,0.4118,14.19
440,0.1091,15.5376,0.4105,15.09
450,0.1088,15.5510,0.4158,15.42
460,0.1083,15.5721,0.4222,15.06
470,0.1148,15.3172,0.4186,15.05
480,0.1147,15.3237,0.4138,14.81
490,0.1130,15.3882,0.4270,14.78
500,0.3523,10.4834,0.1916,14.37
510,0.3533,10.4709,0.1938,14.40
520,0.3536,10.4674,0.1955,13.90
530,0.3517,10.4909,0.1934,13.95
540,0.3495,10.5178,0.2006,14.98
550,0.3494,10.5186,0.2059,15.54
560,0.3502,10.5094,0.2064,15.45
570,0.3525,10.4806,0.2123,14.05
580,0.3541,10.4608,0.2115,14.40
590,0.3540,10.4619,0.2101,14.84
600,0.3532,10.4715,0.2131,14.01
610,0.3506,10.5047,0.2130,12.57
620,0.3382,10.6605,0.2243,11.87
630,0.2773,11.5224,0.2416,13.31
640,0.2307,12.3212,0.2542,14.12
650,0.2420,12.1138,0.2494,16.16
660,0.2218,12.4925,0.2663,16.65
670,0.2147,12.6334,0.2765,16.35
680,0.2166,12.5950,0.2717,16.34
690,0.2145,12.6379,0.2735,15.85
700,0.2147,12.6346,0.2668,15.24
710,0.2079,12.7747,0.2783,15.19
720,0.1994,12.9554,0.2828,15.58
730,0.1971,13.0060,0.2790,15.94
740,0.1934,13.0873,0.2937,17.16
750,0.1957,13.0366,0.2993,18.26
760,0.2047,12.8411,0.2788,18.88
770,0.2119,12.6915,0.2869,19.34
780,0.2155,12.6171,0.2751,18.91
790,0.2262,12.4079,0.2646,18.49
800,0.2028,12.8808,0.2829,18.07
810,0.2021,12.8974,0.2888,18.20
820,0.2049,12.8361,0.2788,17.79
830,0.2020,12.8983,0.2825,18.17
840,0.2058,12.8173,0.2791,17.73
850,0.2133,12.6626,0.2726,17.48
860,0.2113,12.7025,0.2755,18.15
870,0.2105,12.7198,0.2823,17.96
880,0.2325,12.2872,0.2618,16.99
890,0.2359,12.2248,0.2504,16.50
900,0.2408,12.1358,0.2475,15.99
910,0.2489,11.9913,0.2391,14.93
920,0.2474,12.0178,0.2387,14.24
930,0.2569,11.8553,0.2308,13.73
940,0.2587,11.8237,0.2291,14.25
950,0.2560,11.8701,0.2290,14.88
960,0.2582,11.8329,0.2214,13.87
970,0.2579,11.8374,0.2202,13.60
980,0.2580,11.8352,0.2217,13.45
990,0.2630,11.7527,0.2181,12.04
