Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
1,94,1.38497,0.88921,0.02390,0.0116,28.5056,0.9019
1,95,1.39626,0.89568,0.02474,0.0145,27.2251,0.9034
1,96,1.36017,1.15163,0.04117,0.0299,23.7368,0.8812
1,97,1.38647,1.02413,0.02652,0.0138,27.1170,0.8990
1,98,1.36608,1.07559,0.03422,0.0239,25.0441,0.8947
1,99,1.36863,1.09979,0.04015,0.0275,23.6619,0.8769
1,100,1.39604,0.98822,0.02664,0.0153,25.8930,0.9068
1,101,1.39232,0.98211,0.03122,0.0189,25.1211,0.8967
1,102,1.39438,1.05624,0.03786,0.0235,24.6394,0.8905
1,103,1.37433,1.14171,0.04193,0.0315,22.6328,0.8744
1,104,1.37783,1.06737,0.03177,0.0152,25.6989,0.8967
1,105,1.38484,0.97283,0.02883,0.0167,26.6154,0.8891
1,106,1.38823,0.93921,0.02678,0.0146,26.7610,0.8936
1,107,1.36710,1.10099,0.03692,0.0240,24.6511,0.8809
1,108,1.37744,0.99993,0.02751,0.0146,27.3573,0.9083
1,109,1.36574,0.96859,0.02829,0.0187,25.8905,0.9123
1,110,1.37674,0.99291,0.02745,0.0163,25.8699,0.9038
1,111,1.38220,0.98356,0.02908,0.0169,27.1622,0.8917
1,112,1.38534,0.99645,0.02632,0.0147,26.2025,0.9022
1,113,1.37159,0.99793,0.02762,0.0179,25.4578,0.9030
1,114,1.35809,1.02551,0.02990,0.0200,26.2051,0.8974
1,115,1.37166,1.00395,0.02985,0.0182,26.3915,0.8872
1,116,1.38202,1.05917,0.03334,0.0200,25.3845,0.8855
1,117,1.38643,0.94840,0.02366,0.0135,27.4725,0.9186
1,118,1.37530,0.95737,0.02815,0.0171,26.7719,0.8995
1,119,1.36197,0.99953,0.02463,0.0135,27.1258,0.9000
1,120,1.38818,1.06345,0.03479,0.0242,24.2799,0.8837
1,121,1.41638,0.97753,0.02651,0.0150,25.4981,0.8922
1,122,1.37803,1.02716,0.02987,0.0145,26.0435,0.8936
1,123,1.35501,1.05391,0.03555,0.0248,24.5353,0.8919
1,124,1.38835,0.94572,0.02242,0.0114,28.7636,0.9143
1,125,1.38263,1.02955,0.03492,0.0225,24.2315,0.8891
1,126,1.35748,1.04342,0.03119,0.0194,25.2484,0.9015
1,127,1.35765,1.05824,0.03330,0.0249,26.5845,0.9009
1,128,1.36118,1.03990,0.03334,0.0240,25.2399,0.9010
1,129,1.35902,1.08099,0.03314,0.0228,25.7847,0.8850
1,130,1.39187,0.95556,0.02674,0.0134,25.8994,0.9022
1,131,1.37945,0.93949,0.02545,0.0139,25.9499,0.9104
1,132,1.35483,1.06555,0.03048,0.0170,25.6759,0.8911
1,133,1.37661,1.01637,0.03086,0.0171,25.0197,0.8864
1,134,1.37281,1.05292,0.02929,0.0184,25.3161,0.8942
1,135,1.39133,0.93060,0.02275,0.0117,27.3930,0.9042
1,136,1.30441,1.12110,0.03788,0.0281,23.7576,0.8824
1,137,1.36710,0.97075,0.02510,0.0149,26.8583,0.9036
1,138,1.31857,0.97584,0.02371,0.0123,27.8514,0.8980
1,139,1.39653,1.00880,0.02833,0.0154,25.3551,0.8950
1,140,1.35453,1.06710,0.02912,0.0153,25.9733,0.8793
1,141,1.32111,1.09814,0.03480,0.0245,24.9729,0.8762
1,142,1.34944,1.07619,0.03165,0.0222,25.2163,0.8977
1,143,1.40746,1.00524,0.02700,0.0166,25.8644,0.9064
1,144,1.41949,1.02008,0.02790,0.0162,26.4588,0.9069
1,145,1.40105,0.93694,0.02611,0.0159,26.7701,0.9129
1,146,1.39817,0.94289,0.03133,0.0199,24.3736,0.8955
1,147,1.35395,1.11081,0.03272,0.0160,25.1783,0.8857
1,148,1.36596,1.01530,0.02995,0.0179,25.0302,0.8926
1,149,1.30088,1.16966,0.03195,0.0206,25.4035,0.8775
1,150,1.28189,1.18040,0.04058,0.0301,23.2652,0.8658
1,151,1.35142,1.05105,0.03368,0.0179,24.9001,0.8798
1,152,1.33397,1.09552,0.02825,0.0167,26.4533,0.8842
2,1,1.35067,1.02575,0.03151,0.0168,24.6692,0.8850
2,2,1.39427,0.90619,0.01952,0.0099,28.2391,0.9173
2,3,1.35652,0.97385,0.02540,0.0132,26.9561,0.9098
2,4,1.27868,1.10367,0.02946,0.0169,25.0383,0.8915
2,5,1.26345,1.11489,0.03155,0.0195,24.7771,0.8819
2,6,1.33105,1.05565,0.02864,0.0162,25.8914,0.8912
2,7,1.35629,1.13217,0.03477,0.0227,24.1891,0.8772
2,8,1.26668,1.20532,0.03293,0.0198,25.3556,0.8768
2,9,1.31931,1.07425,0.03467,0.0210,23.8600,0.8793
2,10,1.32250,1.11383,0.02897,0.0164,26.4543,0.8823
2,11,1.37578,1.01219,0.02753,0.0158,27.1190,0.9001
2,12,1.36938,1.03121,0.02926,0.0184,26.6802,0.8999
2,13,1.41688,0.97486,0.02757,0.0168,27.4120,0.9012
2,14,1.37224,1.02830,0.02939,0.0177,25.4515,0.8941
2,15,1.32578,1.09632,0.03327,0.0213,25.5626,0.8896
2,16,1.33873,1.04903,0.02793,0.0142,26.2997,0.8953
2,17,1.28684,1.05336,0.02071,0.0102,28.2509,0.9081
2,18,1.23622,1.17786,0.03222,0.0222,24.7328,0.8839
2,19,1.26713,1.14696,0.03705,0.0280,25.9479,0.8848
2,20,1.30702,1.04626,0.02149,0.0101,27.0982,0.9062
