Epoch,Batch,MSE,PSNR,SSIM
1,1,0.2056,6.6415,0.8799
1,2,0.2004,6.7255,0.7982
1,3,0.2011,6.7167,0.8544
1,4,0.1970,6.7937,0.7940
1,5,0.1908,6.9626,0.7168
1,6,0.1871,7.0949,0.7405
1,7,0.1822,7.1770,0.7564
1,8,0.1871,7.0203,0.7445
1,9,0.1756,7.3016,0.7026
1,10,0.1721,7.4105,0.7474
1,11,0.1720,7.3954,0.7168
1,12,0.1565,7.8333,0.6218
1,13,0.1479,8.0437,0.6556
1,14,0.1465,8.0914,0.6111
1,15,0.1450,8.1364,0.6866
1,16,0.1294,8.6288,0.7169
1,17,0.1245,8.7925,0.6311
1,18,0.1274,8.7190,0.6903
1,19,0.1132,9.3219,0.7252
1,20,0.1243,9.1338,0.5091
1,21,0.1212,9.2240,0.5811
1,22,0.1259,9.0452,nan
1,23,0.0875,10.5854,0.6809
1,24,0.0852,10.7025,0.6795
1,25,0.0913,10.5487,0.7671
2,1,0.0939,10.4870,0.5286
2,2,0.0935,10.8184,0.6038
2,3,0.1027,10.6486,0.6337
2,4,0.0883,10.8685,0.6251
2,5,0.0987,10.7780,0.6526
2,6,0.1047,10.5366,nan
2,7,0.0716,12.0062,0.7021
2,8,0.0925,10.7977,0.6627
2,9,0.0905,10.8704,0.6670
2,10,0.0944,10.5287,0.7605
2,11,0.0971,10.5279,0.6681
2,12,0.0767,11.4340,0.6995
2,13,0.0837,11.2088,0.8537
2,14,0.1080,9.9621,0.5832
2,15,0.1070,10.1128,0.7428
2,16,0.0768,11.2354,0.8602
2,17,0.0902,10.7143,0.7120
2,18,0.0767,11.2349,0.6198
2,19,0.0929,10.8392,0.7362
2,20,0.0836,10.6873,0.6484
2,21,0.0845,10.9627,0.6611
2,22,0.0707,11.8522,0.8304
2,23,0.0839,10.9933,0.8253
2,24,0.0777,11.6755,0.7112
2,25,0.1239,9.7278,0.6935
3,1,0.0554,12.7752,0.7222
3,2,0.1171,10.2527,0.5965
3,3,0.0812,11.5392,0.7575
3,4,0.0690,11.6383,0.8372
3,5,0.0831,10.9546,0.5787
3,6,0.0745,11.8602,0.8002
3,7,0.0892,10.7514,0.7519
3,8,0.0832,11.1512,0.6451
3,9,0.0785,11.1694,0.7454
3,10,0.0818,11.1041,0.7402
3,11,0.0748,11.5820,0.8630
3,12,0.0990,10.3570,0.7127
3,13,0.0692,11.7709,0.8340
3,14,0.0833,10.8400,0.7561
3,15,0.0739,11.5107,0.7490
3,16,0.0888,11.0596,0.7520
3,17,0.0705,11.5424,0.7448
3,18,0.0826,10.9605,0.6840
3,19,0.0560,12.7574,0.7826
3,20,0.1028,10.2919,0.7292
3,21,0.0765,11.3584,0.8049
3,22,0.0938,10.9521,0.7196
3,23,0.1011,10.3406,0.7792
3,24,0.0779,11.6497,0.7036
3,25,0.0857,10.8836,0.8197
4,1,0.0945,10.6541,0.6431
4,2,0.0937,10.4863,0.7391
4,3,0.0950,10.6164,0.7705
4,4,0.0884,10.6307,0.7323
4,5,0.0846,10.9722,0.7070
4,6,0.0735,11.2389,0.8155
4,7,0.0729,11.3051,0.7791
4,8,0.0800,11.4134,0.8589
4,9,0.0961,10.4403,0.7247
4,10,0.0805,11.2938,0.7610
4,11,0.0705,11.6930,0.8389
4,12,0.0716,11.9145,0.7233
4,13,0.0914,10.6692,0.6692
4,14,0.0994,10.5000,0.7143
4,15,0.0912,10.6582,0.7837
4,16,0.0945,10.9843,0.7828
4,17,0.0975,10.2477,0.6256
4,18,0.0826,10.8392,0.8332
4,19,0.0865,10.4684,0.6905
4,20,0.0737,11.2700,0.8455
4,21,0.0655,11.7753,0.8300
4,22,0.0785,11.3119,0.7455
4,23,0.0907,10.9412,0.7232
4,24,0.0966,10.8775,0.8404
4,25,0.0639,12.4796,0.8305
5,1,0.0733,12.0125,0.7495
5,2,0.1119,10.1283,0.6792
5,3,0.0983,10.5916,0.7753
5,4,0.0809,11.5163,0.7288
5,5,0.0912,11.0271,0.6969
5,6,0.0829,11.1404,0.7068
5,7,0.0877,10.5253,0.7313
5,8,0.0607,11.9655,0.7915
5,9,0.0851,10.7528,0.7234
5,10,0.0813,10.9914,0.7409
5,11,0.0735,11.4252,0.8421
5,12,0.0923,10.7879,0.8221
5,13,0.0763,11.4930,0.8188
5,14,0.0668,12.2227,0.8007
5,15,0.0842,11.6379,0.6233
5,16,0.0873,11.3341,0.7356
5,17,0.0741,12.0589,0.7944
5,18,0.1102,10.4449,0.6577
5,19,0.0641,12.4550,0.7604
5,20,0.0770,11.4164,0.8075
5,21,0.0881,10.8578,0.7066
5,22,0.0984,10.6700,0.7810
5,23,0.0842,10.7471,nan
5,24,0.0971,10.4252,0.7417
5,25,0.0911,10.5154,0.6891
6,1,0.0807,10.9441,0.7865
6,2,0.0734,11.2883,nan
6,3,0.0709,11.6444,nan
6,4,0.0753,11.2296,0.7971
6,5,0.0857,10.8570,0.7760
6,6,0.0908,11.3895,0.7635
6,7,0.0805,11.5199,0.7528
6,8,0.0714,11.8496,0.8209
6,9,0.0839,10.8410,0.7561
6,10,0.0847,11.6009,0.7426
6,11,0.0863,11.3205,0.7862
6,12,0.0731,11.7002,0.8222
6,13,0.0908,10.6906,0.7263
6,14,0.0808,10.9296,0.8266
6,15,0.0762,11.1964,0.7797
6,16,0.0818,11.1173,0.7535
6,17,0.0802,11.0885,0.8043
6,18,0.0550,12.4838,0.8842
6,19,0.0758,11.6988,0.6826
6,20,0.0773,11.5178,0.7782
6,21,0.0979,10.8460,0.8053
6,22,0.0855,11.4433,nan
6,23,0.0593,12.8463,0.8282
6,24,0.0720,12.1956,0.7490
6,25,0.0971,10.6624,0.8038
7,1,0.0772,11.6038,0.6887
7,2,0.0651,11.7920,0.7943
7,3,0.0725,11.4415,0.7823
7,4,0.0812,11.0698,0.8107
7,5,0.0778,11.3396,0.7780
7,6,0.0652,12.2332,0.8538
