Epoch,Batch,MSE,PSNR,SSIM
1,1,0.2132,6.4469,0.8403
1,2,0.1900,6.9511,0.7783
1,3,0.1413,8.2490,0.8361
1,4,0.0971,10.1737,0.7374
1,5,0.1050,10.9908,0.7619
1,6,0.0897,11.1666,0.8365
1,7,0.1101,10.3711,0.8659
1,8,0.0953,10.4790,0.8805
1,9,0.0928,11.3555,0.8054
1,10,0.1067,10.1613,0.7575
1,11,0.1010,9.9348,0.7672
1,12,0.0985,9.9734,0.8104
1,13,0.0999,9.7862,0.7102
1,14,0.0929,10.1165,0.7307
1,15,0.0847,10.5991,0.7484
1,16,0.0787,10.9938,0.8398
1,17,0.0601,12.1524,0.8879
1,18,0.0664,12.4789,0.8678
1,19,0.1150,9.6579,0.7068
1,20,0.0941,10.5152,0.8299
1,21,0.0842,11.5073,0.8433
1,22,0.0768,11.9157,0.8093
1,23,0.0739,11.4716,0.8334
1,24,0.0698,11.7930,0.8045
1,25,0.0672,11.6679,0.8102
2,1,0.0675,11.4827,0.7775
2,2,0.0829,10.9208,0.8155
2,3,0.0759,11.1684,0.8298
2,4,0.0942,10.3948,0.7490
2,5,0.0676,11.6919,0.8074
2,6,0.0691,11.7729,0.8021
2,7,0.0659,12.1913,0.7680
2,8,0.0741,11.5096,0.7670
2,9,0.0783,11.2463,0.7407
2,10,0.0598,12.3726,0.8421
2,11,0.0775,11.1782,0.7881
2,12,0.0658,11.8137,0.8138
2,13,0.0896,10.8752,0.7392
2,14,0.0763,11.2293,nan
2,15,0.0609,12.0388,0.7931
2,16,0.0657,11.8681,0.7207
2,17,0.0652,11.9843,0.7768
2,18,0.0985,10.5123,0.7957
2,19,0.0691,11.8824,0.8308
2,20,0.0723,11.8393,0.8128
2,21,0.0684,11.7589,0.7546
2,22,0.0672,11.8428,0.7441
2,23,0.0599,12.1224,0.8570
2,24,0.0557,12.7045,0.8223
2,25,0.0589,12.3040,0.8068
3,1,0.0569,12.3482,0.8671
3,2,0.0532,12.9963,0.8044
3,3,0.0710,11.5457,0.8648
3,4,0.0831,11.5486,0.7486
3,5,0.0728,11.8765,0.8551
3,6,0.0555,12.4919,0.7927
3,7,0.0683,11.7326,0.8128
3,8,0.0590,12.1193,0.8182
3,9,0.0723,11.7902,0.7931
3,10,0.0630,12.1920,0.7360
3,11,0.0677,12.2448,0.7765
3,12,0.0686,12.0552,0.7728
3,13,0.0884,10.8257,0.7315
3,14,0.0666,11.7502,0.7953
3,15,0.0639,12.0093,0.7512
3,16,0.0814,10.9926,0.7150
3,17,0.0684,11.7344,0.7587
3,18,0.0692,11.8300,0.7444
3,19,0.0674,12.0445,0.8273
3,20,0.0744,11.6553,0.8041
3,21,0.0618,12.3486,0.7099
3,22,0.0788,11.0678,0.7332
3,23,0.0627,12.1142,0.7477
3,24,0.0597,12.0022,0.7760
3,25,0.0582,12.4161,0.7716
4,1,0.0731,11.4092,0.7735
4,2,0.0614,12.5358,0.7466
4,3,0.0617,12.3306,0.8387
4,4,0.0643,12.2721,0.8001
4,5,0.0584,12.1839,0.8389
4,6,0.0641,12.3063,0.7633
4,7,0.0604,12.7547,0.7977
4,8,0.0613,12.3881,0.8603
4,9,0.0788,11.0854,0.8003
4,10,0.0649,11.7709,0.8452
4,11,0.0677,11.6465,0.7194
4,12,0.0653,11.9195,0.7286
4,13,0.0628,12.0269,0.7904
4,14,0.0526,13.0888,0.7625
4,15,0.0794,11.3455,0.6306
4,16,0.0568,12.4991,0.8586
4,17,0.0600,12.7949,0.7430
