Epoch,Batch,MSE,PSNR,SSIM
7,18,0.0663,12.1051,0.7445
7,19,0.0586,12.1817,0.7535
7,20,0.0640,11.9284,0.7028
7,21,0.0500,13.0713,0.7730
7,22,0.0584,12.8385,0.7922
7,23,0.0682,12.1048,0.7320
7,24,0.0559,12.8901,0.8330
7,25,0.0451,13.3680,0.7563
8,1,0.0485,13.2097,nan
8,2,0.0660,12.4453,0.7219
8,3,0.0601,12.3078,0.7840
8,4,0.0540,12.7274,0.7483
8,5,0.0583,12.8168,0.8088
8,6,0.0574,12.5449,0.7382
8,7,0.0627,12.0861,0.8232
8,8,0.0859,11.4267,0.7615
8,9,0.0659,11.8844,0.7767
8,10,0.0709,11.7231,0.7610
8,11,0.0610,12.2472,0.7259
8,12,0.0540,12.6765,0.8454
8,13,0.0478,12.9924,0.8262
8,14,0.0641,12.4500,0.7945
8,15,0.0555,13.3408,nan
8,16,0.0738,12.1245,0.7301
8,17,0.0521,13.6901,0.7780
8,18,0.0724,12.3592,0.6469
8,19,0.0635,12.3254,0.7974
8,20,0.0584,12.8253,0.7966
8,21,0.0582,12.5078,0.7515
8,22,0.0594,12.3798,0.8070
8,23,0.0600,12.2019,0.8437
8,24,0.0621,12.3882,0.8038
8,25,0.0614,12.7276,0.8215
9,1,0.0705,12.2768,0.7493
9,2,0.0674,11.9237,0.7499
9,3,0.0515,12.9117,0.8577
9,4,0.0655,12.0985,0.7915
9,5,0.0662,12.1425,0.6981
9,6,0.0540,12.6379,0.8111
9,7,0.0605,12.2819,0.8487
9,8,0.0582,12.4134,0.7583
9,9,0.0560,12.6235,0.8384
9,10,0.0631,12.6332,0.7949
9,11,0.0670,12.3745,0.7612
9,12,0.0768,11.4066,0.7537
9,13,0.0610,12.5311,0.7840
9,14,0.0519,12.9797,0.8059
9,15,0.0537,12.5482,0.8134
9,16,0.0580,12.5545,0.7645
9,17,0.0486,13.7194,0.7931
9,18,0.0439,13.4345,0.8818
9,19,0.0664,12.4630,0.7729
9,20,0.0550,12.8355,0.8032
9,21,0.0610,12.6646,0.8482
9,22,0.0476,13.5669,0.7627
9,23,0.0802,11.9640,0.6442
9,24,0.0514,12.9748,0.7939
9,25,0.0658,12.0484,0.7810
10,1,0.0625,11.8966,0.7369
10,2,0.0491,12.9237,0.6922
10,3,0.0515,12.8832,0.7754
10,4,0.0556,12.6882,0.8446
10,5,0.0522,12.9935,0.8308
10,6,0.0526,13.2845,0.7752
10,7,0.0499,13.2528,0.8358
10,8,0.0481,13.4804,0.8573
10,9,0.0518,13.0055,0.8475
10,10,0.0807,11.5517,0.7305
10,11,0.0479,13.1807,0.8938
10,12,0.0412,13.7686,0.8140
10,13,0.0767,12.0175,0.7081
10,14,0.0617,12.5042,0.7663
10,15,0.0489,13.1842,0.7807
10,16,0.0628,12.6444,0.7896
10,17,0.0434,13.5192,0.8276
10,18,0.0802,11.6057,0.7288
10,19,0.0603,12.6462,0.7728
10,20,0.0491,13.4347,0.9081
10,21,0.0553,12.9973,0.7598
10,22,0.0507,13.1484,0.8194
10,23,0.0609,12.4334,0.7557
10,24,0.0391,13.9785,0.8061
10,25,0.0439,13.5447,0.8493
11,1,0.0567,13.0868,0.8257
11,2,0.0527,12.9740,0.8478
11,3,0.0565,13.0477,0.7643
11,4,0.0547,12.4942,0.7792
11,5,0.0518,13.4315,0.8620
11,6,0.0576,12.7756,0.8565
11,7,0.0487,13.3207,0.8351
11,8,0.0552,12.9198,0.8126
11,9,0.0507,13.2604,0.7674
11,10,0.0567,12.6568,0.7477
11,11,0.0615,12.2215,0.8242
11,12,0.0595,12.6120,0.7240
11,13,0.0613,12.5236,0.7486
11,14,0.0498,13.2340,0.8151
11,15,0.0651,12.2832,0.6870
11,16,0.0602,12.3484,0.7500
11,17,0.0453,13.6610,0.8256
11,18,0.0629,12.5173,0.6765
11,19,0.0467,13.2172,0.7868
11,20,0.0494,12.8684,0.7844
11,21,0.0544,12.8896,0.8097
11,22,0.0469,13.3024,0.9179
