Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1214,15.0757,0.4217,0.81
10,0.1112,15.4550,0.4407,2.51
20,0.1064,15.6470,0.4817,5.20
30,0.1018,15.8415,0.5103,6.62
40,0.1030,15.7909,0.5024,7.46
50,0.1040,15.7463,0.5116,7.96
60,0.0982,15.9980,0.5200,8.59
70,0.0993,15.9491,0.5196,8.85
80,0.0983,15.9923,0.5196,9.41
90,0.0952,16.1334,0.5296,10.07
100,0.0860,16.5724,0.5904,12.14
110,0.0861,16.5678,0.5954,13.04
120,0.0857,16.5873,0.5961,13.15
130,0.0877,16.4887,0.5843,12.42
140,0.0879,16.4779,0.5771,12.28
150,0.0896,16.3964,0.5719,11.97
160,0.0871,16.5199,0.5810,13.29
170,0.0856,16.5923,0.5849,13.53
180,0.0852,16.6156,0.5854,13.53
190,0.0846,16.6443,0.5895,13.85
200,0.0871,16.5159,0.5834,13.76
210,0.0591,18.2015,0.6096,15.45
220,0.0620,17.9905,0.6059,15.33
230,0.0577,18.3078,0.6226,16.11
240,0.0451,19.3717,0.6506,17.14
250,0.0448,19.4009,0.6517,17.90
260,0.0489,19.0254,0.6474,17.24
270,0.0514,18.8058,0.6396,17.09
280,0.0507,18.8700,0.6371,16.72
290,0.0558,18.4531,0.6126,16.29
300,0.0539,18.6035,0.6267,16.39
310,0.0550,18.5140,0.6130,16.31
320,0.0530,18.6723,0.6338,17.38
330,0.0542,18.5762,0.6184,17.76
340,0.0527,18.7034,0.6364,18.25
350,0.0537,18.6189,0.6263,18.35
360,0.0499,18.9375,0.6210,17.77
370,0.0509,18.8527,0.6329,18.72
380,0.0514,18.8115,0.6319,18.38
390,0.0550,18.5166,0.6111,18.24
400,0.0554,18.4819,0.5972,17.00
410,0.0564,18.4021,0.5925,16.83
420,0.0582,18.2701,0.5729,16.09
430,0.0562,18.4187,0.5724,16.22
440,0.0615,18.0302,0.5895,16.58
450,0.0652,17.7733,0.5855,15.17
460,0.0677,17.6121,0.5789,14.77
470,0.0672,17.6467,0.5833,14.97
480,0.0674,17.6337,0.5716,14.58
490,0.0888,16.4322,0.5696,13.83
500,0.3253,10.8297,0.2338,13.13
510,0.2468,12.0283,0.2674,14.62
520,0.2400,12.1495,0.2887,16.25
530,0.2249,12.4317,0.3016,16.86
540,0.2094,12.7423,0.3284,18.25
550,0.2113,12.7035,0.3348,18.56
560,0.2023,12.8929,0.3393,18.65
570,0.2028,12.8823,0.3422,17.74
580,0.2098,12.7332,0.3432,18.22
590,0.2093,12.7439,0.3437,17.80
600,0.2094,12.7418,0.3426,16.38
610,0.2090,12.7505,0.3395,15.87
620,0.2097,12.7371,0.3317,15.30
630,0.2098,12.7345,0.3329,15.40
640,0.2253,12.4254,0.3105,15.14
650,0.2253,12.4245,0.3100,14.65
660,0.2200,12.5289,0.2986,13.51
670,0.2146,12.6367,0.2964,12.76
680,0.2119,12.6908,0.2784,12.20
690,0.2211,12.5067,0.2864,12.69
700,0.2018,12.9034,0.2979,13.40
710,0.2000,12.9409,0.3042,13.66
720,0.2152,12.6234,0.3142,14.31
730,0.1883,13.2029,0.3216,14.25
740,0.1831,13.3258,0.3303,14.01
750,0.1916,13.1284,0.3322,14.31
760,0.1935,13.0856,0.3269,13.89
770,0.1955,13.0401,0.3207,13.33
780,0.1975,12.9955,0.3123,12.75
790,0.1983,12.9800,0.3139,12.67
800,0.1611,13.8806,0.3285,13.74
810,0.2023,12.8932,0.3268,14.40
820,0.1726,13.5811,0.3313,15.77
830,0.1707,13.6296,0.3401,16.35
840,0.1746,13.5314,0.3395,16.25
850,0.1936,13.0832,0.3408,17.13
860,0.1949,13.0547,0.3455,17.66
870,0.2151,12.6262,0.3436,17.73
880,0.1769,13.4742,0.3556,18.15
890,0.1791,13.4201,0.3499,17.54
900,0.1794,13.4137,0.3461,17.07
910,0.1820,13.3510,0.3359,15.84
920,0.1604,13.8996,0.3434,15.72
930,0.1551,14.0457,0.3510,16.13
940,0.1709,13.6252,0.3476,16.24
950,0.1606,13.8934,0.3533,16.95
960,0.1421,14.4259,0.3736,18.00
970,0.1324,14.7335,0.4044,18.52
980,0.1285,14.8640,0.4013,17.98
990,0.1388,14.5297,0.3736,16.10
