Epoch,Batch,MSE,PSNR,SSIM
1,1,0.2324,6.1207,0.7538
1,2,0.2249,6.2929,0.8305
1,3,0.2189,6.4183,0.7204
1,4,0.2185,6.4252,0.8005
1,5,0.2333,6.1383,0.7553
1,6,0.2175,6.4221,0.8039
1,7,0.2182,6.3733,0.6826
1,8,0.2094,6.6228,0.7059
1,9,0.1992,6.8054,0.7118
1,10,0.1838,7.1480,0.6341
1,11,0.1749,7.2983,0.6955
1,12,0.1679,7.5059,0.7532
1,13,0.1481,8.0497,0.5771
1,14,0.1404,8.2546,0.8041
1,15,0.1315,8.5849,0.5234
1,16,0.1279,8.7075,0.7217
1,17,0.1034,9.6367,0.6649
1,18,0.1011,9.8517,0.7310
1,19,0.1103,9.5665,0.7906
1,20,0.1051,10.0170,0.7226
1,21,0.1069,10.4355,0.7051
1,22,0.0864,11.0467,0.8143
1,23,0.0983,11.0441,0.7113
1,24,0.0823,11.7571,0.6456
1,25,0.1035,11.3746,0.6674
2,1,0.0941,10.9326,0.6683
2,2,0.1059,11.7013,0.6874
2,3,0.0769,11.9602,0.6788
2,4,0.1289,10.2367,0.7306
2,5,0.1120,10.1575,0.6572
2,6,0.1198,9.6452,0.7639
2,7,0.1239,10.3592,0.6833
2,8,0.0956,10.8301,0.7250
2,9,0.1096,10.2750,0.6793
2,10,0.0911,10.8677,0.6937
2,11,0.1021,10.2701,0.6438
2,12,0.0933,10.9060,0.8360
2,13,0.1067,10.4511,0.6155
2,14,0.1038,10.0597,0.5442
2,15,0.0753,11.4944,0.8198
2,16,0.1098,9.9791,0.5543
2,17,0.0955,10.3538,0.6247
2,18,0.0883,10.8994,0.7690
2,19,0.0925,10.2593,0.7042
2,20,0.0764,11.4585,0.7154
2,21,0.1197,9.5664,0.6469
2,22,0.0873,10.9972,0.8020
2,23,0.0883,10.4883,0.7029
2,24,0.0880,10.5086,0.7002
2,25,0.1018,10.2033,0.7217
3,1,0.0787,11.1521,0.6817
3,2,0.1043,10.2430,0.7218
3,3,0.0914,10.5315,0.7517
3,4,0.0875,10.8697,0.6593
3,5,0.0813,10.9964,0.8140
3,6,0.0862,10.7620,0.6892
3,7,0.0905,10.4779,0.6340
3,8,0.0881,10.5519,0.7753
3,9,0.0809,11.0816,0.7054
3,10,0.0976,10.4539,0.7414
3,11,0.0979,10.7610,0.7297
3,12,0.0803,11.2879,0.6866
3,13,0.0994,10.5594,0.7262
3,14,0.1081,10.1771,0.7994
3,15,0.0890,10.3921,0.6231
3,16,0.1140,9.9680,0.6866
3,17,0.0997,10.1587,0.5941
3,18,0.1123,9.5341,0.6684
3,19,0.0843,10.8010,0.7251
3,20,0.0905,10.4942,0.6498
3,21,0.0903,10.7084,0.7339
3,22,0.0936,10.5633,0.7386
3,23,0.0710,11.5325,0.6654
3,24,0.0969,10.6243,0.7479
3,25,0.0490,13.1244,nan
4,1,0.0796,11.6440,0.7004
4,2,0.0953,11.1898,0.7877
4,3,0.0877,11.1765,0.7793
4,4,0.0652,12.5237,0.7937
4,5,0.0811,11.8355,0.7645
4,6,0.0597,12.6510,0.8505
4,7,0.0792,11.9404,0.7373
4,8,0.1128,10.2156,0.7206
4,9,0.0818,11.5152,0.8172
4,10,0.0825,10.9401,0.8106
4,11,0.0821,11.1628,0.6902
4,12,0.1086,10.1027,0.5979
