Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1233,15.0083,0.4286,0.81
10,0.1138,15.3581,0.4428,2.79
20,0.1051,15.7004,0.4489,3.79
30,0.0978,16.0163,0.4514,4.23
40,0.0973,16.0363,0.4521,4.34
50,0.0962,16.0876,0.4592,4.64
60,0.0962,16.0850,0.4573,5.24
70,0.0956,16.1133,0.4604,5.44
80,0.0956,16.1130,0.4604,5.45
90,0.0957,16.1103,0.4604,5.48
100,0.0952,16.1294,0.4597,5.74
110,0.0970,16.0492,0.4637,6.76
120,0.0907,16.3437,0.4741,7.83
130,0.0900,16.3764,0.4718,7.61
140,0.0899,16.3799,0.4711,7.66
150,0.0900,16.3734,0.4689,7.36
160,0.0796,16.9093,0.4871,8.70
170,0.0832,16.7179,0.4870,9.18
180,0.0774,17.0299,0.4949,9.64
190,0.0748,17.1801,0.5180,11.33
200,0.0746,17.1897,0.5198,11.49
210,0.0764,17.0843,0.5126,11.70
220,0.0742,17.2140,0.5235,11.95
230,0.0741,17.2190,0.5244,11.94
240,0.0742,17.2116,0.5236,11.74
250,0.0743,17.2089,0.5242,12.06
260,0.0744,17.2022,0.5236,11.60
270,0.0747,17.1862,0.5236,11.46
280,0.0772,17.0443,0.5136,11.58
290,0.0762,17.1008,0.5295,12.49
300,0.0764,17.0855,0.5387,13.23
310,0.0757,17.1297,0.5496,14.40
320,0.0784,16.9731,0.5565,16.12
330,0.0760,17.1081,0.5849,17.59
340,0.0714,17.3823,0.5933,18.53
350,0.0693,17.5094,0.5776,17.79
360,0.0681,17.5859,0.5877,18.44
370,0.0682,17.5780,0.5860,18.34
380,0.0776,17.0175,0.5681,17.77
390,0.0774,17.0294,0.5735,17.15
400,0.0771,17.0485,0.5767,17.24
410,0.0709,17.4087,0.5825,17.65
420,0.0674,17.6304,0.6063,18.95
430,0.0765,17.0807,0.5832,18.00
440,0.0794,16.9199,0.6026,19.38
450,0.0841,16.6674,0.5852,19.26
460,0.0853,16.6096,0.5880,20.24
470,0.0806,16.8558,0.5838,19.60
480,0.0777,17.0121,0.5743,18.84
490,0.0786,16.9631,0.5726,18.24
500,0.3422,10.6091,0.2131,17.90
510,0.3502,10.5096,0.2215,16.67
520,0.3476,10.5416,0.2355,16.48
530,0.3462,10.5595,0.2397,16.05
540,0.3454,10.5692,0.2461,14.17
550,0.3406,10.6299,0.2672,13.45
560,0.3356,10.6935,0.2749,13.31
570,0.3351,10.7004,0.2750,12.53
580,0.3350,10.7020,0.2754,12.58
590,0.3342,10.7118,0.2799,12.62
600,0.3302,10.7638,0.2831,11.65
610,0.3249,10.8347,0.2873,11.56
620,0.3240,10.8462,0.2913,12.16
630,0.3246,10.8382,0.2866,11.76
640,0.3248,10.8367,0.2859,11.55
650,0.3249,10.8344,0.2842,11.49
660,0.3254,10.8278,0.2811,11.35
670,0.3256,10.8256,0.2790,11.00
680,0.3253,10.8290,0.2805,10.71
690,0.3052,11.1065,0.2906,11.65
700,0.2784,11.5048,0.3044,13.17
710,0.2885,11.3507,0.3172,14.28
720,0.2598,11.8053,0.3339,15.88
730,0.2215,12.4980,0.3311,16.32
740,0.1984,12.9768,0.3498,16.79
750,0.1950,13.0523,0.3634,16.08
760,0.1786,13.4338,0.3714,16.46
770,0.1734,13.5605,0.3748,17.24
780,0.1557,14.0295,0.3893,17.90
790,0.1543,14.0675,0.3981,18.61
800,0.1501,14.1874,0.4032,18.95
810,0.1457,14.3174,0.4039,18.67
820,0.1566,14.0047,0.3924,17.42
830,0.1601,13.9089,0.3835,16.83
840,0.1636,13.8147,0.3755,16.06
850,0.1637,13.8113,0.3744,16.04
860,0.1637,13.8121,0.3741,16.01
870,0.1636,13.8141,0.3741,16.00
880,0.1681,13.6953,0.3629,14.99
890,0.1723,13.5905,0.3451,14.19
900,0.1887,13.1937,0.3257,12.71
910,0.1946,13.0605,0.3186,11.68
920,0.1960,13.0295,0.3127,10.79
930,0.1997,12.9492,0.3115,10.20
940,0.2105,12.7199,0.3061,9.41
950,0.2216,12.4973,0.2940,8.30
960,0.2373,12.1999,0.2771,7.32
970,0.2354,12.2338,0.2856,7.99
980,0.2344,12.2526,0.2864,8.10
990,0.2344,12.2524,0.2863,8.09
