Epoch,Batch,MSE,PSNR,SSIM
1,1,0.2131,6.4795,0.7508
1,2,0.1784,7.2323,0.8095
1,3,0.1106,9.3177,0.7952
1,4,0.0828,11.0273,0.7941
1,5,0.1143,9.8920,0.7767
1,6,0.0903,10.7712,0.8504
1,7,0.0993,10.7207,0.8308
1,8,0.1119,10.4510,0.7978
1,9,0.1206,9.3257,0.8115
1,10,0.1172,10.1382,0.7947
1,11,0.0930,10.7146,0.7951
1,12,0.0806,10.8939,0.8415
1,13,0.0820,10.7339,0.8289
1,14,0.0808,11.0053,0.7703
1,15,0.0867,10.6088,0.7831
1,16,0.0579,12.2369,0.8246
1,17,0.0834,11.2394,nan
1,18,0.0630,12.0581,0.7941
1,19,0.0878,11.1307,0.7646
1,20,0.0722,12.2598,0.7968
1,21,0.0747,12.2231,0.7576
1,22,0.0898,10.9073,0.7659
1,23,0.0653,11.7608,0.8047
1,24,0.0903,10.5824,0.7676
1,25,0.0757,11.1447,0.7957
2,1,0.0748,11.1460,0.8718
2,2,0.0659,11.7228,0.8007
2,3,0.0764,11.3528,0.8206
2,4,0.0816,11.8108,0.8645
2,5,0.0694,11.7957,0.8089
2,6,0.0634,12.7890,0.8793
2,7,0.0720,12.0128,0.7585
2,8,0.0739,11.7500,0.8186
2,9,0.0712,11.6565,0.7843
2,10,0.0751,11.2428,0.7076
2,11,0.0766,11.3328,0.8811
2,12,0.0662,11.9697,0.8575
2,13,0.0629,11.9488,0.7837
2,14,0.0617,12.1314,0.8764
2,15,0.0556,12.5078,0.7996
2,16,0.0659,12.3454,0.6990
2,17,0.0790,11.3695,0.7670
2,18,0.0906,10.8662,0.7163
2,19,0.0677,12.1185,0.7872
2,20,0.0570,12.4732,0.8134
2,21,0.0735,11.4787,0.8386
2,22,0.0744,11.5109,0.8175
2,23,0.0725,11.8248,0.7942
2,24,0.0675,11.5032,0.7546
2,25,0.0506,12.8689,0.8372
3,1,0.0646,11.9973,0.7452
3,2,0.0768,11.5325,0.7885
3,3,0.0609,12.7717,0.8191
3,4,0.0677,12.0260,0.7326
3,5,0.0769,11.3363,0.7648
3,6,0.0720,11.6338,0.7688
3,7,0.0645,11.8532,0.7963
3,8,0.0620,11.9596,0.8398
3,9,0.0599,12.1908,0.7165
3,10,0.0670,11.9812,0.7771
3,11,0.0633,12.0180,0.9334
3,12,0.0516,12.9038,0.9165
3,13,0.0672,11.8681,0.7350
3,14,0.0644,12.4330,0.7809
3,15,0.0610,12.3730,0.7638
3,16,0.0737,11.5415,0.7676
3,17,0.0629,12.2323,0.8048
3,18,0.0672,11.7496,nan
3,19,0.0582,12.2834,0.8795
3,20,0.0703,11.6766,0.8154
3,21,0.0717,11.9012,0.7612
3,22,0.0689,12.1036,0.7138
3,23,0.0708,12.0260,0.6973
3,24,0.0652,12.0248,0.8248
3,25,0.0587,12.5334,0.8032
4,1,0.0675,11.7330,0.7882
4,2,0.0641,11.7508,0.8426
4,3,0.0548,12.3878,0.8648
4,4,0.0689,11.9948,0.7854
4,5,0.0679,11.7228,0.7900
4,6,0.0810,11.6428,0.8174
4,7,0.0545,12.6692,0.8523
4,8,0.0636,12.0561,0.7065
4,9,0.0659,11.8881,0.6824
4,10,0.0798,11.4497,0.7479
4,11,0.0633,12.0019,0.7777
4,12,0.0840,11.0432,0.6888
4,13,0.0555,12.3774,0.7813
4,14,0.0769,12.0211,0.7817
4,15,0.0627,12.3062,0.7334
4,16,0.0884,10.5925,0.6690
4,17,0.0675,11.7226,0.8224
4,18,0.0553,12.5870,0.8425
4,19,0.0586,12.2115,0.8650
4,20,0.0585,12.4730,0.7742
4,21,0.0692,12.1494,0.7687
4,22,0.0736,11.4926,nan
4,23,0.0687,12.2717,0.8423
4,24,0.0694,12.0612,0.8158
4,25,0.0596,12.3136,0.7960
5,1,0.0557,12.5225,0.8408
5,2,0.0580,12.2177,0.8140
5,3,0.0580,12.4414,0.8085
5,4,0.0509,13.0213,0.7788
5,5,0.0531,12.9581,0.8463
5,6,0.0595,12.3007,0.7867
5,7,0.0512,13.0356,0.8306
5,8,0.0655,12.0253,0.7935
5,9,0.0535,13.3453,0.8028
5,10,0.0881,11.4492,nan
5,11,0.0624,12.0724,0.7683
5,12,0.0734,11.4177,0.7287
5,13,0.0624,12.2226,0.7951
5,14,0.0702,11.6320,0.8101
5,15,0.0602,12.5645,0.8233
5,16,0.0688,11.9864,0.7753
5,17,0.0693,12.3675,0.7473
5,18,0.0565,12.3226,0.8158
5,19,0.0613,12.2015,0.7483
5,20,0.0604,12.4259,0.8722
5,21,0.0590,12.4496,0.9102
5,22,0.0460,13.3787,0.8428
5,23,0.0587,12.6029,0.7730
5,24,0.0573,12.4568,0.8063
5,25,0.0878,11.1721,0.7040
6,1,0.0620,11.8959,nan
6,2,0.0579,12.5868,0.7371
6,3,0.0475,13.2190,0.8520
6,4,0.0648,12.3502,0.7496
6,5,0.0462,13.3316,0.8724
6,6,0.0602,12.6825,0.8004
6,7,0.0667,11.8929,nan
6,8,0.0663,12.0943,0.7566
6,9,0.0588,12.3653,0.7859
6,10,0.0817,11.2382,nan
6,11,0.0540,12.6767,0.8634
6,12,0.0583,12.6223,0.7868
6,13,0.0552,12.5936,0.8805
6,14,0.0636,12.2563,0.7995
6,15,0.0587,12.5509,0.8689
6,16,0.0649,12.4825,0.7947
6,17,0.0590,12.2863,nan
6,18,0.0613,12.0355,0.7320
6,19,0.0622,12.1445,0.8196
6,20,0.0623,12.3732,0.7629
6,21,0.0560,12.6934,0.7522
6,22,0.0590,12.6332,0.8116
6,23,0.0711,11.8420,0.7403
6,24,0.0650,12.3466,0.7582
6,25,0.0625,12.4254,0.8126
7,1,0.0575,12.4848,0.7211
7,2,0.0489,12.9667,0.9340
7,3,0.0622,12.2908,0.8149
7,4,0.0610,12.6191,0.8500
7,5,0.0827,11.3087,0.7089
7,6,0.0486,13.3584,0.8515
7,7,0.0704,11.8686,0.6753
7,8,0.0683,11.9648,0.7077
7,9,0.0540,12.7864,nan
7,10,0.0668,12.1399,0.6936
7,11,0.0588,12.3910,0.7544
7,12,0.0652,12.0231,0.7378
7,13,0.0495,12.9538,0.8087
7,14,0.0546,12.7867,0.8007
7,15,0.0576,12.7462,0.8304
7,16,0.0681,12.1267,0.8454
7,17,0.0532,12.8604,0.8356
7,18,0.0537,12.7347,0.7970
7,19,0.0689,12.4830,0.8255
7,20,0.0533,12.9602,0.7624
7,21,0.0514,12.9313,0.7576
7,22,0.0439,13.6518,0.7843
7,23,0.0504,13.1296,0.7714
7,24,0.0739,12.2898,0.7014
7,25,0.0501,13.2917,0.7615
8,1,0.0688,12.0207,0.7880
8,2,0.0600,12.4208,0.7405
8,3,0.0739,11.8031,0.6994
8,4,0.0705,11.5775,0.7612
8,5,0.0647,11.6879,0.6816
8,6,0.0513,12.7572,0.8380
8,7,0.0548,12.6516,0.8083
8,8,0.0699,12.2487,0.6404
8,9,0.0474,13.2076,0.8163
8,10,0.0595,12.8067,0.7787
8,11,0.0660,12.0346,0.8317
8,12,0.0496,13.7177,0.8674
8,13,0.0637,12.8579,0.7355
8,14,0.0659,12.1230,0.6975
8,15,0.0571,12.3856,0.7415
8,16,0.0542,12.5319,0.8090
8,17,0.0536,12.5865,0.8715
8,18,0.0622,12.1826,0.7475
8,19,0.0509,12.8460,0.8680
8,20,0.0658,12.1698,0.8012
8,21,0.0576,12.7459,0.7864
8,22,0.0732,11.9537,0.7951
8,23,0.0404,14.1033,0.8747
8,24,0.0693,12.2254,0.8176
8,25,0.0512,13.2651,nan
9,1,0.0472,13.3136,0.9034
9,2,0.0625,12.1680,nan
9,3,0.0621,12.2003,0.7265
9,4,0.0666,11.9989,0.6952
9,5,0.0490,13.0321,0.8355
9,6,0.0569,12.7061,0.7353
9,7,0.0679,11.9168,0.7446
9,8,0.0541,12.8440,0.8111
9,9,0.0493,12.9584,0.8154
9,10,0.0589,12.4289,0.7457
9,11,0.0602,12.3526,0.7678
9,12,0.0572,12.8248,0.8318
9,13,0.0562,12.9946,0.8075
9,14,0.0704,12.0136,0.7524
9,15,0.0513,13.2035,0.7523
9,16,0.0560,12.6219,0.7623
9,17,0.0656,11.8953,0.7268
9,18,0.0561,12.5875,0.8395
9,19,0.0572,12.4552,0.7576
9,20,0.0527,13.1869,nan
9,21,0.0469,13.1748,0.8515
9,22,0.0443,13.7499,0.8824
9,23,0.0580,12.7728,0.8164
9,24,0.0637,12.6770,0.7530
9,25,0.0499,13.1345,0.8423
10,1,0.0654,12.2592,0.7601
10,2,0.0545,13.0215,0.7299
10,3,0.0565,12.5502,0.7918
10,4,0.0459,13.1785,0.8236
10,5,0.0533,12.9487,0.8146
10,6,0.0615,12.2804,0.7326
10,7,0.0480,13.2496,0.8177
10,8,0.0573,13.0776,0.7475
10,9,0.0519,12.9351,0.8282
10,10,0.0750,11.7560,0.7625
10,11,0.0641,12.8565,0.8138
10,12,0.0617,12.4555,0.8365
10,13,0.0728,11.9168,0.7386
