Epoch,Batch,MSE,PSNR,SSIM
1,1,0.1911,7.0002,0.7353
1,2,0.1815,7.1814,0.7507
1,3,0.1438,8.1479,0.7285
1,4,0.1111,9.5934,0.6341
1,5,0.1010,10.5843,0.8217
1,6,0.1078,10.3360,0.7973
1,7,0.0839,11.3252,0.8211
1,8,0.0982,10.2026,0.7944
1,9,0.0802,10.9348,0.8141
1,10,0.0784,10.9395,0.7774
1,11,0.0735,11.2070,0.7956
1,12,0.0786,11.0689,0.8160
1,13,0.0848,10.9817,0.7148
1,14,0.1001,10.1744,0.7030
1,15,0.0749,11.3842,0.8117
1,16,0.0795,11.3971,0.7941
1,17,0.0657,11.8869,0.7850
1,18,0.0796,11.0358,0.7013
1,19,0.0724,11.4111,0.7274
1,20,0.0771,11.1528,0.8284
1,21,0.0836,10.7677,0.7970
1,22,0.0731,11.4294,0.7622
1,23,0.0586,12.3715,0.8015
1,24,0.0751,11.5318,nan
1,25,0.0698,12.0901,0.8002
2,1,0.0602,12.3505,0.8741
2,2,0.0702,11.8670,0.7767
2,3,0.0874,11.1784,0.7127
2,4,0.0779,11.2880,0.7120
2,5,0.0680,11.5653,0.7958
2,6,0.0635,12.0086,0.8579
2,7,0.0626,12.2088,0.8062
2,8,0.0872,10.6701,0.6857
2,9,0.0674,11.9240,0.7972
2,10,0.0799,11.1489,0.8075
2,11,0.0668,12.0226,0.8429
2,12,0.0615,12.0142,0.7952
2,13,0.0671,11.7149,0.7745
2,14,0.0678,11.7891,0.7745
2,15,0.0805,11.6506,0.7800
2,16,0.0582,12.4742,0.7901
2,17,0.0738,11.6253,0.7915
2,18,0.0652,12.0918,nan
2,19,0.0608,12.0854,0.8145
2,20,0.0609,12.3132,0.8381
2,21,0.0586,12.3474,0.8404
2,22,0.0723,11.5919,0.8254
2,23,0.0539,12.7513,0.8256
2,24,0.0627,12.1165,0.8180
2,25,0.0654,12.2469,0.8382
3,1,0.0839,11.0607,0.6811
3,2,0.0623,11.9754,0.8255
3,3,0.0695,11.9427,0.7531
3,4,0.0482,13.2709,0.8347
3,5,0.0592,12.1342,0.8496
3,6,0.0650,11.9338,0.7695
3,7,0.0652,12.1250,0.8249
