Folder,Image,MSE,PSNR,SSIM
22,22_050,0.0271,21.5803,0.8675
22,22_060,0.0091,26.3590,0.9002
22,22_070,0.0288,21.3191,0.8678
22,22_080,0.0112,25.4760,0.8961
22,22_090,0.0053,28.6572,0.9368
22,22_100,0.0122,25.0708,0.9198
23,23_010,0.0026,31.7470,0.9736
23,23_020,0.0001,44.7705,0.9867
23,23_030,0.0111,25.4243,0.9342
23,23_040,0.0078,26.9882,0.9483
23,23_050,0.0055,28.5412,0.9577
23,23_060,0.0006,38.1467,0.9772
23,23_070,0.0019,33.2307,0.9770
23,23_080,0.0039,30.0591,0.9607
23,23_090,0.0020,32.9989,0.9663
23,23_100,0.0020,33.0002,0.9453
24,24_010,0.0004,39.6141,0.9854
24,24_020,0.0241,22.0959,0.8918
24,24_030,0.0057,28.3301,0.9697
24,24_040,0.0031,30.9691,0.9774
24,24_050,0.0138,24.5318,0.9159
24,24_060,0.0153,24.0814,0.8965
24,24_070,0.0052,28.7335,0.9359
24,24_080,0.0074,27.2311,0.9307
24,24_090,0.0035,30.4329,0.9503
24,24_100,0.0059,28.2250,0.9089
25,25_010,0.0160,23.8891,0.9194
25,25_020,0.0079,26.9204,0.9161
25,25_030,0.0039,30.0365,0.9395
25,25_040,0.0081,26.8095,0.9021
25,25_050,0.0066,27.7384,0.9368
25,25_060,0.0158,23.9256,0.9074
25,25_070,0.0060,28.1273,0.9182
25,25_080,0.0020,32.8025,0.9576
25,25_090,0.0030,31.0924,0.9353
25,25_100,0.0055,28.5137,0.9109
26,26_010,0.0126,24.9121,0.9292
26,26_020,0.0318,20.8878,0.8605
26,26_030,0.0151,24.1167,0.8926
26,26_040,0.0060,28.1642,0.9385
26,26_050,0.0026,31.8518,0.9451
26,26_060,0.0035,30.5358,0.9223
26,26_070,0.0247,21.9915,0.9131
26,26_080,0.0060,28.1259,0.9324
26,26_090,0.0026,31.7305,0.9446
26,26_099,0.0032,30.8745,0.9355
27,27_010,0.0083,26.7424,0.9416
27,27_020,0.0032,30.8672,0.9784
27,27_030,0.0132,24.7161,0.9064
27,27_040,0.0124,24.9869,0.9067
27,27_050,0.0128,24.8518,0.9174
27,27_060,0.0083,26.7331,0.9054
27,27_070,0.0108,25.6015,0.8912
27,27_080,0.0035,30.5332,0.9554
27,27_090,0.0040,29.8585,0.9146
27,27_100,0.0030,31.1134,0.9259
28,28_010,0.0062,27.9917,0.9530
28,28_020,0.0079,26.9164,0.9577
28,28_030,0.0007,37.5139,0.9802
28,28_040,0.0053,28.7160,0.9662
28,28_050,0.0052,28.7919,0.9556
28,28_060,0.0064,27.8291,0.9562
28,28_070,0.0037,30.1832,0.9679
28,28_080,0.0002,42.9457,0.9816
28,28_090,0.0010,35.9166,0.9698
28,28_100,0.0007,37.6793,0.9693
29,29_010,0.0004,39.8779,0.9740
29,29_020,0.0110,25.5040,0.9163
29,29_030,0.0162,23.8267,0.9124
29,29_040,0.0065,27.7621,0.9344
29,29_050,0.0060,28.1178,0.9323
29,29_060,0.0010,35.9618,0.9630
29,29_070,0.0057,28.3550,0.9358
29,29_080,0.0044,29.4390,0.9199
29,29_090,0.0081,26.8504,0.9196
29,29_098,0.0025,31.9163,0.9428
30,30_010,0.0031,31.0115,0.9747
30,30_020,0.0088,26.4870,0.9552
30,30_030,0.0052,28.7326,0.9578
30,30_040,0.0036,30.3333,0.9711
30,30_050,0.0001,46.8204,0.9926
30,30_060,0.0056,28.4219,0.9586
30,30_070,0.0025,31.8578,0.9525
30,30_080,0.0020,32.8717,0.9757
30,30_090,0.0012,35.0299,0.9610
30,30_100,0.0001,44.9000,0.9861
32,32_010,0.0022,32.4704,0.9829
32,32_020,0.0054,28.6255,0.9708
32,32_030,0.0058,28.2958,0.9782
32,32_040,0.0064,27.8729,0.9714
32,32_050,0.0052,28.7727,0.9721
32,32_060,0.0005,38.6766,0.9831
32,32_070,0.0046,29.2475,0.9751
32,32_080,0.0001,45.5433,0.9937
32,32_090,0.0000,48.9616,0.9951
32,32_100,0.0049,28.9961,0.9774
33,33_010,0.0126,24.9026,0.9358
33,33_020,0.0028,31.4250,0.9668
33,33_030,0.0050,28.9097,0.9631
33,33_040,0.0020,32.9223,0.9672
33,33_050,0.0095,26.1240,0.9382
33,33_060,0.0002,42.1037,0.9852
33,33_070,0.0001,47.9657,0.9945
33,33_080,0.0016,33.9038,0.9802
33,33_090,0.0071,27.4056,0.9483
33,33_100,0.0000,48.9695,0.9943
34,34_010,0.0012,35.2797,0.9881
34,34_020,0.0023,32.2251,0.9821
34,34_030,0.0060,28.1497,0.9549
34,34_040,0.0001,45.1176,0.9891
34,34_050,0.0102,25.8317,0.9447
34,34_060,0.0043,29.5866,0.9566
34,34_070,0.0002,43.0916,0.9850
34,34_080,0.0004,39.9358,0.9769
34,34_090,0.0175,23.4752,0.9185
34,34_100,0.0036,30.4052,0.9400
