Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1142,15.3423,0.4423,0.68
10,0.1120,15.4258,0.4704,2.73
20,0.1143,15.3369,0.4623,3.35
30,0.1117,15.4372,0.4806,4.01
40,0.1121,15.4214,0.4723,4.76
50,0.1022,15.8230,0.4849,5.80
60,0.1030,15.7904,0.4776,5.68
70,0.1047,15.7189,0.4621,5.71
80,0.1020,15.8311,0.4841,6.10
90,0.1017,15.8429,0.4858,6.47
100,0.1073,15.6131,0.4898,6.91
110,0.1073,15.6123,0.4913,7.06
120,0.1094,15.5260,0.4827,7.67
130,0.1075,15.6032,0.5054,8.57
140,0.1072,15.6150,0.5132,9.54
150,0.1072,15.6174,0.5142,10.12
160,0.1059,15.6704,0.5202,10.59
170,0.1058,15.6718,0.5212,10.65
180,0.1060,15.6639,0.5201,10.48
190,0.1072,15.6155,0.5092,11.16
200,0.1066,15.6396,0.5173,11.27
210,0.1075,15.6022,0.5093,10.61
220,0.1105,15.4850,0.5044,10.36
230,0.1044,15.7319,0.5134,10.54
240,0.1044,15.7302,0.5125,10.43
250,0.1045,15.7250,0.5094,10.56
260,0.1026,15.8062,0.5218,11.38
270,0.1029,15.7953,0.5207,11.34
280,0.1050,15.7066,0.5195,11.05
290,0.1053,15.6917,0.5188,10.95
300,0.1041,15.7433,0.5193,10.74
310,0.1059,15.6683,0.5121,10.41
320,0.1056,15.6802,0.5110,10.43
330,0.1074,15.6081,0.5014,11.21
340,0.1042,15.7411,0.5387,12.35
350,0.1077,15.5958,0.5361,12.67
360,0.1077,15.5937,0.5370,12.69
370,0.1076,15.6008,0.5367,12.49
380,0.1074,15.6081,0.5320,12.30
390,0.1107,15.4771,0.5052,12.73
400,0.1032,15.7805,0.5253,13.44
410,0.1005,15.8971,0.5389,13.52
420,0.1014,15.8588,0.5484,13.02
430,0.1082,15.5742,0.5421,12.37
440,0.1095,15.5237,0.5321,11.36
450,0.1104,15.4877,0.5261,11.00
460,0.1110,15.4639,0.5237,10.54
470,0.1124,15.4087,0.5101,10.37
480,0.1120,15.4246,0.5136,10.47
490,0.1113,15.4526,0.5091,10.61
500,0.3547,10.4536,0.2167,11.07
510,0.3438,10.5898,0.2373,12.20
520,0.3425,10.6060,0.2407,12.52
530,0.3416,10.6171,0.2527,14.19
540,0.3390,10.6496,0.2552,13.66
550,0.3368,10.6785,0.2600,13.32
560,0.3381,10.6622,0.2597,12.92
570,0.3380,10.6629,0.2609,12.98
580,0.3371,10.6746,0.2661,13.43
590,0.3359,10.6896,0.2678,13.67
600,0.3366,10.6816,0.2680,13.58
610,0.3373,10.6720,0.2668,13.30
620,0.3392,10.6477,0.2620,12.26
630,0.3382,10.6603,0.2621,11.97
640,0.3376,10.6675,0.2645,11.91
650,0.3374,10.6703,0.2667,11.42
660,0.3375,10.6690,0.2669,10.30
670,0.3367,10.6792,0.2685,10.35
680,0.3312,10.7511,0.2646,9.36
690,0.3318,10.7435,0.2584,8.72
700,0.3322,10.7386,0.2571,8.52
710,0.3326,10.7328,0.2523,8.45
720,0.3326,10.7334,0.2540,8.29
730,0.3325,10.7345,0.2514,7.52
740,0.3393,10.6468,0.2428,6.72
750,0.3369,10.6775,0.2419,6.52
760,0.3395,10.6441,0.2381,6.17
770,0.3411,10.6233,0.2313,5.73
780,0.3413,10.6210,0.2285,5.34
790,0.3415,10.6187,0.2270,5.16
800,0.3428,10.6022,0.2330,5.66
810,0.3398,10.6400,0.2410,6.86
820,0.3326,10.7325,0.2475,7.36
830,0.3325,10.7341,0.2520,8.28
840,0.3327,10.7313,0.2531,8.71
850,0.3324,10.7351,0.2505,8.81
860,0.3350,10.7014,0.2440,8.50
870,0.3372,10.6729,0.2379,7.93
880,0.3376,10.6687,0.2337,7.56
890,0.3375,10.6689,0.2337,7.58
900,0.3374,10.6704,0.2340,7.63
910,0.3369,10.6777,0.2360,7.92
920,0.3362,10.6862,0.2393,8.08
930,0.3348,10.7041,0.2439,8.45
940,0.3365,10.6823,0.2473,8.67
950,0.3344,10.7099,0.2562,9.62
960,0.3339,10.7160,0.2601,10.17
970,0.3328,10.7298,0.2662,10.70
980,0.3332,10.7252,0.2707,10.39
990,0.3332,10.7252,0.2707,10.39
