Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0109,25.4980,0.9503
1,1_020,0.0033,30.7087,0.9775
1,1_030,0.0041,29.7885,0.9746
1,1_040,0.0067,27.6505,0.9618
1,1_050,0.0065,27.8176,0.9675
1,1_060,0.0013,34.9317,0.9880
1,1_070,0.0030,31.1592,0.9803
1,1_080,0.0003,41.4981,0.9915
1,1_090,0.0036,30.3785,0.9744
1,1_100,0.0031,30.9850,0.9775
2,2_010,0.0144,24.3740,0.9306
2,2_020,0.0042,29.6814,0.9267
2,2_030,0.0035,30.5050,0.9548
2,2_040,0.0056,28.4609,0.9268
2,2_050,0.0023,32.3831,0.9492
2,2_060,0.0072,27.3473,0.9241
2,2_070,0.0060,28.1215,0.9495
2,2_080,0.0027,31.6965,0.9416
2,2_090,0.0048,29.1234,0.9362
2,2_100,0.0097,26.0632,0.9152
3,3_010,0.0112,25.4444,0.9391
3,3_020,0.0215,22.5836,0.8870
3,3_030,0.0103,25.7787,0.9459
3,3_040,0.0076,27.1256,0.9396
3,3_050,0.0046,29.3413,0.9406
3,3_060,0.0018,33.3750,0.9583
3,3_070,0.0031,30.9702,0.9610
3,3_080,0.0005,38.8047,0.9803
3,3_090,0.0017,33.6477,0.9584
3,3_097,0.0017,33.6120,0.9533
4,4_010,0.0001,45.9554,0.9946
4,4_020,0.0218,22.5311,0.9202
4,4_030,0.0005,39.2156,0.9894
4,4_040,0.0057,28.3864,0.9546
4,4_050,0.0025,31.9471,0.9697
4,4_060,0.0027,31.6346,0.9710
4,4_070,0.0032,30.8674,0.9675
4,4_080,0.0034,30.5826,0.9552
4,4_090,0.0040,29.9094,0.9561
4,4_100,0.0047,29.2376,0.9244
5,5_010,0.0422,19.7031,0.9009
5,5_020,0.0266,21.7038,0.9021
5,5_030,0.0085,26.6371,0.9374
5,5_040,0.0208,22.7723,0.8692
5,5_050,0.0120,25.1741,0.9091
5,5_060,0.0088,26.5462,0.9077
5,5_070,0.0030,31.1307,0.9451
5,5_080,0.0052,28.7766,0.9352
5,5_090,0.0071,27.4576,0.9319
5,5_100,0.0015,34.0565,0.9584
6,6_010,0.0012,35.1005,0.9655
6,6_020,0.0046,29.2812,0.9623
6,6_030,0.0295,21.2181,0.9021
6,6_040,0.0061,28.0724,0.9593
6,6_050,0.0144,24.3485,0.9026
6,6_060,0.0271,21.6284,0.8766
6,6_070,0.0180,23.3714,0.8774
6,6_080,0.0148,24.2239,0.9004
6,6_090,0.0127,24.8862,0.9145
6,6_100,0.0079,26.9265,0.9084
7,7_010,0.0005,38.6701,0.9612
7,7_020,0.0048,29.1188,0.9607
7,7_030,0.0102,25.8746,0.9290
7,7_040,0.0081,26.8560,0.9335
7,7_050,0.0278,21.5168,0.8715
7,7_060,0.0191,23.1525,0.8766
7,7_070,0.0215,22.6238,0.8695
7,7_080,0.0109,25.5655,0.9327
7,7_090,0.0170,23.6020,0.8930
7,7_100,0.0072,27.3200,0.9006
8,8_010,0.0011,35.4195,0.9379
8,8_020,0.0254,21.9096,0.8958
8,8_030,0.0145,24.3265,0.9042
8,8_040,0.0149,24.2223,0.9006
8,8_050,0.0134,24.6675,0.9214
8,8_060,0.0079,26.9937,0.9069
8,8_070,0.0081,26.8820,0.9221
8,8_080,0.0177,23.4788,0.9023
8,8_090,0.0126,24.9635,0.9041
8,8_100,0.0181,23.3861,0.9043
11,11_010,0.0071,27.4233,0.9372
11,11_020,0.0054,28.6325,0.9050
11,11_030,0.0232,22.3030,0.9023
11,11_040,0.0052,28.8096,0.9260
11,11_050,0.0021,32.6632,0.9529
11,11_060,0.0113,25.4064,0.9107
11,11_070,0.0012,35.1427,0.9666
11,11_080,0.0045,29.4329,0.9221
11,11_090,0.0060,28.1449,0.9235
11,11_100,0.0045,29.4224,0.9218
13,13_010,0.0210,22.7209,0.8926
13,13_020,0.0327,20.8093,0.8582
13,13_030,0.0115,25.3535,0.8974
13,13_040,0.0078,27.0375,0.9204
13,13_050,0.0152,24.1450,0.9035
13,13_060,0.0157,23.9903,0.9132
13,13_070,0.0097,26.0952,0.9179
13,13_080,0.0199,22.9671,0.8937
13,13_090,0.0195,23.0540,0.8844
13,13_100,0.0235,22.2372,0.8992
