Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1185,15.1800,0.4486,0.81
10,0.1101,15.5013,0.4909,2.82
20,0.1157,15.2845,0.4809,3.56
30,0.1061,15.6616,0.5049,5.57
40,0.1012,15.8648,0.5342,7.47
50,0.1005,15.8960,0.5402,8.41
60,0.0999,15.9237,0.5449,9.00
70,0.0988,15.9705,0.5552,10.11
80,0.0987,15.9725,0.5560,10.22
90,0.0988,15.9709,0.5557,10.56
100,0.0970,16.0503,0.5700,11.14
110,0.1005,15.8948,0.5524,10.81
120,0.1071,15.6179,0.5309,11.27
130,0.1077,15.5941,0.5317,11.62
140,0.1063,15.6516,0.5465,12.39
150,0.1060,15.6642,0.5555,14.18
160,0.1046,15.7210,0.5665,15.36
170,0.1045,15.7250,0.5728,15.74
180,0.1047,15.7200,0.5715,15.22
190,0.1064,15.6466,0.5578,15.10
200,0.1035,15.7701,0.5740,14.50
210,0.1099,15.5064,0.5518,13.18
220,0.0987,15.9753,0.5923,13.82
230,0.0989,15.9649,0.5889,14.04
240,0.0994,15.9429,0.5866,14.42
250,0.0988,15.9704,0.5928,15.09
260,0.0985,15.9830,0.5946,15.11
270,0.1003,15.9050,0.5817,15.08
280,0.1008,15.8818,0.5871,14.81
290,0.1015,15.8546,0.5785,14.45
300,0.1015,15.8546,0.5780,13.71
310,0.1014,15.8569,0.5791,12.57
320,0.1013,15.8604,0.5794,12.93
330,0.1010,15.8726,0.5814,13.27
340,0.1008,15.8844,0.5848,14.48
350,0.1009,15.8780,0.5817,14.84
360,0.0996,15.9366,0.5886,15.53
370,0.0992,15.9531,0.5925,15.67
380,0.0990,15.9596,0.5958,15.36
390,0.0995,15.9379,0.5921,13.92
400,0.0997,15.9312,0.5917,13.10
410,0.0992,15.9514,0.5907,13.98
420,0.0987,15.9735,0.5995,13.59
430,0.0988,15.9682,0.5999,14.86
440,0.0994,15.9435,0.5942,14.83
450,0.1003,15.9055,0.5911,15.28
460,0.1002,15.9074,0.5911,15.65
470,0.1003,15.9048,0.5896,15.56
480,0.1031,15.7837,0.5699,14.90
490,0.1048,15.7147,0.5647,14.14
500,0.3420,10.6123,0.2233,12.89
510,0.2811,11.4632,0.2414,13.81
520,0.2735,11.5825,0.2475,14.29
530,0.2574,11.8468,0.2577,14.55
540,0.2492,11.9865,0.2704,15.42
550,0.2359,12.2252,0.2871,16.18
560,0.2368,12.2081,0.2931,16.58
570,0.2270,12.3917,0.3135,16.95
580,0.2263,12.4054,0.3147,16.98
590,0.2259,12.4136,0.3198,17.32
600,0.2262,12.4074,0.3266,17.75
610,0.2275,12.3824,0.3253,16.66
620,0.2311,12.3136,0.3112,14.89
630,0.2333,12.2727,0.3041,13.78
640,0.2218,12.4927,0.3026,13.52
650,0.2259,12.4134,0.3061,12.63
660,0.2275,12.3828,0.3113,12.99
670,0.2014,12.9121,0.3359,14.01
680,0.2063,12.8075,0.3411,14.97
690,0.2073,12.7858,0.3390,15.08
700,0.2094,12.7420,0.3350,14.67
710,0.2151,12.6265,0.3269,13.60
720,0.2135,12.6587,0.3269,13.80
730,0.2120,12.6882,0.3264,14.03
740,0.2458,12.0468,0.2967,11.99
750,0.2436,12.0861,0.3014,11.25
760,0.2620,11.7696,0.3038,11.75
770,0.2705,11.6311,0.3138,13.05
780,0.2365,12.2141,0.3259,13.77
790,0.2423,12.1083,0.3253,13.86
800,0.2394,12.1616,0.3312,14.02
810,0.2561,11.8680,0.3251,13.59
820,0.2798,11.4841,0.3299,14.13
830,0.2191,12.5462,0.3381,15.61
840,0.2228,12.4733,0.3340,15.27
850,0.2169,12.5904,0.3354,15.33
860,0.2121,12.6859,0.3400,15.65
870,0.2290,12.3537,0.3353,15.51
880,0.2107,12.7148,0.3429,16.00
890,0.2110,12.7097,0.3427,16.10
900,0.2097,12.7361,0.3490,17.04
910,0.2043,12.8488,0.3571,17.37
920,0.2047,12.8401,0.3549,17.59
930,0.2038,12.8608,0.3623,18.11
940,0.2137,12.6535,0.3384,16.63
950,0.2169,12.5888,0.3347,16.23
960,0.2188,12.5515,0.3340,15.67
970,0.2234,12.4622,0.3191,14.41
980,0.2236,12.4567,0.3069,12.64
990,0.2234,12.4612,0.3076,12.57
