Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0033,30.6808,0.9728
1,1_020,0.0047,29.2200,0.9634
1,1_030,0.0037,30.2674,0.9656
1,1_040,0.0013,34.6594,0.9869
1,1_050,0.0018,33.4693,0.9732
1,1_060,0.0036,30.3974,0.9723
1,1_070,0.0005,38.7551,0.9899
1,1_080,0.0023,32.3593,0.9789
1,1_090,0.0002,43.1693,0.9888
1,1_100,0.0025,31.8760,0.9738
2,2_010,0.0182,23.3444,0.9177
2,2_020,0.0033,30.8006,0.9368
2,2_030,0.0019,33.0474,0.9519
2,2_040,0.0012,35.2901,0.9567
2,2_050,0.0039,30.0011,0.9291
2,2_060,0.0025,32.0545,0.9438
2,2_070,0.0047,29.2397,0.9333
2,2_080,0.0053,28.6434,0.9445
2,2_090,0.0015,34.2192,0.9484
2,2_100,0.0022,32.4058,0.9389
3,3_010,0.0031,31.1005,0.9639
3,3_020,0.0234,22.2348,0.8995
3,3_030,0.0080,26.8829,0.9497
3,3_040,0.0039,30.0073,0.9336
3,3_050,0.0048,29.0953,0.9413
3,3_060,0.0047,29.1218,0.9398
3,3_070,0.0008,36.9234,0.9727
3,3_080,0.0021,32.5788,0.9420
3,3_090,0.0007,37.3136,0.9717
3,3_097,0.0018,33.3592,0.9480
4,4_010,0.0008,37.0098,0.9886
4,4_020,0.0048,29.0999,0.9665
4,4_030,0.0004,39.5698,0.9900
4,4_040,0.0297,21.1889,0.9027
4,4_050,0.0070,27.4764,0.9464
4,4_060,0.0044,29.5185,0.9500
4,4_070,0.0026,31.8063,0.9605
4,4_080,0.0064,27.8707,0.9553
4,4_090,0.0033,30.6742,0.9557
4,4_100,0.0042,29.7191,0.9516
5,5_010,0.0036,30.3350,0.9433
5,5_020,0.0040,29.9662,0.9420
5,5_030,0.0077,27.0655,0.9332
5,5_040,0.0082,26.8169,0.9360
5,5_050,0.0198,22.9938,0.9024
5,5_060,0.0022,32.5738,0.9327
5,5_070,0.0071,27.4683,0.9280
5,5_080,0.0064,27.8850,0.9189
5,5_090,0.0043,29.6203,0.9275
5,5_100,0.0019,33.1879,0.9475
6,6_010,0.0104,25.7267,0.9539
6,6_020,0.0075,27.1436,0.9632
6,6_030,0.0004,40.0012,0.9779
6,6_040,0.0349,20.5250,0.8619
6,6_050,0.0159,23.9496,0.9135
6,6_060,0.0276,21.5419,0.8645
6,6_070,0.0334,20.6740,0.8591
6,6_080,0.0164,23.7660,0.8818
6,6_090,0.0144,24.3393,0.8907
6,6_100,0.0059,28.1771,0.9298
7,7_010,0.0014,34.5623,0.9672
7,7_020,0.0007,37.5717,0.9803
7,7_030,0.0158,23.9605,0.9237
7,7_040,0.0285,21.3688,0.8747
7,7_050,0.0367,20.3018,0.8601
7,7_060,0.0246,22.0359,0.8700
7,7_070,0.0162,23.8506,0.8859
7,7_080,0.0077,27.1014,0.9264
7,7_090,0.0271,21.5811,0.8657
7,7_100,0.0034,30.5822,0.9204
8,8_010,0.0291,21.3137,0.8974
8,8_020,0.0279,21.4936,0.8950
8,8_030,0.0180,23.3943,0.8922
8,8_040,0.0079,26.9984,0.9405
8,8_050,0.0083,26.7838,0.9244
8,8_060,0.0074,27.2847,0.9095
8,8_070,0.0155,24.0621,0.9113
8,8_080,0.0127,24.9262,0.9098
8,8_090,0.0034,30.6993,0.9360
8,8_100,0.0057,28.3928,0.9256
11,11_010,0.0050,28.9200,0.9267
11,11_020,0.0086,26.5788,0.9133
11,11_030,0.0042,29.6719,0.9386
11,11_040,0.0044,29.4857,0.9121
11,11_050,0.0113,25.4033,0.8991
11,11_060,0.0045,29.3467,0.9152
11,11_070,0.0062,27.9732,0.9072
11,11_080,0.0158,23.9371,0.9171
11,11_090,0.0068,27.6001,0.9297
11,11_100,0.0126,24.9509,0.9022
13,13_010,0.0138,24.5642,0.9175
13,13_020,0.0082,26.7965,0.9389
13,13_030,0.0111,25.4797,0.9018
13,13_040,0.0225,22.4397,0.9074
13,13_050,0.0109,25.5633,0.9263
13,13_060,0.0048,29.1602,0.9395
13,13_070,0.0095,26.1695,0.9153
13,13_080,0.0140,24.5059,0.8943
13,13_090,0.0087,26.5421,0.9219
13,13_100,0.0066,27.7321,0.9382
16,16_010,0.0013,34.9487,0.9864
16,16_020,0.0001,46.4453,0.9930
16,16_030,0.0015,34.1230,0.9806
16,16_040,0.0023,32.3355,0.9719
16,16_050,0.0005,39.1406,0.9892
16,16_060,0.0014,34.5041,0.9845
16,16_070,0.0000,49.8010,0.9957
16,16_080,0.0015,34.1362,0.9818
16,16_090,0.0009,36.1275,0.9830
16,16_100,0.0003,40.8559,0.9904
17,17_010,0.0057,28.3617,0.9711
17,17_020,0.0012,35.2567,0.9853
17,17_030,0.0004,39.6195,0.9811
17,17_040,0.0001,48.2684,0.9937
17,17_050,0.0040,29.8826,0.9742
17,17_060,0.0002,42.3791,0.9881
17,17_070,0.0001,46.0514,0.9907
17,17_080,0.0021,32.6075,0.9704
17,17_090,0.0001,45.9390,0.9937
17,17_100,0.0001,44.9922,0.9912
18,18_010,0.0004,39.7565,0.9876
18,18_020,0.0020,32.8038,0.9701
18,18_030,0.0091,26.3486,0.9411
18,18_040,0.0024,32.1998,0.9527
18,18_050,0.0002,43.2383,0.9883
18,18_060,0.0042,29.7456,0.9599
18,18_070,0.0017,33.6005,0.9698
18,18_080,0.0033,30.7220,0.9393
18,18_090,0.0015,34.2968,0.9704
18,18_100,0.0020,32.9321,0.9612
20,20_010,0.0055,28.5774,0.9590
20,20_020,0.0116,25.3053,0.9300
20,20_030,0.0213,22.6255,0.8763
20,20_040,0.0027,31.6924,0.9350
20,20_050,0.0028,31.4142,0.9359
20,20_060,0.0010,35.7683,0.9604
20,20_070,0.0007,37.5300,0.9614
20,20_080,0.0005,38.5702,0.9728
20,20_090,0.0003,41.7483,0.9776
20,20_100,0.0004,39.8785,0.9777
21,21_010,0.0027,31.6388,0.9667
21,21_020,0.0142,24.4237,0.9035
21,21_030,0.0246,22.0431,0.8871
21,21_040,0.0008,36.7304,0.9605
21,21_050,0.0036,30.3609,0.9254
21,21_060,0.0059,28.2109,0.9299
21,21_070,0.0049,29.0301,0.9428
21,21_080,0.0039,30.0559,0.9433
21,21_090,0.0034,30.6617,0.9651
21,21_100,0.0190,23.1623,0.8916
22,22_010,0.0001,47.1911,0.9939
22,22_020,0.0072,27.3236,0.9473
22,22_030,0.0365,20.3295,0.8825
22,22_040,0.0041,29.8065,0.9594
22,22_050,0.0206,22.7746,0.9024
22,22_060,0.0113,25.4032,0.9141
22,22_070,0.0061,28.1046,0.9220
22,22_080,0.0050,28.9320,0.9201
22,22_090,0.0169,23.6371,0.8900
22,22_100,0.0078,27.0216,0.9237
23,23_010,0.0156,23.9972,0.9480
23,23_020,0.0001,46.7557,0.9888
23,23_030,0.0115,25.2755,0.9164
23,23_040,0.0160,23.8677,0.9366
23,23_050,0.0032,30.8016,0.9578
23,23_060,0.0099,25.9805,0.9487
23,23_070,0.0008,36.7328,0.9746
23,23_080,0.0075,27.1445,0.9525
23,23_090,0.0028,31.5219,0.9683
23,23_100,0.0030,31.1642,0.9509
24,24_010,0.0065,27.8090,0.9527
24,24_020,0.0008,37.1204,0.9789
24,24_030,0.0025,31.9363,0.9753
24,24_040,0.0104,25.7201,0.9440
24,24_050,0.0099,25.9677,0.9060
24,24_060,0.0074,27.2419,0.9173
24,24_070,0.0112,25.4381,0.8918
24,24_080,0.0106,25.6555,0.9198
24,24_090,0.0076,27.1048,0.9127
24,24_100,0.0040,29.9193,0.9490
25,25_010,0.0002,43.5558,0.9830
25,25_020,0.0029,31.2636,0.9273
25,25_030,0.0029,31.2724,0.9410
25,25_040,0.0088,26.4543,0.9277
25,25_050,0.0054,28.5873,0.9183
25,25_060,0.0083,26.7106,0.9293
25,25_070,0.0107,25.6259,0.9190
25,25_080,0.0047,29.1539,0.9096
25,25_090,0.0076,27.1379,0.9069
25,25_100,0.0025,31.9029,0.9376
26,26_010,0.0269,21.6145,0.8924
26,26_020,0.0348,20.4984,0.8603
26,26_030,0.0074,27.1989,0.9194
26,26_040,0.0022,32.5176,0.9563
26,26_050,0.0023,32.3786,0.9452
26,26_060,0.0026,31.8071,0.9441
26,26_070,0.0023,32.2775,0.9632
26,26_080,0.0034,30.6029,0.9498
26,26_090,0.0088,26.4872,0.9291
26,26_099,0.0041,29.7706,0.9450
27,27_010,0.0020,32.8172,0.9643
27,27_020,0.0194,23.0457,0.9345
27,27_030,0.0019,33.0846,0.9739
27,27_040,0.0144,24.3325,0.9330
27,27_050,0.0058,28.3055,0.9120
27,27_060,0.0044,29.4395,0.9359
27,27_070,0.0045,29.4006,0.9344
27,27_080,0.0046,29.3247,0.9485
27,27_090,0.0051,28.8578,0.9353
27,27_100,0.0083,26.7510,0.9184
28,28_010,0.0095,26.1293,0.9539
28,28_020,0.0038,30.1466,0.9310
28,28_030,0.0074,27.2316,0.9228
28,28_040,0.0032,30.8074,0.9631
28,28_050,0.0068,27.5701,0.9468
28,28_060,0.0039,29.9786,0.9743
28,28_070,0.0106,25.6678,0.9500
28,28_080,0.0003,41.7456,0.9748
28,28_090,0.0003,40.5286,0.9749
28,28_100,0.0034,30.6408,0.9659
29,29_010,0.0166,23.7137,0.9306
29,29_020,0.0093,26.2127,0.9396
29,29_030,0.0230,22.2961,0.9083
29,29_040,0.0021,32.6628,0.9380
29,29_050,0.0023,32.3302,0.9434
29,29_060,0.0012,34.9682,0.9533
29,29_070,0.0022,32.4009,0.9444
29,29_080,0.0025,32.0005,0.9457
29,29_090,0.0016,33.9405,0.9391
29,29_098,0.0013,34.8758,0.9557
30,30_010,0.0002,42.5476,0.9857
30,30_020,0.0009,36.6180,0.9794
30,30_030,0.0001,46.4162,0.9896
30,30_040,0.0004,39.7353,0.9860
30,30_050,0.0046,29.2938,0.9617
30,30_060,0.0048,29.0839,0.9477
30,30_070,0.0052,28.7365,0.9737
30,30_080,0.0002,42.2757,0.9803
30,30_090,0.0040,29.8581,0.9723
30,30_100,0.0002,42.3313,0.9770
