Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1064,15.6488,0.4298,0.81
10,0.0815,16.8088,0.4882,3.48
20,0.0757,17.1296,0.5028,4.59
30,0.0757,17.1269,0.5093,5.56
40,0.0754,17.1441,0.5076,6.02
50,0.0728,17.2993,0.5429,7.63
60,0.0718,17.3548,0.5490,7.99
70,0.0714,17.3806,0.5510,8.18
80,0.0729,17.2925,0.5583,9.26
90,0.0605,18.0979,0.5722,10.53
100,0.0629,17.9305,0.5772,11.91
110,0.0674,17.6285,0.5806,12.96
120,0.0623,17.9719,0.5891,13.35
130,0.0639,17.8629,0.5876,13.18
140,0.0604,18.1079,0.5844,13.68
150,0.0601,18.1293,0.5848,13.72
160,0.0600,18.1330,0.5861,13.88
170,0.0595,18.1722,0.5827,14.02
180,0.0614,18.0378,0.5667,13.83
190,0.0602,18.1223,0.5675,13.92
200,0.0598,18.1520,0.5706,14.00
210,0.0605,18.1017,0.5657,14.00
220,0.0612,18.0485,0.5710,14.18
230,0.0619,17.9981,0.5700,13.94
240,0.0591,18.2035,0.5687,13.57
250,0.0596,18.1627,0.5669,13.38
260,0.0597,18.1609,0.5662,13.28
270,0.0567,18.3851,0.5773,13.57
280,0.0686,17.5527,0.5491,13.06
290,0.0650,17.7867,0.5770,12.93
300,0.0658,17.7354,0.5716,12.02
310,0.0666,17.6835,0.5649,11.48
320,0.0670,17.6552,0.5587,12.60
330,0.0666,17.6831,0.5671,13.09
340,0.0705,17.4386,0.5598,13.30
350,0.0698,17.4808,0.5580,13.07
360,0.0698,17.4767,0.5582,13.02
370,0.0704,17.4405,0.5578,13.00
380,0.0698,17.4774,0.5556,12.58
390,0.0680,17.5944,0.5570,12.76
400,0.0635,17.8877,0.5651,13.52
410,0.0562,18.4184,0.5759,14.17
420,0.0546,18.5462,0.5665,14.28
430,0.0519,18.7677,0.5812,15.23
440,0.0517,18.7804,0.5763,14.84
450,0.0519,18.7686,0.5737,14.53
460,0.0518,18.7723,0.5745,13.97
470,0.0526,18.7057,0.5584,13.30
480,0.0539,18.5990,0.5509,12.76
490,0.0542,18.5767,0.5509,12.59
500,0.3276,10.7985,0.2261,12.32
510,0.3207,10.8919,0.2317,10.82
520,0.3164,10.9493,0.2396,10.67
530,0.3239,10.8482,0.2432,9.69
540,0.3060,11.0956,0.2552,8.84
550,0.2863,11.3838,0.2544,8.26
560,0.2686,11.6609,0.2538,7.93
570,0.2603,11.7974,0.2578,7.79
580,0.2564,11.8633,0.2623,8.21
590,0.2574,11.8468,0.2662,8.68
600,0.2515,11.9462,0.2779,9.76
610,0.2434,12.0881,0.2830,9.71
620,0.2376,12.1939,0.2883,10.82
630,0.2315,12.3076,0.2957,11.21
640,0.2269,12.3933,0.2953,11.83
650,0.2251,12.4287,0.3026,11.44
660,0.2467,12.0308,0.3011,11.91
670,0.2181,12.5647,0.3123,12.82
680,0.2132,12.6653,0.3214,13.04
690,0.2415,12.1222,0.3258,13.10
700,0.1793,13.4155,0.3468,14.92
710,0.1815,13.3630,0.3438,15.02
720,0.1815,13.3630,0.3439,15.04
730,0.1812,13.3709,0.3437,14.74
740,0.1824,13.3408,0.3411,14.30
750,0.1854,13.2707,0.3364,13.86
760,0.1895,13.1769,0.3305,12.92
770,0.1921,13.1165,0.3184,12.45
780,0.1921,13.1168,0.3237,12.54
790,0.1939,13.0761,0.3187,12.04
800,0.1936,13.0820,0.3195,12.11
810,0.1937,13.0816,0.3203,12.33
820,0.1975,12.9965,0.3165,11.84
830,0.2119,12.6900,0.3122,11.29
840,0.2025,12.8883,0.3345,12.59
850,0.2045,12.8443,0.3383,12.76
860,0.2059,12.8152,0.3369,12.63
870,0.2060,12.8141,0.3367,12.59
880,0.2060,12.8127,0.3374,12.78
890,0.2014,12.9123,0.3411,12.84
900,0.1979,12.9877,0.3490,13.22
910,0.1969,13.0107,0.3546,13.47
920,0.1965,13.0186,0.3559,13.84
930,0.2002,12.9368,0.3525,13.58
940,0.2041,12.8530,0.3449,13.62
950,0.2045,12.8461,0.3399,12.43
960,0.2029,12.8803,0.3401,12.35
970,0.2274,12.3848,0.3138,11.39
980,0.1908,13.1462,0.3241,12.20
990,0.1806,13.3852,0.3322,13.32
