Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
1,1,1.47743,1.94395,0.10453,0.0884,16.4847,0.7926
1,2,1.66701,1.92381,0.10086,0.0825,16.8234,0.7928
1,3,1.52159,1.70993,0.09156,0.0710,17.5198,0.7976
1,4,1.35138,1.71256,0.09115,0.0673,17.6976,0.7907
1,5,1.34793,1.64296,0.08161,0.0582,18.4400,0.8018
1,6,1.28532,1.59996,0.07363,0.0461,19.3668,0.7947
1,7,1.30031,1.57424,0.07453,0.0484,19.4116,0.7934
1,8,1.31008,1.47835,0.06542,0.0376,20.4031,0.7947
1,9,1.31553,1.40266,0.06011,0.0345,21.0921,0.8039
1,10,1.30987,1.41439,0.06141,0.0337,21.0120,0.7943
1,11,1.33379,1.34047,0.05540,0.0302,21.7674,0.8098
1,12,1.34886,1.33876,0.05520,0.0295,21.9702,0.8105
1,13,1.32720,1.30327,0.04618,0.0220,23.1002,0.8185
1,14,1.39188,1.35019,0.05407,0.0321,22.1072,0.8133
1,15,1.38144,1.21194,0.03845,0.0167,24.8617,0.8275
1,16,1.48109,1.20590,0.04929,0.0298,21.9704,0.8289
1,17,1.40273,1.20933,0.04917,0.0296,22.5412,0.8339
1,18,1.38004,1.21675,0.04410,0.0263,23.5338,0.8505
1,19,1.39390,1.20410,0.04325,0.0257,23.5050,0.8483
1,20,1.39114,1.15409,0.04264,0.0247,23.4770,0.8482
1,21,1.36971,1.05406,0.03492,0.0182,25.0772,0.8631
1,22,1.36895,0.99750,0.02949,0.0127,26.2556,0.8761
1,23,1.33531,1.12984,0.03828,0.0243,24.8922,0.8654
1,24,1.36461,1.06292,0.03235,0.0181,25.5728,0.8703
1,25,1.38809,1.22231,0.04967,0.0380,22.8035,0.8597
1,26,1.36778,1.05373,0.03331,0.0178,24.8951,0.8812
1,27,1.37213,0.98840,0.02799,0.0137,25.8593,0.8788
1,28,1.36978,1.14568,0.03998,0.0293,24.2983,0.8757
1,29,1.36906,1.12006,0.03744,0.0231,24.1975,0.8728
1,30,1.38323,1.05145,0.03212,0.0181,25.8374,0.8796
1,31,1.38541,1.09684,0.03922,0.0233,23.3810,0.8781
1,32,1.38615,1.09645,0.03565,0.0221,24.5369,0.8806
1,33,1.40738,0.99901,0.02798,0.0146,26.3256,0.8894
1,34,1.39332,1.08619,0.03704,0.0218,24.0283,0.8877
1,35,1.36096,1.09220,0.03447,0.0213,25.6824,0.8867
1,36,1.36790,1.14087,0.04153,0.0277,23.3089,0.8705
1,37,1.36609,1.00276,0.02688,0.0135,27.1289,0.8866
1,38,1.37800,1.00624,0.03002,0.0169,26.3234,0.8837
1,39,1.40299,1.11069,0.03785,0.0241,25.1249,0.8879
1,40,1.40879,1.13838,0.03957,0.0263,23.6901,0.8684
1,41,1.38157,1.07305,0.03489,0.0218,24.8328,0.8831
1,42,1.40781,1.18627,0.04706,0.0383,23.2405,0.8746
1,43,1.38244,1.07339,0.03634,0.0258,24.1332,0.8846
1,44,1.41813,1.09213,0.03696,0.0211,24.6084,0.8747
1,45,1.38676,1.02456,0.03418,0.0219,26.0011,0.8827
1,46,1.38114,1.07364,0.03702,0.0251,23.7074,0.8824
1,47,1.37927,1.21697,0.04990,0.0426,22.7937,0.8789
1,48,1.38142,1.12784,0.03834,0.0276,22.9707,0.8818
1,49,1.36247,1.07738,0.03444,0.0223,24.2304,0.8775
