Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0128,24.8431,0.9384
1,1_020,0.0015,34.1438,0.9790
1,1_030,0.0029,31.3332,0.9754
1,1_040,0.0008,37.1066,0.9894
1,1_050,0.0003,41.4686,0.9907
1,1_060,0.0077,27.0320,0.9712
1,1_070,0.0000,49.7312,0.9962
1,1_080,0.0025,31.9214,0.9817
1,1_090,0.0027,31.6270,0.9753
1,1_100,0.0000,49.2394,0.9940
2,2_010,0.0280,21.4833,0.9053
2,2_020,0.0027,31.6298,0.9357
2,2_030,0.0031,31.0294,0.9386
2,2_040,0.0117,25.2331,0.9126
2,2_050,0.0017,33.5382,0.9469
2,2_060,0.0129,24.8452,0.9152
2,2_070,0.0033,30.6689,0.9406
2,2_080,0.0014,34.3642,0.9505
2,2_090,0.0073,27.3065,0.9287
2,2_100,0.0015,34.2365,0.9553
3,3_010,0.0080,26.8889,0.9475
3,3_020,0.0107,25.6141,0.9325
3,3_030,0.0092,26.2699,0.9519
3,3_040,0.0071,27.4064,0.9237
3,3_050,0.0109,25.5870,0.9356
3,3_060,0.0047,29.1728,0.9416
3,3_070,0.0015,34.2369,0.9662
3,3_080,0.0033,30.7413,0.9466
3,3_090,0.0006,38.1447,0.9752
3,3_097,0.0021,32.7663,0.9458
4,4_010,0.0101,25.8731,0.9421
4,4_020,0.0142,24.3924,0.9403
4,4_030,0.0002,43.7725,0.9943
4,4_040,0.0212,22.6637,0.9368
4,4_050,0.0074,27.2361,0.9344
4,4_060,0.0051,28.8855,0.9306
4,4_070,0.0122,25.0507,0.9372
4,4_080,0.0035,30.4847,0.9584
4,4_090,0.0032,30.8381,0.9617
4,4_100,0.0053,28.6824,0.9350
5,5_010,0.0029,31.2660,0.9508
5,5_020,0.0147,24.2925,0.9278
5,5_030,0.0248,22.0062,0.8814
5,5_040,0.0106,25.6842,0.9321
5,5_050,0.0094,26.1992,0.9363
5,5_060,0.0083,26.7943,0.8980
5,5_070,0.0503,18.9392,0.8778
5,5_080,0.0014,34.5093,0.9495
5,5_090,0.0053,28.6906,0.9332
5,5_100,0.0149,24.1755,0.9220
6,6_010,0.0017,33.5697,0.9576
6,6_020,0.0124,24.9819,0.9366
6,6_030,0.0085,26.6232,0.9392
6,6_040,0.0065,27.8057,0.9578
6,6_050,0.0172,23.5750,0.9159
6,6_060,0.0233,22.2785,0.8709
6,6_070,0.0185,23.2428,0.9035
6,6_080,0.0072,27.3530,0.9125
6,6_090,0.0133,24.6694,0.8909
6,6_100,0.0024,32.0628,0.9380
7,7_010,0.0024,32.0438,0.9586
7,7_020,0.0089,26.4490,0.9592
7,7_030,0.0188,23.2136,0.9034
7,7_040,0.0111,25.4833,0.9197
7,7_050,0.0247,22.0330,0.8943
7,7_060,0.0172,23.6065,0.9161
7,7_070,0.0068,27.6412,0.9221
7,7_080,0.0140,24.4817,0.8752
7,7_090,0.0043,29.5696,0.9187
7,7_100,0.0084,26.6899,0.9124
8,8_010,0.0136,24.6141,0.9066
8,8_020,0.0202,22.9077,0.8970
8,8_030,0.0072,27.3893,0.9245
8,8_040,0.0114,25.3769,0.9084
8,8_050,0.0221,22.5013,0.8920
8,8_060,0.0058,28.3387,0.9327
8,8_070,0.0126,24.9358,0.9159
8,8_080,0.0106,25.7099,0.9104
8,8_090,0.0298,21.2055,0.8807
8,8_100,0.0040,29.9453,0.9463
11,11_010,0.0090,26.3802,0.9170
11,11_020,0.0121,25.1305,0.9082
11,11_030,0.0091,26.3524,0.9239
11,11_040,0.0086,26.5811,0.9130
11,11_050,0.0058,28.3323,0.9160
11,11_060,0.0040,29.9790,0.9199
11,11_070,0.0100,25.9044,0.9190
11,11_080,0.0142,24.4168,0.8930
11,11_090,0.0146,24.2702,0.8889
11,11_100,0.0156,24.0168,0.8886
13,13_010,0.0577,18.3438,0.8575
13,13_020,0.0291,21.3127,0.8822
13,13_030,0.0172,23.5898,0.9009
13,13_040,0.0169,23.6714,0.8962
13,13_050,0.0182,23.3451,0.8866
13,13_060,0.0086,26.6140,0.8994
13,13_070,0.0071,27.4459,0.9222
13,13_080,0.0166,23.7478,0.8846
13,13_090,0.0041,29.8489,0.9415
13,13_100,0.0136,24.6194,0.9142
16,16_010,0.0000,52.7967,0.9973
16,16_020,0.0027,31.5509,0.9732
16,16_030,0.0032,30.8077,0.9677
16,16_040,0.0019,33.0899,0.9748
16,16_050,0.0000,50.5755,0.9957
16,16_060,0.0020,32.8997,0.9790
16,16_070,0.0017,33.5531,0.9790
16,16_080,0.0004,40.3504,0.9938
16,16_090,0.0000,51.9969,0.9964
16,16_100,0.0000,52.1151,0.9966
17,17_010,0.0011,35.4851,0.9884
17,17_020,0.0006,38.1680,0.9830
17,17_030,0.0001,44.9897,0.9888
17,17_040,0.0002,42.1100,0.9852
17,17_050,0.0018,33.4614,0.9755
17,17_060,0.0002,43.8702,0.9875
17,17_070,0.0001,45.4808,0.9918
17,17_080,0.0002,43.4574,0.9877
17,17_090,0.0005,39.4156,0.9853
17,17_100,0.0011,35.1824,0.9857
18,18_010,0.0048,29.0593,0.9534
18,18_020,0.0021,32.6157,0.9823
18,18_030,0.0127,24.9165,0.9493
18,18_040,0.0014,34.5572,0.9699
18,18_050,0.0009,36.4776,0.9736
18,18_060,0.0020,32.8182,0.9716
18,18_070,0.0105,25.7537,0.9479
18,18_080,0.0020,33.0480,0.9733
18,18_090,0.0033,30.7306,0.9661
18,18_100,0.0004,40.1087,0.9828
20,20_010,0.0006,37.9124,0.9791
20,20_020,0.0152,24.1370,0.9296
20,20_030,0.0057,28.3870,0.9303
20,20_040,0.0079,26.9831,0.9276
20,20_050,0.0044,29.4750,0.9319
20,20_060,0.0036,30.3296,0.9438
20,20_070,0.0010,36.0821,0.9562
20,20_080,0.0075,27.1147,0.9254
20,20_090,0.0029,31.2158,0.9356
20,20_100,0.0005,38.6690,0.9662
21,21_010,0.0013,34.8973,0.9800
21,21_020,0.0201,22.9283,0.8923
21,21_030,0.0131,24.7832,0.9043
21,21_040,0.0028,31.5031,0.9498
21,21_050,0.0021,32.8269,0.9362
21,21_060,0.0021,32.7135,0.9438
21,21_070,0.0018,33.4781,0.9451
21,21_080,0.0007,37.4864,0.9715
21,21_090,0.0071,27.4630,0.9054
21,21_100,0.0029,31.3750,0.9374
22,22_010,0.0002,44.0003,0.9888
22,22_020,0.0354,20.4318,0.9115
22,22_030,0.0105,25.7479,0.9382
22,22_040,0.0022,32.4532,0.9612
22,22_050,0.0122,25.0615,0.9165
22,22_060,0.0214,22.6395,0.8969
22,22_070,0.0209,22.7589,0.8669
22,22_080,0.0104,25.7519,0.8952
22,22_090,0.0032,30.9194,0.9349
22,22_100,0.0015,34.1562,0.9536
23,23_010,0.0219,22.5072,0.9229
23,23_020,0.0061,28.0732,0.9596
23,23_030,0.0044,29.4782,0.9589
23,23_040,0.0264,21.6998,0.9181
23,23_050,0.0028,31.4849,0.9488
23,23_060,0.0021,32.7444,0.9823
23,23_070,0.0011,35.4350,0.9812
23,23_080,0.0136,24.5797,0.9375
23,23_090,0.0001,44.7597,0.9868
23,23_100,0.0027,31.6054,0.9422
24,24_010,0.0003,41.5829,0.9809
24,24_020,0.0063,27.9081,0.9448
24,24_030,0.0002,43.8211,0.9878
24,24_040,0.0182,23.2742,0.9137
24,24_050,0.0226,22.3846,0.8867
24,24_060,0.0062,28.0068,0.9309
24,24_070,0.0024,32.1551,0.9478
24,24_080,0.0169,23.6475,0.8769
24,24_090,0.0195,23.0200,0.8961
24,24_100,0.0088,26.4874,0.9287
25,25_010,0.0089,26.4380,0.9488
25,25_020,0.0057,28.3891,0.9197
25,25_030,0.0168,23.6672,0.9099
25,25_040,0.0034,30.6108,0.9181
25,25_050,0.0036,30.3102,0.9198
25,25_060,0.0070,27.4431,0.9113
25,25_070,0.0062,28.0210,0.9137
25,25_080,0.0055,28.4959,0.9330
25,25_090,0.0051,28.8738,0.9545
25,25_100,0.0070,27.4709,0.9130
26,26_010,0.0219,22.5135,0.9083
26,26_020,0.0313,20.9600,0.8773
26,26_030,0.0141,24.4159,0.8955
26,26_040,0.0051,28.8773,0.9288
26,26_050,0.0028,31.4789,0.9551
26,26_060,0.0019,33.0283,0.9452
26,26_070,0.0013,34.7972,0.9680
26,26_080,0.0015,34.0790,0.9559
26,26_090,0.0010,35.8406,0.9734
26,26_099,0.0023,32.2734,0.9574
27,27_010,0.0076,27.1310,0.9321
27,27_020,0.0120,25.1081,0.9438
27,27_030,0.0201,22.8872,0.8774
27,27_040,0.0143,24.3751,0.9271
27,27_050,0.0075,27.1802,0.9369
27,27_060,0.0216,22.5645,0.8772
27,27_070,0.0028,31.4404,0.9384
27,27_080,0.0190,23.1265,0.8790
27,27_090,0.0024,32.0927,0.9435
27,27_100,0.0091,26.3328,0.9223
28,28_010,0.0011,35.4585,0.9831
28,28_020,0.0041,29.7894,0.9477
28,28_030,0.0081,26.8558,0.9221
28,28_040,0.0047,29.2382,0.9513
28,28_050,0.0009,36.4611,0.9654
28,28_060,0.0005,39.0506,0.9778
28,28_070,0.0064,27.8515,0.9649
28,28_080,0.0108,25.5676,0.9537
28,28_090,0.0010,36.1150,0.9701
28,28_100,0.0149,24.1929,0.9270
29,29_010,0.0117,25.2450,0.9312
29,29_020,0.0139,24.4757,0.9341
29,29_030,0.0284,21.3868,0.8882
29,29_040,0.0166,23.7286,0.8954
29,29_050,0.0202,22.8655,0.9211
29,29_060,0.0060,28.1711,0.9371
29,29_070,0.0104,25.7623,0.9172
29,29_080,0.0025,31.8547,0.9579
29,29_090,0.0007,37.4424,0.9660
29,29_098,0.0026,31.7414,0.9238
30,30_010,0.0027,31.5007,0.9751
30,30_020,0.0088,26.4632,0.9560
30,30_030,0.0058,28.2684,0.9570
30,30_040,0.0001,46.3477,0.9913
30,30_050,0.0033,30.6394,0.9725
30,30_060,0.0136,24.5548,0.9553
30,30_070,0.0038,30.1016,0.9660
30,30_080,0.0002,43.6194,0.9836
30,30_090,0.0007,37.6220,0.9719
30,30_100,0.0002,43.2830,0.9855
32,32_010,0.0030,31.1628,0.9815
32,32_020,0.0030,31.0926,0.9657
32,32_030,0.0051,28.8198,0.9670
32,32_040,0.0083,26.7250,0.9674
32,32_050,0.0003,41.4491,0.9861
32,32_060,0.0007,37.3132,0.9807
32,32_070,0.0062,27.9866,0.9704
32,32_080,0.0001,46.5460,0.9923
32,32_090,0.0009,36.3275,0.9811
32,32_100,0.0019,33.1130,0.9800
33,33_010,0.0078,26.9785,0.9473
33,33_020,0.0001,44.5634,0.9895
33,33_030,0.0034,30.5991,0.9709
33,33_040,0.0145,24.3024,0.9508
33,33_050,0.0107,25.6411,0.9356
33,33_060,0.0002,43.1331,0.9880
33,33_070,0.0026,31.8212,0.9632
33,33_080,0.0001,48.4289,0.9937
33,33_090,0.0001,46.2465,0.9917
33,33_100,0.0066,27.7492,0.9532
34,34_010,0.0104,25.7620,0.9564
34,34_020,0.0001,47.5229,0.9946
34,34_030,0.0019,33.0913,0.9809
34,34_040,0.0001,45.5805,0.9896
34,34_050,0.0081,26.8517,0.9581
34,34_060,0.0002,43.1954,0.9865
34,34_070,0.0024,32.1111,0.9730
34,34_080,0.0028,31.4346,0.9600
34,34_090,0.0115,25.3023,0.9405
34,34_100,0.0014,34.4071,0.9733
