Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0001,46.8372,0.9939
1,1_020,0.0032,30.8128,0.9755
1,1_030,0.0001,44.3491,0.9940
1,1_040,0.0019,33.1057,0.9829
1,1_050,0.0001,48.7307,0.9960
1,1_060,0.0000,49.8224,0.9971
1,1_070,0.0001,48.4614,0.9948
1,1_080,0.0012,34.9975,0.9856
1,1_090,0.0010,35.7493,0.9827
1,1_100,0.0043,29.5778,0.9695
2,2_010,0.0129,24.8456,0.9200
2,2_020,0.0043,29.6080,0.9200
2,2_030,0.0152,24.0992,0.9156
2,2_040,0.0058,28.2963,0.9215
2,2_050,0.0020,32.9531,0.9514
2,2_060,0.0025,31.9720,0.9427
2,2_070,0.0026,31.7723,0.9457
2,2_080,0.0022,32.4039,0.9404
2,2_090,0.0023,32.3440,0.9444
2,2_100,0.0062,27.9990,0.9294
3,3_010,0.0119,25.2097,0.9300
3,3_020,0.0052,28.7987,0.9456
3,3_030,0.0041,29.7842,0.9655
3,3_040,0.0036,30.3526,0.9337
3,3_050,0.0105,25.7487,0.9081
3,3_060,0.0023,32.2234,0.9497
3,3_070,0.0009,36.3191,0.9684
3,3_080,0.0009,36.5648,0.9686
3,3_090,0.0036,30.2410,0.9467
3,3_097,0.0053,28.6677,0.9624
4,4_010,0.0001,45.1253,0.9957
4,4_020,0.0004,40.3811,0.9954
4,4_030,0.0024,32.1530,0.9801
4,4_040,0.0026,31.7172,0.9714
4,4_050,0.0002,42.2276,0.9956
4,4_060,0.0092,26.2574,0.9502
4,4_070,0.0022,32.5201,0.9716
4,4_080,0.0014,34.3627,0.9807
4,4_090,0.0020,33.0134,0.9702
4,4_100,0.0030,31.1371,0.9423
5,5_010,0.0032,30.8760,0.9555
5,5_020,0.0156,24.0272,0.9157
5,5_030,0.0150,24.1894,0.9101
5,5_040,0.0095,26.1641,0.9357
5,5_050,0.0242,22.1195,0.8748
5,5_060,0.0126,24.9417,0.9295
5,5_070,0.0047,29.2337,0.9326
5,5_080,0.0117,25.2472,0.9074
5,5_090,0.0042,29.6883,0.9383
5,5_100,0.0030,31.1814,0.9459
6,6_010,0.0093,26.2166,0.9543
6,6_020,0.0001,44.8017,0.9916
6,6_030,0.0192,23.0848,0.9011
6,6_040,0.0062,28.0427,0.9547
6,6_050,0.0253,21.8820,0.8895
6,6_060,0.0247,22.0289,0.8648
6,6_070,0.0364,20.3066,0.8646
6,6_080,0.0055,28.5536,0.9158
6,6_090,0.0034,30.6028,0.9326
6,6_100,0.0020,32.8689,0.9478
7,7_010,0.0023,32.2844,0.9614
7,7_020,0.0331,20.7566,0.9220
7,7_030,0.0188,23.2004,0.9037
7,7_040,0.0078,27.0422,0.9251
7,7_050,0.0140,24.4761,0.9011
7,7_060,0.0086,26.6005,0.9013
7,7_070,0.0091,26.3666,0.8976
7,7_080,0.0042,29.6786,0.9275
7,7_090,0.0081,26.8317,0.9247
7,7_100,0.0120,25.1280,0.9183
8,8_010,0.0104,25.7749,0.9492
8,8_020,0.0213,22.6586,0.8969
8,8_030,0.0037,30.2957,0.9277
8,8_040,0.0036,30.4238,0.9351
8,8_050,0.0108,25.6153,0.9188
8,8_060,0.0064,27.8700,0.9244
8,8_070,0.0056,28.4720,0.9209
8,8_080,0.0023,32.3555,0.9560
8,8_090,0.0035,30.5551,0.9395
8,8_100,0.0069,27.5585,0.9177
11,11_010,0.0081,26.8433,0.9223
11,11_020,0.0035,30.4619,0.9249
11,11_030,0.0027,31.5793,0.9433
11,11_040,0.0109,25.5626,0.9338
11,11_050,0.0056,28.4422,0.9428
11,11_060,0.0048,29.1426,0.9219
11,11_070,0.0035,30.4856,0.9331
11,11_080,0.0048,29.1179,0.9249
11,11_090,0.0049,28.9924,0.9257
11,11_100,0.0076,27.1310,0.9127
13,13_010,0.0037,30.2119,0.9475
13,13_020,0.0155,24.0444,0.9066
13,13_030,0.0089,26.4615,0.9170
13,13_040,0.0035,30.5187,0.9520
13,13_050,0.0049,29.0779,0.9336
13,13_060,0.0082,26.7984,0.9188
13,13_070,0.0127,24.9141,0.9128
13,13_080,0.0071,27.4130,0.9385
13,13_090,0.0118,25.2207,0.9143
13,13_100,0.0053,28.6763,0.9329
16,16_010,0.0001,48.2082,0.9943
16,16_020,0.0000,49.8890,0.9962
