Step,MSE,PSNR,SSIM,Percentage Explored
0,0.0998,15.9252,0.4184,0.81
10,0.0726,17.3074,0.4835,2.50
20,0.0763,17.0910,0.4959,3.61
30,0.0739,17.2317,0.5105,5.96
40,0.0723,17.3265,0.5354,6.87
50,0.0790,16.9432,0.5131,7.22
60,0.0799,16.8935,0.4879,6.89
70,0.0790,16.9424,0.5076,7.49
80,0.0779,17.0013,0.5142,7.80
90,0.0810,16.8335,0.5048,7.68
100,0.0920,16.2797,0.4622,6.40
110,0.0929,16.2386,0.4718,5.61
120,0.0822,16.7691,0.4993,6.64
130,0.0671,17.6474,0.5194,7.99
140,0.0802,16.8767,0.4931,7.40
150,0.0816,16.7990,0.4912,7.30
160,0.0784,16.9759,0.4932,7.22
170,0.0787,16.9587,0.4878,7.72
180,0.0813,16.8147,0.4807,6.71
190,0.0837,16.6914,0.4612,6.04
200,0.0762,17.0975,0.4942,6.99
210,0.0843,16.6596,0.4771,6.86
220,0.0876,16.4919,0.4705,5.80
230,0.0929,16.2355,0.4685,6.54
240,0.0923,16.2657,0.4689,6.67
250,0.0933,16.2188,0.4673,7.36
260,0.0802,16.8753,0.4844,8.52
270,0.0765,17.0824,0.4972,9.38
280,0.0758,17.1191,0.5022,9.09
290,0.0788,16.9518,0.5064,8.20
300,0.0761,17.1026,0.5179,9.18
310,0.0667,17.6783,0.5243,7.96
320,0.0684,17.5650,0.5164,6.86
330,0.0686,17.5557,0.5069,6.03
340,0.0681,17.5871,0.5049,6.59
350,0.0692,17.5146,0.5032,6.38
360,0.0695,17.4993,0.5015,6.20
370,0.0695,17.5004,0.4934,5.75
380,0.0695,17.4950,0.4919,5.90
390,0.0690,17.5263,0.4859,5.27
400,0.0703,17.4491,0.4808,4.76
410,0.0719,17.3530,0.4837,4.47
420,0.0713,17.3868,0.4854,4.15
430,0.0711,17.4013,0.4861,4.07
440,0.0710,17.4041,0.4864,3.92
450,0.0724,17.3224,0.4810,3.01
460,0.0715,17.3774,0.4839,3.34
470,0.0695,17.4984,0.4906,4.74
480,0.0696,17.4936,0.4904,4.93
490,0.0701,17.4592,0.4902,4.86
500,0.3680,10.2938,0.2069,4.55
510,0.3641,10.3396,0.2119,5.04
520,0.3623,10.3610,0.2181,4.84
530,0.3650,10.3295,0.2155,4.29
540,0.3622,10.3626,0.2167,3.89
550,0.3611,10.3758,0.2160,3.05
560,0.3504,10.5071,0.2195,2.92
570,0.3490,10.5236,0.2216,3.27
580,0.3465,10.5557,0.2265,4.01
590,0.3502,10.5095,0.2268,4.25
600,0.3439,10.5875,0.2360,5.20
610,0.3328,10.7304,0.2471,6.16
620,0.3275,10.8003,0.2504,6.43
630,0.2949,11.2558,0.2643,7.07
640,0.2930,11.2834,0.2716,7.45
650,0.3149,10.9702,0.2801,8.22
660,0.3149,10.9710,0.2762,7.92
670,0.3116,11.0169,0.2878,9.33
680,0.3001,11.1797,0.2988,10.56
690,0.2881,11.3564,0.3110,11.83
700,0.2446,12.0681,0.3361,13.86
710,0.2207,12.5147,0.3434,14.03
720,0.2164,12.5993,0.3331,13.04
730,0.2198,12.5315,0.3206,11.68
740,0.2223,12.4829,0.3129,10.64
750,0.2219,12.4901,0.3026,10.87
760,0.2200,12.5283,0.2914,10.54
770,0.2291,12.3513,0.2725,8.90
780,0.2444,12.0712,0.2629,8.50
790,0.2462,12.0389,0.2587,8.18
800,0.2588,11.8225,0.2570,8.21
810,0.2607,11.7914,0.2592,8.53
820,0.2586,11.8265,0.2541,8.01
830,0.2516,11.9445,0.2696,9.24
840,0.2459,12.0454,0.2837,10.08
850,0.2630,11.7529,0.2757,9.45
860,0.2605,11.7949,0.2769,9.45
870,0.2487,11.9956,0.2757,8.64
880,0.2337,12.2658,0.2749,7.27
890,0.2686,11.6613,0.2796,7.92
900,0.2703,11.6342,0.2799,8.07
910,0.2716,11.6129,0.3018,9.70
920,0.2648,11.7232,0.3060,9.98
930,0.2720,11.6059,0.3046,9.59
940,0.2803,11.4762,0.2968,9.75
950,0.2755,11.5509,0.2948,9.52
960,0.2824,11.4428,0.3014,9.11
970,0.2935,11.2764,0.2869,8.37
980,0.2971,11.2227,0.2717,7.04
990,0.2998,11.1837,0.2627,7.35
