Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1169,15.2385,0.4246,0.78
10,0.1148,15.3168,0.4390,1.37
20,0.1135,15.3682,0.4449,1.83
30,0.1133,15.3766,0.4529,2.77
40,0.1105,15.4855,0.4700,4.90
50,0.1099,15.5086,0.4761,5.52
60,0.1093,15.5326,0.4798,6.22
70,0.1093,15.5326,0.4798,6.22
80,0.1089,15.5483,0.4800,6.43
90,0.1079,15.5857,0.4896,6.88
100,0.1079,15.5893,0.4918,7.57
110,0.1053,15.6933,0.5086,9.35
120,0.1037,15.7598,0.5195,10.17
130,0.1023,15.8210,0.5304,11.30
140,0.1017,15.8450,0.5411,10.84
150,0.1017,15.8446,0.5410,10.83
160,0.1017,15.8446,0.5410,10.86
170,0.1017,15.8446,0.5410,10.86
180,0.1025,15.8104,0.5321,11.13
190,0.1025,15.8108,0.5312,11.29
200,0.1017,15.8426,0.5438,11.12
210,0.1018,15.8411,0.5432,11.05
220,0.1035,15.7689,0.5318,11.02
230,0.1015,15.8528,0.5550,11.55
240,0.1017,15.8453,0.5544,12.02
250,0.1018,15.8392,0.5532,12.03
260,0.1018,15.8392,0.5532,12.03
270,0.1018,15.8394,0.5545,11.92
280,0.1024,15.8153,0.5485,10.79
290,0.1025,15.8086,0.5485,10.17
300,0.1066,15.6412,0.5206,9.72
310,0.1064,15.6465,0.5268,9.74
320,0.1082,15.5760,0.5215,11.20
330,0.1066,15.6389,0.5379,11.65
340,0.1066,15.6403,0.5355,11.37
350,0.1068,15.6321,0.5351,11.44
360,0.1067,15.6360,0.5358,11.75
370,0.1067,15.6360,0.5358,11.75
380,0.1041,15.7415,0.5439,14.18
390,0.1039,15.7512,0.5491,14.55
400,0.1038,15.7550,0.5504,14.70
410,0.1034,15.7747,0.5532,14.44
420,0.1031,15.7870,0.5558,13.82
430,0.1041,15.7435,0.5482,13.45
440,0.1042,15.7391,0.5510,13.22
450,0.1042,15.7378,0.5495,12.77
460,0.1045,15.7287,0.5455,12.34
470,0.1046,15.7243,0.5500,12.60
480,0.1048,15.7147,0.5476,12.19
490,0.1051,15.7004,0.5438,12.60
500,0.3508,10.5020,0.2152,12.16
510,0.3506,10.5035,0.2231,12.03
520,0.3493,10.5205,0.2337,12.41
530,0.3439,10.5881,0.2478,12.85
540,0.3377,10.6670,0.2629,13.89
550,0.3080,11.0666,0.2863,15.87
560,0.2831,11.4324,0.2994,16.66
570,0.2596,11.8090,0.3105,17.59
580,0.2458,12.0463,0.3133,18.32
590,0.2425,12.1051,0.3199,18.51
600,0.2421,12.1114,0.3204,18.56
610,0.2421,12.1123,0.3211,18.78
620,0.2417,12.1193,0.3226,18.74
630,0.2417,12.1197,0.3222,18.21
640,0.2417,12.1203,0.3213,17.92
650,0.2416,12.1208,0.3242,18.23
660,0.2419,12.1161,0.3242,17.68
670,0.2435,12.0868,0.3198,16.49
680,0.2478,12.0103,0.3182,15.88
690,0.2559,11.8715,0.3095,13.75
700,0.2553,11.8816,0.3016,11.73
710,0.2585,11.8280,0.2863,10.45
720,0.2587,11.8236,0.2833,9.91
730,0.2588,11.8234,0.2832,9.93
740,0.2583,11.8314,0.2844,10.06
750,0.2577,11.8406,0.2861,10.11
760,0.2548,11.8907,0.2921,10.74
770,0.2544,11.8975,0.2922,10.45
780,0.2731,11.5883,0.2786,9.08
790,0.3366,10.6812,0.2528,6.96
800,0.3421,10.6107,0.2462,6.49
810,0.3401,10.6357,0.2482,6.62
820,0.3406,10.6293,0.2494,6.69
830,0.3407,10.6291,0.2494,6.68
840,0.3531,10.4729,0.2450,6.62
850,0.3366,10.6806,0.2489,6.35
860,0.3364,10.6840,0.2468,6.60
870,0.3320,10.7403,0.2514,6.92
880,0.3314,10.7488,0.2541,7.20
890,0.3238,10.8490,0.2616,7.91
900,0.3124,11.0051,0.2666,8.37
910,0.3057,11.0996,0.2694,8.62
920,0.2631,11.7515,0.2937,10.44
930,0.2407,12.1377,0.3015,11.12
940,0.2266,12.4000,0.3059,11.45
950,0.2189,12.5492,0.3139,12.37
960,0.2179,12.5692,0.3149,12.51
970,0.2165,12.5976,0.3198,12.91
980,0.2174,12.5803,0.3176,13.09
990,0.1967,13.0135,0.3283,14.18
