Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1163,15.2615,0.4491,0.81
10,0.1176,15.2132,0.4429,1.86
20,0.1111,15.4624,0.4959,3.90
30,0.1136,15.3634,0.4900,4.01
40,0.1076,15.5993,0.4943,4.50
50,0.1064,15.6486,0.4976,5.22
60,0.1063,15.6540,0.5025,5.78
70,0.1064,15.6471,0.4986,6.22
80,0.1056,15.6809,0.5111,7.73
90,0.1049,15.7101,0.5140,8.25
100,0.1048,15.7127,0.5144,8.52
110,0.1048,15.7140,0.5148,8.65
120,0.1078,15.5929,0.4866,8.40
130,0.1054,15.6890,0.5040,9.07
140,0.1083,15.5714,0.5065,8.95
150,0.1107,15.4771,0.4967,8.75
160,0.1094,15.5263,0.5091,9.04
170,0.1094,15.5268,0.5094,9.26
180,0.1094,15.5281,0.5098,9.27
190,0.1100,15.5024,0.5026,9.83
200,0.1098,15.5108,0.5053,10.44
210,0.1110,15.4630,0.5017,11.12
220,0.1082,15.5764,0.5097,12.57
230,0.1086,15.5608,0.5090,12.11
240,0.1090,15.5444,0.5072,11.24
250,0.1090,15.5421,0.5075,11.01
260,0.1096,15.5202,0.5027,11.39
270,0.1096,15.5198,0.5029,11.08
280,0.1093,15.5319,0.5040,10.92
290,0.1093,15.5320,0.5036,10.26
300,0.1093,15.5297,0.5041,9.69
310,0.1094,15.5286,0.5038,9.75
320,0.1096,15.5178,0.5026,9.30
330,0.1094,15.5296,0.5039,9.13
340,0.1107,15.4768,0.4930,8.42
350,0.1110,15.4638,0.4888,8.36
360,0.1113,15.4525,0.4834,7.43
370,0.1119,15.4306,0.4764,7.10
380,0.1118,15.4333,0.4802,7.56
390,0.1125,15.4059,0.4721,7.17
400,0.1073,15.6104,0.5053,8.28
410,0.1069,15.6282,0.5092,9.05
420,0.1011,15.8711,0.5463,10.38
430,0.0988,15.9714,0.5632,11.97
440,0.0990,15.9607,0.5595,12.01
450,0.0968,16.0574,0.5679,13.10
460,0.0972,16.0414,0.5663,12.81
470,0.0978,16.0156,0.5597,12.42
480,0.0974,16.0320,0.5582,12.93
490,0.0970,16.0513,0.5679,13.62
500,0.3383,10.6593,0.2222,14.63
510,0.3357,10.6932,0.2259,14.71
520,0.3309,10.7558,0.2342,14.84
530,0.3292,10.7774,0.2450,15.33
540,0.3293,10.7767,0.2460,15.39
550,0.3283,10.7900,0.2495,14.81
560,0.3272,10.8036,0.2563,14.60
570,0.3270,10.8061,0.2544,13.86
580,0.3266,10.8116,0.2542,13.15
590,0.3288,10.7831,0.2575,12.08
600,0.3285,10.7872,0.2608,11.41
610,0.3284,10.7878,0.2606,11.42
620,0.3302,10.7643,0.2673,11.87
630,0.3272,10.8045,0.2757,12.80
640,0.3254,10.8278,0.2811,13.20
650,0.3184,10.9224,0.2918,13.94
660,0.2871,11.3719,0.3068,13.92
670,0.2834,11.4280,0.3097,13.66
680,0.2634,11.7465,0.3185,14.15
690,0.2517,11.9439,0.3207,13.96
700,0.2481,12.0065,0.3207,13.96
710,0.2283,12.3665,0.3213,13.96
720,0.2285,12.3633,0.3194,13.71
730,0.2311,12.3136,0.3121,13.02
740,0.2293,12.3473,0.3171,13.46
750,0.2291,12.3516,0.3176,13.53
760,0.2277,12.3794,0.3182,13.47
770,0.2300,12.3347,0.3151,13.49
780,0.2309,12.3178,0.3169,13.51
790,0.2309,12.3178,0.3174,13.57
800,0.2566,11.8601,0.3164,13.04
810,0.2764,11.5372,0.3097,13.00
820,0.2759,11.5452,0.3126,12.95
830,0.2774,11.5215,0.3081,12.58
840,0.2782,11.5085,0.3029,12.28
850,0.2768,11.5304,0.3135,12.75
860,0.2753,11.5544,0.3177,13.45
870,0.2736,11.5815,0.3177,13.27
880,0.2489,11.9923,0.3242,13.53
890,0.2451,12.0591,0.3263,13.62
900,0.2469,12.0262,0.3253,13.49
910,0.2446,12.0671,0.3325,14.00
920,0.2457,12.0484,0.3298,13.88
930,0.2464,12.0350,0.3268,13.64
940,0.2430,12.0960,0.3343,14.30
950,0.2341,12.2576,0.3420,14.99
960,0.2445,12.0693,0.3368,15.18
970,0.2274,12.3845,0.3405,15.24
980,0.2264,12.4028,0.3473,16.02
990,0.2246,12.4380,0.3525,16.75
