Step,MSE,PSNR,SSIM,Percentage Explored
0,0.3023,11.1131,0.2227,0.81
10,0.3047,11.0784,0.2247,1.98
20,0.2960,11.2046,0.2330,2.75
30,0.2721,11.5705,0.2596,3.99
40,0.2669,11.6540,0.2649,4.38
50,0.2462,12.0052,0.2750,4.69
60,0.2424,12.0716,0.2791,4.58
70,0.2268,12.3611,0.2975,6.20
80,0.2206,12.4809,0.3122,6.93
90,0.2194,12.5050,0.3130,6.93
100,0.2164,12.5649,0.3252,7.82
110,0.2112,12.6714,0.3310,8.73
120,0.2208,12.4770,0.3278,8.48
130,0.2240,12.4150,0.3258,8.24
140,0.2409,12.0991,0.3210,8.03
150,0.2428,12.0646,0.3278,8.69
160,0.2437,12.0497,0.3223,8.17
170,0.2611,11.7499,0.2989,6.91
180,0.2864,11.3488,0.2868,5.00
190,0.2865,11.3470,0.2869,5.15
200,0.2797,11.4502,0.2933,5.96
210,0.2773,11.4888,0.2955,6.24
220,0.2786,11.4681,0.2933,6.09
230,0.2837,11.3894,0.2840,4.89
240,0.2745,11.5326,0.2821,4.51
250,0.2737,11.5453,0.2826,4.70
260,0.2739,11.5419,0.2832,4.77
270,0.2739,11.5418,0.2828,4.71
280,0.2730,11.5561,0.2812,4.75
290,0.2756,11.5153,0.2805,4.92
300,0.2756,11.5153,0.2805,4.92
310,0.2756,11.5153,0.2805,4.92
320,0.2765,11.5006,0.2796,4.71
330,0.2602,11.7644,0.2881,5.69
340,0.2386,12.1417,0.3014,7.03
350,0.2414,12.0907,0.3079,7.86
360,0.2379,12.1534,0.3090,7.62
370,0.2382,12.1490,0.3085,7.33
380,0.2501,11.9362,0.3069,7.22
390,0.2449,12.0277,0.3193,7.84
400,0.2281,12.3366,0.3358,8.10
410,0.2221,12.4528,0.3368,7.76
420,0.2276,12.3454,0.3458,8.53
430,0.2378,12.1564,0.3405,8.64
440,0.2599,11.7692,0.3342,8.32
450,0.2472,11.9866,0.3103,8.17
460,0.2803,11.4416,0.2966,7.14
470,0.2845,11.3773,0.2948,7.06
480,0.2954,11.2135,0.2911,6.57
490,0.2788,11.4656,0.3010,6.58
500,0.2243,12.4089,0.2137,6.73
510,0.2123,12.6473,0.2322,7.17
520,0.2098,12.6995,0.2396,7.18
530,0.2009,12.8878,0.2466,6.06
540,0.1950,13.0183,0.2583,5.37
550,0.1914,13.0983,0.2608,4.90
560,0.1782,13.4081,0.2749,5.13
570,0.1737,13.5197,0.2856,5.36
580,0.1800,13.3651,0.3039,5.00
590,0.1787,13.3965,0.3078,5.96
600,0.1684,13.6556,0.3213,7.27
610,0.1657,13.7239,0.3275,7.37
620,0.1660,13.7174,0.3230,6.92
630,0.1658,13.7212,0.3231,6.63
640,0.1670,13.6911,0.3150,5.52
650,0.1693,13.6317,0.3053,5.82
660,0.1666,13.7001,0.3232,7.08
670,0.1659,13.7204,0.3275,7.62
680,0.1669,13.6925,0.3218,6.64
690,0.1669,13.6932,0.3218,6.44
700,0.1673,13.6816,0.3140,5.72
710,0.1705,13.5999,0.3027,5.28
720,0.1711,13.5861,0.3004,5.76
730,0.1703,13.6052,0.2964,4.60
740,0.1676,13.6739,0.3073,4.45
750,0.1673,13.6820,0.3115,5.36
760,0.1659,13.7201,0.3223,6.84
770,0.1662,13.7111,0.3156,7.07
780,0.1674,13.6801,0.3187,6.90
790,0.1682,13.6590,0.3096,6.29
800,0.1684,13.6549,0.3046,5.95
810,0.1690,13.6402,0.3015,5.64
820,0.1725,13.5496,0.2801,4.22
830,0.1728,13.5430,0.2824,4.54
840,0.1724,13.5516,0.2829,4.68
850,0.1709,13.5915,0.2873,5.76
860,0.1707,13.5963,0.2873,5.69
870,0.1686,13.6481,0.2902,5.50
880,0.1689,13.6420,0.2895,5.01
890,0.1690,13.6384,0.2874,4.13
900,0.1690,13.6395,0.2872,3.63
910,0.1690,13.6382,0.2879,4.06
920,0.1690,13.6382,0.2873,4.09
930,0.1693,13.6312,0.2875,3.83
940,0.1693,13.6303,0.2884,3.67
950,0.1697,13.6203,0.2849,3.72
960,0.1697,13.6198,0.2854,3.94
970,0.1701,13.6103,0.2847,4.00
980,0.1701,13.6110,0.2849,4.02
990,0.1701,13.6115,0.2850,4.04
