Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0047,29.1841,0.9637
1,1_020,0.0045,29.4100,0.9649
1,1_030,0.0002,42.1791,0.9869
1,1_040,0.0006,38.2379,0.9824
1,1_050,0.0001,47.8276,0.9924
1,1_060,0.0005,38.7957,0.9889
1,1_070,0.0006,38.1101,0.9915
1,1_080,0.0032,30.8224,0.9732
1,1_090,0.0071,27.4172,0.9676
1,1_100,0.0018,33.3058,0.9837
2,2_010,0.0043,29.6489,0.9548
2,2_020,0.0067,27.7089,0.9094
2,2_030,0.0032,30.8930,0.9491
2,2_040,0.0030,31.1689,0.9432
2,2_050,0.0015,34.1333,0.9535
2,2_060,0.0020,32.9515,0.9533
2,2_070,0.0020,32.8660,0.9442
2,2_080,0.0058,28.3407,0.9170
2,2_090,0.0039,29.9930,0.9469
2,2_100,0.0025,32.0007,0.9466
3,3_010,0.0025,31.8775,0.9648
3,3_020,0.0085,26.6080,0.9416
3,3_030,0.0038,30.0728,0.9582
3,3_040,0.0193,23.0560,0.9189
3,3_050,0.0152,24.0968,0.9102
3,3_060,0.0069,27.5060,0.9317
3,3_070,0.0113,25.3753,0.9415
3,3_080,0.0040,29.9051,0.9521
3,3_090,0.0007,37.2229,0.9698
3,3_097,0.0020,32.9552,0.9454
4,4_010,0.0000,49.1049,0.9958
4,4_020,0.0050,28.9521,0.9762
4,4_030,0.0011,35.4369,0.9810
4,4_040,0.0131,24.7530,0.9287
4,4_050,0.0031,30.9383,0.9495
4,4_060,0.0035,30.4169,0.9644
4,4_070,0.0031,31.0129,0.9439
4,4_080,0.0029,31.2657,0.9566
4,4_090,0.0019,33.0767,0.9731
4,4_100,0.0029,31.3472,0.9657
5,5_010,0.0177,23.4705,0.9186
5,5_020,0.0055,28.5838,0.9479
5,5_030,0.0041,29.8068,0.9462
5,5_040,0.0164,23.7949,0.8859
5,5_050,0.0128,24.8957,0.8947
5,5_060,0.0201,22.9199,0.8998
5,5_070,0.0033,30.7630,0.9343
5,5_080,0.0092,26.3008,0.9222
5,5_090,0.0056,28.4666,0.9286
5,5_100,0.0021,32.6730,0.9443
6,6_010,0.0008,37.0011,0.9677
6,6_020,0.0025,31.9915,0.9825
6,6_030,0.0198,22.9416,0.9139
6,6_040,0.0005,39.2755,0.9780
6,6_050,0.0119,25.1802,0.9331
6,6_060,0.0249,21.9838,0.8949
6,6_070,0.0092,26.2593,0.9136
6,6_080,0.0181,23.3340,0.8850
6,6_090,0.0118,25.1827,0.9012
6,6_100,0.0035,30.4753,0.9310
7,7_010,0.0008,36.9017,0.9601
7,7_020,0.0014,34.5921,0.9586
7,7_030,0.0208,22.7616,0.8875
7,7_040,0.0195,23.0442,0.8839
7,7_050,0.0070,27.5215,0.9231
7,7_060,0.0216,22.6125,0.9005
7,7_070,0.0142,24.4160,0.9203
7,7_080,0.0128,24.8635,0.8932
7,7_090,0.0055,28.4791,0.9221
7,7_100,0.0093,26.2414,0.8933
8,8_010,0.0030,31.2395,0.9500
8,8_020,0.0320,20.9070,0.8735
8,8_030,0.0056,28.4756,0.9390
8,8_040,0.0058,28.2879,0.9207
8,8_050,0.0064,27.8619,0.9420
8,8_060,0.0034,30.6288,0.9319
8,8_070,0.0163,23.8206,0.9166
8,8_080,0.0070,27.5178,0.9197
8,8_090,0.0045,29.4429,0.9397
8,8_100,0.0071,27.4173,0.9338
11,11_010,0.0027,31.5815,0.9459
11,11_020,0.0043,29.6354,0.9289
11,11_030,0.0048,29.0683,0.9601
11,11_040,0.0045,29.4416,0.9115
11,11_050,0.0248,21.9707,0.9041
11,11_060,0.0033,30.7419,0.9531
11,11_070,0.0038,30.1854,0.9413
11,11_080,0.0122,25.0975,0.9135
11,11_090,0.0049,28.9751,0.9430
11,11_100,0.0110,25.5393,0.9196
13,13_010,0.0022,32.4965,0.9675
13,13_020,0.0068,27.6223,0.9297
13,13_030,0.0104,25.7864,0.9216
13,13_040,0.0061,28.0923,0.9497
13,13_050,0.0065,27.8013,0.9247
13,13_060,0.0087,26.5814,0.9145
13,13_070,0.0079,26.9658,0.9474
13,13_080,0.0127,24.9259,0.9191
13,13_090,0.0079,27.0026,0.9186
13,13_100,0.0098,26.0575,0.9381
16,16_010,0.0001,47.6548,0.9921
16,16_020,0.0000,49.3412,0.9967
16,16_030,0.0018,33.2796,0.9735
16,16_040,0.0001,46.4450,0.9912
16,16_050,0.0020,32.8249,0.9846
16,16_060,0.0035,30.3922,0.9704
16,16_070,0.0027,31.6454,0.9782
16,16_080,0.0036,30.3634,0.9684
16,16_090,0.0027,31.5809,0.9795
16,16_100,0.0020,32.7994,0.9750
17,17_010,0.0028,31.3786,0.9822
17,17_020,0.0051,28.8059,0.9636
17,17_030,0.0040,29.9041,0.9691
17,17_040,0.0009,36.5923,0.9862
17,17_050,0.0001,47.2003,0.9921
17,17_060,0.0003,41.1193,0.9826
17,17_070,0.0019,33.0486,0.9814
17,17_080,0.0008,37.0942,0.9845
17,17_090,0.0000,50.2344,0.9955
17,17_100,0.0001,44.5979,0.9902
18,18_010,0.0004,39.5652,0.9838
18,18_020,0.0140,24.4581,0.9232
18,18_030,0.0007,37.2023,0.9810
18,18_040,0.0190,23.1569,0.9232
18,18_050,0.0017,33.7743,0.9621
18,18_060,0.0015,34.2834,0.9625
18,18_070,0.0094,26.2133,0.9389
18,18_080,0.0037,30.2875,0.9669
18,18_090,0.0061,28.0977,0.9429
18,18_100,0.0014,34.4168,0.9791
20,20_010,0.0068,27.6428,0.9566
20,20_020,0.0135,24.6502,0.9278
20,20_030,0.0107,25.6428,0.9108
20,20_040,0.0319,20.9117,0.8729
20,20_050,0.0092,26.2669,0.9110
20,20_060,0.0005,38.9339,0.9713
20,20_070,0.0029,31.2595,0.9340
20,20_080,0.0008,36.9776,0.9581
20,20_090,0.0034,30.6155,0.9409
