Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1175,15.2175,0.4530,0.81
10,0.1152,15.3051,0.4744,2.37
20,0.1125,15.4052,0.4706,3.94
30,0.1181,15.1950,0.4556,5.03
40,0.1181,15.1942,0.4675,7.06
50,0.1158,15.2819,0.4739,7.84
60,0.1161,15.2698,0.4727,8.00
70,0.1111,15.4591,0.5031,9.87
80,0.1133,15.3759,0.4955,10.62
90,0.1099,15.5091,0.5112,12.12
100,0.1078,15.5930,0.5219,14.30
110,0.1070,15.6257,0.5303,14.75
120,0.1066,15.6400,0.5300,14.44
130,0.1028,15.7970,0.5405,13.43
140,0.1033,15.7769,0.5394,13.39
150,0.1032,15.7816,0.5396,13.58
160,0.1039,15.7506,0.5299,13.66
170,0.1028,15.7960,0.5437,13.57
180,0.1009,15.8808,0.5644,15.67
190,0.1008,15.8821,0.5659,16.61
200,0.0991,15.9583,0.5701,17.47
210,0.0992,15.9516,0.5706,17.87
220,0.0995,15.9412,0.5705,17.12
230,0.1015,15.8530,0.5641,16.12
240,0.1012,15.8652,0.5691,15.90
250,0.0983,15.9911,0.5807,15.62
260,0.0984,15.9891,0.5847,16.30
270,0.1000,15.9197,0.5830,14.99
280,0.1012,15.8671,0.5653,14.21
290,0.1001,15.9142,0.5666,13.28
300,0.1005,15.8982,0.5576,12.71
310,0.1005,15.8976,0.5577,12.85
320,0.1016,15.8474,0.5487,12.58
330,0.1016,15.8498,0.5491,12.72
340,0.1016,15.8476,0.5476,12.62
350,0.1016,15.8500,0.5466,12.28
360,0.1017,15.8447,0.5474,11.91
370,0.1037,15.7597,0.5350,10.85
380,0.1058,15.6718,0.5205,10.11
390,0.1038,15.7579,0.5303,9.47
400,0.1038,15.7573,0.5292,9.45
410,0.1037,15.7587,0.5306,9.43
420,0.1037,15.7588,0.5306,9.35
430,0.1038,15.7557,0.5294,9.52
440,0.1038,15.7574,0.5300,9.24
450,0.1039,15.7530,0.5224,8.50
460,0.1041,15.7449,0.5175,9.02
470,0.1039,15.7522,0.5215,9.24
480,0.1045,15.7264,0.5180,9.09
490,0.1055,15.6870,0.5146,8.48
500,0.3492,10.5221,0.2232,9.05
510,0.3392,10.6481,0.2403,10.71
520,0.3385,10.6563,0.2430,11.40
530,0.3379,10.6642,0.2430,10.98
540,0.3186,10.9193,0.2657,12.06
550,0.3170,10.9419,0.2702,12.62
560,0.3165,10.9483,0.2729,12.54
570,0.3155,10.9623,0.2773,13.68
580,0.3157,10.9598,0.2828,13.95
590,0.3156,10.9612,0.2836,14.23
600,0.3158,10.9576,0.2842,14.79
610,0.3159,10.9561,0.2866,15.32
620,0.3156,10.9610,0.2882,15.68
630,0.3145,10.9760,0.2923,16.19
640,0.3143,10.9786,0.2947,15.84
650,0.3138,10.9856,0.2970,15.11
660,0.3138,10.9861,0.2980,15.05
670,0.3134,10.9918,0.2968,14.68
680,0.3140,10.9830,0.2940,14.34
690,0.3152,10.9663,0.2896,12.51
700,0.3183,10.9237,0.2733,10.55
710,0.3183,10.9239,0.2742,10.73
720,0.3193,10.9105,0.2688,10.39
730,0.3195,10.9080,0.2711,10.54
740,0.3193,10.9098,0.2794,11.51
750,0.3252,10.8312,0.2793,11.50
760,0.3325,10.7344,0.2696,10.65
770,0.3395,10.6443,0.2641,10.49
780,0.3293,10.7759,0.2692,10.88
790,0.3302,10.7641,0.2650,10.77
800,0.3304,10.7616,0.2646,10.63
810,0.3302,10.7646,0.2642,10.62
820,0.3302,10.7644,0.2639,10.60
830,0.3302,10.7638,0.2642,10.45
840,0.3304,10.7618,0.2632,10.31
850,0.3319,10.7419,0.2564,10.00
860,0.3319,10.7420,0.2557,9.77
870,0.3320,10.7413,0.2554,9.83
880,0.3284,10.7880,0.2613,10.35
890,0.3286,10.7850,0.2621,10.41
900,0.3297,10.7708,0.2666,10.98
910,0.3146,10.9745,0.2801,12.20
920,0.2809,11.4663,0.2991,14.06
930,0.2778,11.5147,0.3044,14.54
940,0.2780,11.5114,0.3061,14.86
950,0.2771,11.5264,0.3048,14.70
960,0.2767,11.5317,0.3107,15.43
970,0.2736,11.5806,0.3264,16.53
980,0.2741,11.5736,0.3308,17.83
990,0.2738,11.5786,0.3330,18.12
