Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1240,14.9851,0.4104,0.81
10,0.1141,15.3439,0.4518,1.89
20,0.1115,15.4462,0.4725,3.09
30,0.1111,15.4608,0.4758,3.55
40,0.1072,15.6158,0.4902,4.33
50,0.1043,15.7362,0.5068,5.63
60,0.1044,15.7297,0.5113,6.48
70,0.1028,15.7971,0.5205,7.91
80,0.1023,15.8211,0.5281,8.33
90,0.1023,15.8199,0.5281,8.72
100,0.1023,15.8199,0.5281,8.72
110,0.1023,15.8199,0.5281,8.72
120,0.1027,15.8020,0.5342,10.44
130,0.1019,15.8342,0.5361,11.17
140,0.1020,15.8336,0.5362,11.24
150,0.1020,15.8336,0.5363,11.33
160,0.1021,15.8273,0.5361,11.36
170,0.1017,15.8439,0.5386,11.82
180,0.1013,15.8617,0.5407,12.18
190,0.1008,15.8815,0.5430,12.87
200,0.1008,15.8815,0.5430,12.87
210,0.1053,15.6927,0.5154,12.21
220,0.1084,15.5695,0.5114,11.63
230,0.1074,15.6081,0.5177,11.30
240,0.1041,15.7427,0.5175,10.85
250,0.1058,15.6719,0.5123,10.51
260,0.1058,15.6719,0.5123,10.51
270,0.1059,15.6692,0.5120,10.57
280,0.1064,15.6472,0.5052,9.99
290,0.1069,15.6282,0.5019,9.24
300,0.1071,15.6181,0.5005,9.45
310,0.1069,15.6265,0.4966,9.12
320,0.1069,15.6263,0.4966,9.15
330,0.1057,15.6758,0.5128,10.72
340,0.1056,15.6821,0.5151,11.56
350,0.1070,15.6242,0.5126,11.79
360,0.1070,15.6242,0.5126,11.79
370,0.1070,15.6246,0.5122,11.74
380,0.1070,15.6246,0.5118,11.55
390,0.1082,15.5736,0.5089,11.26
400,0.1067,15.6371,0.5195,12.43
410,0.1063,15.6506,0.5217,12.82
420,0.1055,15.6867,0.5274,13.65
430,0.1046,15.7220,0.5299,12.74
440,0.1046,15.7222,0.5303,13.25
450,0.1046,15.7225,0.5307,13.31
460,0.1046,15.7218,0.5304,13.18
470,0.1067,15.6371,0.5187,12.08
480,0.1065,15.6462,0.5188,12.01
490,0.1060,15.6636,0.5200,10.76
500,0.3468,10.5514,0.2069,10.77
510,0.3471,10.5471,0.2090,10.50
520,0.3461,10.5600,0.2157,10.40
530,0.3456,10.5665,0.2176,10.66
540,0.3432,10.5961,0.2348,11.58
550,0.3486,10.5284,0.2342,10.51
560,0.3457,10.5651,0.2350,9.92
570,0.3440,10.5870,0.2388,10.25
580,0.3340,10.7146,0.2498,11.19
590,0.3142,10.9808,0.2612,11.52
600,0.2892,11.3397,0.2643,12.62
610,0.2767,11.5320,0.2744,13.73
620,0.2725,11.5989,0.2871,14.06
630,0.2733,11.5853,0.2860,13.12
640,0.2745,11.5669,0.2835,12.74
650,0.2745,11.5669,0.2835,12.74
660,0.2745,11.5660,0.2833,12.60
670,0.2749,11.5598,0.2826,11.82
680,0.2741,11.5727,0.2857,12.62
690,0.2745,11.5660,0.2854,12.66
700,0.2744,11.5682,0.2873,12.67
710,0.2750,11.5584,0.2845,12.43
720,0.2763,11.5377,0.2794,12.05
730,0.2766,11.5330,0.2789,11.95
740,0.2716,11.6129,0.2829,11.84
750,0.2265,12.4010,0.3069,13.55
760,0.2253,12.4245,0.3048,13.46
770,0.2260,12.4115,0.2909,12.36
780,0.2259,12.4124,0.2927,11.97
790,0.2237,12.4550,0.2955,12.17
800,0.2267,12.3985,0.2941,12.41
810,0.2229,12.4714,0.2934,12.43
820,0.2354,12.2349,0.2978,13.27
830,0.2353,12.2352,0.2986,13.37
840,0.2101,12.7282,0.3321,14.22
850,0.2095,12.7405,0.3359,14.75
860,0.2067,12.7981,0.3487,15.92
870,0.2023,12.8920,0.3790,17.91
880,0.1999,12.9432,0.3831,17.99
890,0.2009,12.9222,0.3883,18.38
900,0.1962,13.0257,0.3794,17.30
910,0.1971,13.0047,0.3769,17.49
920,0.2065,12.8037,0.3590,16.76
930,0.2112,12.7044,0.3444,15.62
940,0.2071,12.7913,0.3411,14.45
950,0.2079,12.7736,0.3393,14.23
960,0.2074,12.7833,0.3406,14.36
970,0.1854,13.2700,0.3524,15.78
980,0.1693,13.6667,0.3659,16.95
990,0.1706,13.6321,0.3551,15.98
