Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0001,48.1334,0.9946
1,1_020,0.0028,31.3880,0.9844
1,1_030,0.0040,29.9501,0.9645
1,1_040,0.0017,33.6571,0.9815
1,1_050,0.0036,30.3027,0.9761
1,1_060,0.0000,51.4357,0.9970
1,1_070,0.0004,40.1507,0.9892
1,1_080,0.0003,41.2065,0.9917
1,1_090,0.0001,44.8971,0.9895
1,1_100,0.0025,31.8938,0.9771
2,2_010,0.0044,29.4725,0.9445
2,2_020,0.0015,34.2601,0.9516
2,2_030,0.0073,27.3230,0.9097
2,2_040,0.0046,29.2954,0.9410
2,2_050,0.0055,28.5634,0.9304
2,2_060,0.0067,27.6739,0.9326
2,2_070,0.0054,28.5979,0.9230
2,2_080,0.0035,30.4547,0.9278
2,2_090,0.0036,30.3344,0.9453
2,2_100,0.0025,32.0557,0.9466
3,3_010,0.0081,26.8430,0.9467
3,3_020,0.0079,26.9655,0.9361
3,3_030,0.0116,25.2776,0.9365
3,3_040,0.0095,26.1270,0.9366
3,3_050,0.0088,26.4953,0.9147
3,3_060,0.0091,26.3048,0.9164
3,3_070,0.0009,36.2731,0.9716
3,3_080,0.0057,28.2960,0.9510
3,3_090,0.0028,31.3698,0.9571
3,3_097,0.0014,34.4261,0.9560
4,4_010,0.0002,43.3494,0.9929
4,4_020,0.0096,26.1172,0.9505
4,4_030,0.0019,33.1723,0.9804
4,4_040,0.0135,24.6057,0.9417
4,4_050,0.0005,38.6617,0.9872
4,4_060,0.0045,29.4270,0.9419
4,4_070,0.0043,29.5449,0.9285
4,4_080,0.0010,36.1199,0.9812
4,4_090,0.0046,29.3010,0.9671
4,4_100,0.0138,24.5151,0.9042
5,5_010,0.0186,23.2521,0.9112
5,5_020,0.0025,31.8991,0.9563
5,5_030,0.0250,21.9712,0.8824
5,5_040,0.0064,27.8882,0.9635
5,5_050,0.0101,25.9136,0.9148
5,5_060,0.0064,27.9484,0.8976
5,5_070,0.0130,24.8117,0.8961
5,5_080,0.0028,31.4639,0.9405
5,5_090,0.0015,34.0490,0.9538
5,5_100,0.0024,32.1166,0.9550
6,6_010,0.0015,34.2721,0.9639
6,6_020,0.0098,26.0019,0.9554
6,6_030,0.0004,39.8989,0.9818
6,6_040,0.0288,21.3627,0.8858
6,6_050,0.0134,24.6448,0.9439
6,6_060,0.0168,23.6959,0.9049
6,6_070,0.0150,24.1500,0.8862
6,6_080,0.0273,21.5631,0.8591
6,6_090,0.0236,22.1882,0.8652
6,6_100,0.0126,24.9274,0.9055
7,7_010,0.0065,27.7872,0.9272
7,7_020,0.0131,24.7686,0.9266
7,7_030,0.0134,24.6749,0.9218
7,7_040,0.0137,24.5388,0.8996
7,7_050,0.0068,27.6069,0.9237
7,7_060,0.0157,23.9837,0.8842
7,7_070,0.0296,21.2411,0.8928
7,7_080,0.0127,24.9015,0.9104
7,7_090,0.0070,27.4500,0.9249
7,7_100,0.0051,28.8570,0.9107
8,8_010,0.0154,24.0638,0.9205
8,8_020,0.0346,20.5563,0.8615
8,8_030,0.0071,27.4539,0.9338
8,8_040,0.0084,26.7290,0.9204
8,8_050,0.0077,27.1098,0.9395
8,8_060,0.0100,25.9322,0.9269
8,8_070,0.0090,26.4242,0.9114
8,8_080,0.0157,24.0061,0.9111
8,8_090,0.0067,27.6889,0.9358
8,8_100,0.0087,26.5758,0.8994
11,11_010,0.0076,27.0911,0.9088
11,11_020,0.0068,27.6093,0.9437
11,11_030,0.0053,28.6832,0.9492
11,11_040,0.0094,26.1864,0.8955
11,11_050,0.0065,27.7577,0.9358
11,11_060,0.0093,26.2732,0.9091
11,11_070,0.0083,26.7737,0.9116
11,11_080,0.0063,27.9793,0.9326
11,11_090,0.0029,31.2269,0.9555
11,11_100,0.0048,29.1006,0.9586
13,13_010,0.0116,25.3174,0.9310
13,13_020,0.0271,21.6207,0.8687
13,13_030,0.0199,22.9611,0.8985
13,13_040,0.0098,26.0245,0.9323
13,13_050,0.0071,27.4633,0.9389
13,13_060,0.0158,23.9589,0.9010
13,13_070,0.0094,26.2092,0.9229
13,13_080,0.0082,26.7953,0.9184
13,13_090,0.0141,24.4659,0.9009
13,13_100,0.0074,27.2360,0.9208
16,16_010,0.0001,45.0949,0.9948
16,16_020,0.0034,30.5773,0.9718
16,16_030,0.0011,35.5057,0.9883
16,16_040,0.0026,31.7586,0.9787
16,16_050,0.0021,32.5616,0.9770
