Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1224,15.0395,0.4564,0.81
10,0.1073,15.6138,0.4978,3.10
20,0.1070,15.6237,0.4956,4.96
30,0.1091,15.5406,0.4903,6.56
40,0.1057,15.6769,0.5169,7.69
50,0.1073,15.6104,0.5067,8.16
60,0.1043,15.7365,0.5310,8.79
70,0.1044,15.7322,0.5304,8.85
80,0.1048,15.7157,0.5263,9.14
90,0.1044,15.7312,0.5284,9.88
100,0.1053,15.6928,0.5165,9.96
110,0.1041,15.7418,0.5353,10.36
120,0.1042,15.7411,0.5355,10.24
130,0.1041,15.7430,0.5362,10.23
140,0.1041,15.7429,0.5361,10.33
150,0.1042,15.7390,0.5318,10.86
160,0.1053,15.6930,0.5210,10.91
170,0.1056,15.6800,0.5196,10.86
180,0.1056,15.6816,0.5205,10.68
190,0.1056,15.6800,0.5199,10.30
200,0.1057,15.6789,0.5192,10.19
210,0.1057,15.6760,0.5161,9.31
220,0.1057,15.6765,0.5163,9.28
230,0.1070,15.6256,0.5011,8.70
240,0.1061,15.6603,0.5133,8.58
250,0.1061,15.6617,0.5150,8.57
260,0.1064,15.6483,0.5107,9.00
270,0.1050,15.7056,0.5230,10.44
280,0.1050,15.7044,0.5230,10.56
290,0.1050,15.7062,0.5242,10.71
300,0.1050,15.7065,0.5242,10.73
310,0.1053,15.6942,0.5214,10.22
320,0.1051,15.7003,0.5212,9.87
330,0.1055,15.6849,0.5184,9.19
340,0.1046,15.7216,0.5225,9.71
350,0.1045,15.7273,0.5261,9.41
360,0.1047,15.7187,0.5256,9.29
370,0.1046,15.7217,0.5173,10.12
380,0.1032,15.7791,0.5313,11.31
390,0.1023,15.8199,0.5548,12.86
400,0.1024,15.8162,0.5577,14.80
410,0.1017,15.8426,0.5642,15.27
420,0.1010,15.8751,0.5692,15.92
430,0.1006,15.8931,0.5723,16.20
440,0.1030,15.7913,0.5628,15.91
450,0.1017,15.8460,0.5732,17.80
460,0.0996,15.9363,0.5906,18.66
470,0.0952,16.1325,0.6045,20.31
480,0.0764,17.0854,0.6144,20.84
490,0.0782,16.9872,0.6014,19.31
500,0.3639,10.3427,0.2432,20.79
510,0.3020,11.1522,0.2864,22.64
520,0.3003,11.1766,0.2927,23.00
530,0.2699,11.6402,0.3072,22.88
540,0.2573,11.8474,0.3142,21.98
550,0.2474,12.0180,0.3168,20.60
560,0.2382,12.1836,0.3244,20.23
570,0.2315,12.3064,0.3261,18.34
580,0.2011,12.9180,0.3434,19.76
590,0.1862,13.2513,0.3458,18.64
600,0.1886,13.1962,0.3444,17.19
610,0.2043,12.8503,0.3441,18.22
620,0.1659,13.7546,0.3529,18.89
630,0.1616,13.8689,0.3587,19.36
640,0.1595,13.9248,0.3638,19.80
650,0.1639,13.8068,0.3658,19.03
660,0.1706,13.6337,0.3626,18.51
670,0.1746,13.5310,0.3584,17.87
680,0.1672,13.7201,0.3592,16.98
690,0.1457,14.3185,0.3473,15.53
700,0.1476,14.2625,0.3451,15.24
710,0.1491,14.2167,0.3419,15.05
720,0.1674,13.7151,0.3222,13.01
730,0.1967,13.0138,0.2966,11.99
740,0.1963,13.0229,0.2981,12.06
750,0.1851,13.2787,0.3079,12.43
760,0.1763,13.4889,0.3123,12.46
770,0.1817,13.3576,0.3039,11.32
780,0.1872,13.2292,0.2967,10.69
790,0.1766,13.4824,0.3034,11.74
800,0.2000,12.9411,0.3222,13.11
810,0.1717,13.6043,0.3231,13.64
820,0.1738,13.5518,0.3268,14.05
830,0.1661,13.7495,0.3356,14.88
840,0.1416,14.4416,0.3830,16.69
850,0.1418,14.4344,0.3787,15.93
860,0.1470,14.2778,0.3683,15.18
870,0.1554,14.0372,0.3694,15.66
880,0.1573,13.9856,0.3581,14.39
890,0.1573,13.9859,0.3540,14.52
900,0.1500,14.1921,0.3605,14.98
910,0.1504,14.1792,0.3564,15.02
920,0.1488,14.2250,0.3624,15.15
930,0.1490,14.2202,0.3626,15.18
940,0.1506,14.1737,0.3559,14.74
950,0.1457,14.3181,0.3596,15.20
960,0.1465,14.2950,0.3577,15.18
970,0.1538,14.0826,0.3548,15.14
980,0.1621,13.8534,0.3437,14.23
990,0.1489,14.2245,0.3557,14.67
