Epoch,Batch,MSE,PSNR,SSIM
1,1,0.9460,6.0880,0.5643
1,2,0.9033,6.2323,0.5159
1,3,0.8468,6.4895,0.4252
1,4,0.7888,6.7756,0.6731
1,5,0.7263,7.1388,0.6888
1,6,0.6151,7.8567,0.6143
1,7,0.5937,8.0273,0.6238
1,8,0.5158,8.7127,0.6597
1,9,0.4279,9.4918,0.6084
1,10,0.3959,10.0834,0.6589
1,11,0.3157,11.0051,0.8326
1,12,0.3072,11.2379,0.6565
1,13,0.4384,10.4303,0.4836
1,14,0.2953,12.1951,0.6995
1,15,0.2058,13.3976,0.5922
1,16,0.1743,14.8023,0.8028
1,17,0.2825,12.3648,0.8145
1,18,0.2090,13.7312,0.7684
1,19,0.3994,11.4483,0.6352
1,20,0.2005,13.7998,0.8327
1,21,0.2913,13.5984,0.7339
1,22,0.3716,12.6803,0.7400
1,23,0.2600,13.1539,0.6729
1,24,0.3926,11.5995,0.7838
1,25,0.4737,11.7202,0.6977
2,1,0.4016,12.0449,0.8139
2,2,0.3559,12.6017,0.7985
2,3,0.2168,15.0023,0.7314
2,4,0.3585,12.9112,0.7941
2,5,0.3557,13.0184,nan
2,6,0.3958,13.2697,0.6988
2,7,0.2078,14.4967,0.7799
2,8,0.2795,14.6582,0.6950
2,9,0.3295,13.6591,0.7360
2,10,0.2197,14.9367,0.8085
2,11,0.1142,16.3377,0.8465
2,12,0.4156,11.5914,0.7105
2,13,0.6211,9.8927,0.7369
2,14,0.3123,14.7078,0.8199
2,15,0.2380,13.4955,0.7936
2,16,0.2704,14.0764,0.8315
2,17,0.2297,14.1237,0.8504
2,18,0.3584,12.7975,0.6939
2,19,0.1511,15.5666,0.8647
2,20,0.1542,15.6199,0.8337
2,21,0.1731,15.4432,0.8170
2,22,0.2633,14.2529,0.6940
2,23,0.1711,14.1206,0.7284
2,24,0.2360,15.6702,0.8572
2,25,0.4547,11.0950,0.8052
3,1,0.4060,11.2472,0.8789
3,2,0.4157,12.5526,0.7808
3,3,0.3151,14.4231,0.7295
3,4,0.2010,14.8967,0.8197
3,5,0.2057,15.2556,0.8830
3,6,0.2348,15.0479,0.7636
3,7,0.1471,15.0959,0.7593
3,8,0.2056,15.0205,0.7841
3,9,0.1650,16.4541,0.8496
3,10,0.2187,15.9154,0.8087
3,11,0.3112,14.6624,0.7934
3,12,0.1653,16.7438,0.7890
3,13,0.1332,16.1032,nan
3,14,0.1458,16.6756,0.8115
3,15,0.2879,15.2055,0.7971
3,16,0.1968,16.2826,0.8609
3,17,0.2771,14.0360,0.7676
3,18,0.1094,17.2477,0.8905
3,19,0.1719,15.3612,0.7872
