Step,MSE,PSNR,SSIM,Percentage Explored
0,0.2089,12.7536,0.2611,0.81
10,0.1848,13.2860,0.2740,2.83
20,0.1823,13.3455,0.2901,4.20
30,0.1824,13.3428,0.2938,4.75
40,0.1804,13.3904,0.2978,4.85
50,0.1759,13.4985,0.3038,5.92
60,0.1670,13.7250,0.3238,7.52
70,0.1630,13.8296,0.3311,7.71
80,0.1632,13.8259,0.3339,8.07
90,0.1353,14.6390,0.3636,9.73
100,0.1280,14.8801,0.3985,10.87
110,0.1200,15.1618,0.4144,12.21
120,0.1024,15.8510,0.4383,14.00
130,0.1015,15.8856,0.4395,14.16
140,0.0850,16.6564,0.4521,15.62
150,0.0847,16.6745,0.4565,16.02
160,0.0803,16.9050,0.4616,16.60
170,0.0713,17.4215,0.4759,17.55
180,0.0711,17.4354,0.4768,17.64
190,0.0715,17.4097,0.4765,17.90
200,0.0708,17.4499,0.4791,17.97
210,0.0711,17.4320,0.4767,18.13
220,0.0712,17.4297,0.4770,18.55
230,0.0715,17.4078,0.4736,19.08
240,0.0713,17.4222,0.4755,19.26
250,0.0710,17.4402,0.4775,19.78
260,0.0698,17.5138,0.4826,20.19
270,0.0702,17.4917,0.4820,20.19
280,0.0719,17.3878,0.4829,20.91
290,0.0756,17.1668,0.4916,22.42
300,0.0617,18.0504,0.5273,24.15
310,0.0605,18.1369,0.5325,24.51
320,0.0603,18.1487,0.5342,24.70
330,0.0576,18.3464,0.5422,25.35
340,0.0558,18.4875,0.5591,26.74
350,0.0558,18.4897,0.5604,26.94
360,0.0555,18.5096,0.5605,26.94
370,0.0556,18.5001,0.5620,27.33
380,0.0553,18.5228,0.5631,27.59
390,0.0558,18.4896,0.5631,27.59
400,0.0549,18.5597,0.5716,28.59
410,0.0548,18.5614,0.5722,28.69
420,0.0542,18.6098,0.5734,28.79
430,0.0540,18.6268,0.5749,28.89
440,0.0543,18.6023,0.5776,29.37
450,0.0529,18.7156,0.5792,29.90
460,0.0524,18.7578,0.5891,30.90
470,0.0501,18.9559,0.5922,31.23
480,0.0502,18.9494,0.5959,31.52
490,0.0497,18.9870,0.5958,31.56
500,0.0476,19.1775,0.6067,33.05
510,0.0473,19.2046,0.6097,35.07
520,0.0471,19.2188,0.6103,35.77
530,0.0475,19.1845,0.6106,36.06
540,0.0475,19.1892,0.6136,36.15
550,0.0473,19.2064,0.6135,36.50
560,0.0473,19.2036,0.6134,36.61
570,0.0469,19.2428,0.6165,38.13
580,0.0466,19.2663,0.6204,39.56
590,0.0465,19.2804,0.6207,39.93
600,0.0465,19.2786,0.6203,40.11
610,0.0468,19.2498,0.6212,40.11
620,0.0468,19.2459,0.6211,40.11
630,0.0464,19.2843,0.6211,40.27
640,0.0459,19.3348,0.6250,40.79
650,0.0447,19.4524,0.6258,41.45
660,0.0449,19.4292,0.6248,41.48
670,0.0447,19.4452,0.6251,41.51
680,0.0446,19.4608,0.6258,41.81
690,0.0447,19.4447,0.6264,41.81
700,0.0447,19.4513,0.6250,41.81
710,0.0443,19.4889,0.6256,41.81
720,0.0446,19.4607,0.6269,41.81
730,0.0453,19.3959,0.6251,41.81
740,0.0442,19.5025,0.6272,41.81
750,0.0444,19.4769,0.6259,41.81
760,0.0442,19.5010,0.6288,42.02
770,0.0441,19.5114,0.6292,42.02
780,0.0444,19.4828,0.6290,42.02
790,0.0443,19.4855,0.6278,42.02
800,0.0445,19.4650,0.6282,42.02
810,0.0446,19.4634,0.6288,42.02
820,0.0443,19.4881,0.6284,42.02
830,0.0443,19.4931,0.6289,42.02
840,0.0446,19.4555,0.6284,42.02
850,0.0445,19.4685,0.6291,42.06
860,0.0443,19.4836,0.6291,42.06
870,0.0443,19.4853,0.6294,42.06
880,0.0444,19.4817,0.6295,42.06
890,0.0443,19.4919,0.6290,42.06
900,0.0445,19.4666,0.6289,42.10
910,0.0447,19.4484,0.6293,42.10
920,0.0443,19.4849,0.6295,42.26
930,0.0444,19.4773,0.6319,43.01
940,0.0436,19.5572,0.6346,43.05
950,0.0438,19.5401,0.6359,43.20
960,0.0439,19.5236,0.6356,43.20
970,0.0441,19.5099,0.6351,43.20
980,0.0441,19.5065,0.6358,43.20
990,0.0443,19.4919,0.6353,43.20
