Step,MSE,PSNR,SSIM,Percentage Explored
0,0.3645,10.3358,0.2695,0.81
10,0.3639,10.3429,0.2729,1.95
20,0.3579,10.4141,0.2753,2.25
30,0.2986,11.2014,0.2914,4.10
40,0.2704,11.6316,0.3175,6.48
50,0.2713,11.6182,0.3189,6.67
60,0.2706,11.6294,0.3180,7.13
70,0.2618,11.7721,0.3174,8.56
80,0.2464,12.0358,0.3225,9.24
90,0.2296,12.3432,0.3351,10.09
100,0.2297,12.3407,0.3355,10.16
110,0.2281,12.3701,0.3366,10.22
120,0.1908,13.1467,0.3546,11.65
130,0.1713,13.6152,0.3877,13.67
140,0.1698,13.6525,0.3918,14.13
150,0.1671,13.7222,0.3982,15.21
160,0.1636,13.8154,0.4082,15.95
170,0.1619,13.8597,0.4161,17.04
180,0.1618,13.8617,0.4165,17.12
190,0.1619,13.8610,0.4164,17.15
200,0.1637,13.8116,0.4175,17.47
210,0.1638,13.8094,0.4174,17.57
220,0.1561,14.0174,0.4267,18.22
230,0.1562,14.0149,0.4272,18.35
240,0.1557,14.0285,0.4321,18.90
250,0.1556,14.0324,0.4321,19.11
260,0.1556,14.0324,0.4321,19.11
270,0.1556,14.0324,0.4321,19.11
280,0.1540,14.0767,0.4323,19.18
290,0.1538,14.0834,0.4324,19.21
300,0.1315,14.7641,0.4378,20.12
310,0.1357,14.6269,0.4366,20.74
320,0.1350,14.6503,0.4389,20.92
330,0.1350,14.6503,0.4389,20.92
340,0.1297,14.8216,0.4452,21.50
350,0.1289,14.8505,0.4458,21.56
360,0.1405,14.4753,0.4372,22.18
370,0.1405,14.4753,0.4372,22.18
380,0.1405,14.4753,0.4372,22.18
390,0.1074,15.6438,0.4722,23.09
400,0.1059,15.7028,0.4816,23.32
410,0.1059,15.7028,0.4816,23.32
420,0.1058,15.7074,0.4818,23.39
430,0.1035,15.8049,0.4883,23.68
440,0.1033,15.8097,0.4893,23.87
450,0.0920,16.3159,0.5094,24.83
460,0.0917,16.3302,0.5115,24.99
470,0.0917,16.3302,0.5115,24.99
480,0.0914,16.3410,0.5123,25.09
490,0.0914,16.3410,0.5123,25.09
500,0.0912,16.3525,0.5125,25.12
510,0.0912,16.3525,0.5125,25.12
520,0.1065,15.6780,0.5089,26.42
530,0.0961,16.1237,0.5361,27.33
540,0.0930,16.2653,0.5573,28.63
550,0.0906,16.3798,0.5681,29.77
560,0.0897,16.4236,0.5758,30.88
570,0.0894,16.4405,0.5796,31.53
580,0.0891,16.4541,0.5806,32.02
590,0.0885,16.4842,0.5844,32.76
600,0.0884,16.4869,0.5852,32.85
610,0.0879,16.5120,0.5892,33.40
620,0.0876,16.5267,0.5892,33.92
630,0.0876,16.5274,0.5890,34.02
640,0.0876,16.5274,0.5890,34.02
650,0.0854,16.6368,0.5913,34.92
660,0.0819,16.8175,0.6032,35.96
670,0.0819,16.8175,0.6032,35.96
680,0.0819,16.8175,0.6032,35.96
690,0.0819,16.8175,0.6032,35.96
700,0.0819,16.8175,0.6032,35.96
710,0.0818,16.8242,0.6043,36.04
720,0.0824,16.7940,0.6072,36.32
730,0.0824,16.7940,0.6072,36.32
740,0.0824,16.7940,0.6072,36.32
750,0.0824,16.7940,0.6072,36.32
760,0.0822,16.8049,0.6078,36.35
770,0.0822,16.8049,0.6078,36.35
780,0.0815,16.8389,0.6120,36.74
790,0.0790,16.9767,0.6177,37.42
800,0.0790,16.9767,0.6177,37.42
810,0.0787,16.9947,0.6196,37.63
820,0.0787,16.9947,0.6196,37.63
830,0.0787,16.9947,0.6196,37.63
840,0.0787,16.9947,0.6196,37.63
850,0.0787,16.9947,0.6196,37.63
860,0.0775,17.0569,0.6249,38.33
870,0.0772,17.0749,0.6262,38.54
880,0.0761,17.1396,0.6336,39.31
890,0.0760,17.1445,0.6344,39.38
900,0.0759,17.1469,0.6364,40.44
910,0.0760,17.1445,0.6367,40.63
920,0.0748,17.2113,0.6409,40.95
930,0.0738,17.2739,0.6445,41.61
940,0.0738,17.2739,0.6445,41.61
950,0.0738,17.2739,0.6445,41.61
960,0.0738,17.2739,0.6445,41.61
970,0.0738,17.2739,0.6445,41.61
980,0.0738,17.2739,0.6445,41.61
990,0.0737,17.2753,0.6446,41.63
