Epoch,Batch,MSE,PSNR,SSIM
1,1,1.0575,5.5619,0.5904
1,2,1.0165,5.6923,0.5321
1,3,0.9795,5.8953,0.5081
1,4,0.8989,6.2618,0.6686
1,5,0.7737,6.9151,0.4668
1,6,0.7172,7.1806,0.6456
1,7,0.6595,7.5852,0.6556
1,8,0.5400,8.4501,0.6472
1,9,0.4805,9.0793,0.6113
1,10,0.5383,8.7687,0.7187
1,11,0.3663,10.1544,0.6001
1,12,0.4483,9.8163,0.5729
1,13,0.3431,10.5648,0.7291
1,14,0.3582,10.6916,0.5789
1,15,0.2646,12.0858,0.6922
1,16,0.2844,11.9079,0.7069
1,17,0.2853,11.9079,0.5860
1,18,0.2367,13.5445,0.7360
1,19,0.2580,12.5800,0.7866
1,20,0.2062,13.7532,0.8222
1,21,0.2449,13.7923,0.8256
1,22,0.4068,11.7082,0.6400
1,23,0.1978,13.7250,0.7424
1,24,0.3372,12.1615,0.8362
1,25,0.2692,13.1444,0.8101
2,1,0.3745,12.1852,0.7605
2,2,0.3110,11.6669,0.8519
2,3,0.2640,13.9139,0.7888
2,4,0.2389,13.8448,0.7599
2,5,0.3782,12.0527,0.7811
2,6,0.1567,16.3533,nan
2,7,0.2120,14.0984,0.7295
2,8,0.1548,16.3015,0.8623
2,9,0.3554,13.3700,nan
2,10,0.2140,14.2481,0.7924
2,11,0.2894,14.2938,0.7633
2,12,0.3469,12.6169,0.7453
2,13,0.2348,15.4733,0.7666
2,14,0.2251,15.3051,0.7791
2,15,0.2333,15.0900,0.8413
2,16,0.1579,16.4115,0.8898
2,17,0.1574,15.3795,0.8265
2,18,0.1129,16.6153,0.8695
2,19,0.2566,14.7027,0.8093
2,20,0.2494,15.3947,0.7874
2,21,0.1536,15.0080,0.8110
2,22,0.1932,14.8734,0.8484
2,23,0.2372,13.5331,0.7539
2,24,0.2393,14.9639,0.8326
2,25,0.4986,11.1606,0.6504
3,1,0.2531,16.3463,0.8006
3,2,0.2142,16.0279,nan
3,3,0.1952,15.3030,0.7596
3,4,0.1070,17.3833,0.8856
3,5,0.1056,17.5739,0.8804
3,6,0.1481,17.7960,0.8226
3,7,0.1972,16.3545,0.8159
3,8,0.1498,17.6031,0.8854
3,9,0.1769,14.5174,0.7216
3,10,0.2828,14.3419,0.6781
3,11,0.1349,17.6746,0.9195
3,12,0.2867,16.0713,0.7846
3,13,0.1320,16.2467,0.8341
3,14,0.1701,16.5336,0.8830
3,15,0.2067,15.2248,0.7822
3,16,0.2224,17.0225,0.8616
3,17,0.0841,17.8060,0.8656
3,18,0.2359,15.8004,0.7775
3,19,0.2135,17.2198,0.8435
3,20,0.2379,15.6193,0.7392
3,21,0.2002,14.7247,0.7000
3,22,0.1854,18.1218,0.8649
3,23,0.1396,18.2041,nan
3,24,0.0724,19.1560,0.9319
3,25,0.1391,19.4146,0.8980
4,1,0.1754,15.6000,0.8098
4,2,0.2024,16.5988,0.7984
4,3,0.2434,13.1248,0.6456
4,4,0.1951,16.2805,0.8864
4,5,0.2469,17.2448,0.8134
4,6,0.3970,15.1673,0.7100
4,7,0.1731,16.9437,0.8377
4,8,0.2267,14.1581,0.7855
4,9,0.1382,16.0308,0.8065
4,10,0.1220,17.5672,0.8653
4,11,0.0699,19.5908,0.9005
4,12,0.1327,17.6064,0.8316
4,13,0.1396,17.4598,0.8110
4,14,0.1571,16.3400,0.8009
4,15,0.1512,18.1991,0.9433
4,16,0.2114,17.9255,0.8593
4,17,0.1624,17.7009,0.8895
4,18,0.3825,14.7528,0.7723
4,19,0.1521,17.0386,0.8439
4,20,0.1824,15.6164,0.7482
4,21,0.1337,18.4054,0.8501
4,22,0.1109,17.9229,0.8357
4,23,0.1587,16.0755,0.8392
4,24,0.1754,18.6972,0.7928
4,25,0.1776,16.3964,0.8522
5,1,0.1108,18.6129,0.8278
5,2,0.1495,15.8698,0.8230
5,3,0.1659,15.8108,0.8483
5,4,0.1719,16.7784,0.8365
5,5,0.2055,16.9007,0.8524
5,6,0.1154,18.3994,nan
5,7,0.1432,16.0377,0.7590
5,8,0.2201,15.1475,0.7874
5,9,0.1615,18.3317,0.8859
5,10,0.1968,15.7742,0.8099
5,11,0.1284,16.1907,0.8155
5,12,0.1505,18.6093,0.8550
5,13,0.0769,19.7986,0.9369
5,14,0.1564,17.2533,0.8154
5,15,0.1165,19.3484,0.8109
5,16,0.0983,17.3818,0.8296
5,17,0.1423,17.3416,0.8852
5,18,0.2042,14.7256,0.8166
5,19,0.3031,14.2142,0.7735
5,20,0.1650,17.4962,0.8327
5,21,0.0747,19.1631,0.8833
5,22,0.1113,17.9626,0.8582
5,23,0.0890,18.4749,0.8525
5,24,0.0412,21.5284,0.8985
5,25,0.0954,19.7620,0.8438
6,1,0.2118,16.4963,0.8380
6,2,0.1420,16.8637,0.7375
6,3,0.0983,18.4690,0.8344
6,4,0.0757,19.6877,0.8524
6,5,0.1395,17.9024,0.8786
6,6,0.0819,19.9571,0.8729
6,7,0.0686,19.5597,0.8854
6,8,0.1482,16.7817,0.7978
6,9,0.0918,20.8620,nan
6,10,0.1086,19.6908,0.8032
6,11,0.0961,19.9129,0.8629
6,12,0.2076,18.7615,0.7336
6,13,0.0705,20.7920,0.9091
6,14,0.0886,20.7556,0.9110
6,15,0.0812,20.5904,0.8193
6,16,0.1252,20.1556,0.8421
6,17,0.0924,18.4791,0.8829
6,18,0.0975,20.6534,0.8958
6,19,0.0652,21.7076,0.8840
6,20,0.1007,19.3400,0.9002
6,21,0.0873,20.0189,0.9121
6,22,0.0826,21.0806,0.8431
6,23,0.0902,21.6350,0.8793
6,24,0.1620,18.3093,nan
6,25,0.0425,21.1502,0.9458
7,1,0.0991,20.0953,0.9029
7,2,0.0687,21.7237,0.9041
7,3,0.0931,21.0873,0.8957
7,4,0.0867,22.2834,0.8337
7,5,0.0563,21.9196,0.8947
7,6,0.0688,20.2694,0.8048
7,7,0.0586,21.0835,0.8514
7,8,0.0535,20.7631,0.8908
7,9,0.0865,19.6924,0.8485
7,10,0.2217,17.3307,0.7994
7,11,0.0824,20.1632,0.8696
7,12,0.1037,19.2581,0.8045
7,13,0.2007,18.1143,0.8719
7,14,0.2974,13.8672,0.7843
7,15,0.2452,15.4678,0.7873
7,16,0.1585,16.7892,0.8331
7,17,0.1599,18.7478,0.8394
7,18,0.1302,17.3519,0.9169
7,19,0.1419,19.9626,0.8518
7,20,0.0450,21.4946,0.9348
7,21,0.2106,16.3627,0.8944
7,22,0.1588,17.8596,0.7507
7,23,0.0817,20.9720,0.8853
7,24,0.0852,20.4160,0.9258
7,25,0.0857,20.6342,0.8672
8,1,0.2538,17.1261,0.8689
8,2,0.1726,15.9176,0.8072
8,3,0.1115,18.3309,0.8731
8,4,0.0265,24.4766,0.9485
8,5,0.0906,21.4668,0.8481
8,6,0.0336,22.9474,0.9116
8,7,0.1076,21.0845,0.8298
8,8,0.0895,20.9469,0.8908
8,9,0.0831,21.0216,0.9130
8,10,0.0595,20.4553,0.8780
8,11,0.0961,19.3849,0.8739
8,12,0.1066,20.7732,0.9344
8,13,0.0529,21.6080,0.8961
8,14,0.1048,19.8317,0.8837
8,15,0.0238,24.6813,0.9407
8,16,0.1611,19.1940,0.8634
8,17,0.0806,20.5597,0.8481
8,18,0.0410,22.7385,0.9104
8,19,0.1156,19.7525,0.8057
8,20,0.0733,24.0903,0.9130
8,21,0.1306,20.7706,0.9332
8,22,0.0695,20.2761,0.8757
8,23,0.0608,21.3309,0.8653
8,24,0.0865,20.9394,0.8604
8,25,0.0470,22.6068,0.8980
9,1,0.0807,21.0485,0.8694
9,2,0.1581,17.6393,0.7463
9,3,0.1269,17.2679,0.8056
9,4,0.0718,21.6361,0.9176
9,5,0.0935,20.2825,0.8959
9,6,0.0485,23.7719,0.9250
9,7,0.0525,24.7473,0.8836
9,8,0.0436,23.0990,0.9115
9,9,0.0504,24.8328,0.9693
9,10,0.1193,20.9572,0.8575
9,11,0.1368,21.5903,0.8490
9,12,0.0603,20.0777,0.8606
9,13,0.0657,22.9029,0.8711
9,14,0.0603,21.9543,0.8757
9,15,0.0991,19.6716,0.8456
9,16,0.0471,23.2462,nan
9,17,0.0786,22.2598,0.9238
9,18,0.1140,21.2734,0.9125
9,19,0.1787,17.4798,0.8351
9,20,0.0643,23.7398,0.8988
9,21,0.1517,20.0972,0.8059
9,22,0.0670,22.5360,0.9088
9,23,0.1027,21.5850,0.8925
9,24,0.0998,19.4024,0.8889
9,25,0.0505,22.8986,0.9079
10,1,0.0329,26.3442,0.9205
10,2,0.0743,20.6073,0.8722
10,3,0.0483,24.3849,0.8958
10,4,0.1178,19.6905,0.8700
10,5,0.1265,20.1634,0.8170
10,6,0.0464,21.8720,0.8932
10,7,0.1841,20.1941,0.8804
10,8,0.0542,24.6707,0.8800
10,9,0.0520,24.9565,0.9586
10,10,0.0639,23.6833,0.9011
10,11,0.0464,23.1154,nan
10,12,0.0680,22.3228,0.8947
10,13,0.1161,20.6911,0.8149
10,14,0.1137,18.6536,0.8698
10,15,0.1154,19.0066,0.7674
10,16,0.0749,19.7438,0.8463
10,17,0.1443,21.5420,0.9264
10,18,0.0573,21.1999,0.8628
10,19,0.0541,22.0433,0.9501
10,20,0.0362,23.5194,0.9554
10,21,0.0796,21.7356,0.9454
10,22,0.0369,24.2055,0.9262
10,23,0.0426,22.7667,0.9026
10,24,0.0488,24.1517,0.8818
10,25,0.2155,19.9073,0.8736
11,1,0.0880,19.6565,0.8767
11,2,0.0758,20.8350,0.8769
11,3,0.0846,20.0164,0.9063
11,4,0.0361,23.3233,0.9363
11,5,0.1637,17.0283,0.8134
11,6,0.0826,21.2753,0.7930
11,7,0.0385,24.0406,0.8955
11,8,0.0647,21.5274,0.8234
11,9,0.0995,24.3461,0.9003
11,10,0.0607,22.7790,0.9038
11,11,0.0735,21.2897,0.8486
11,12,0.0669,23.4128,0.8808
11,13,0.0389,23.7965,0.9287
11,14,0.0364,25.4446,0.9308
11,15,0.0766,23.2927,0.8804
11,16,0.0905,21.1277,0.8041
11,17,0.0717,24.1715,0.9142
11,18,0.1104,20.7122,0.8836
11,19,0.0577,21.7006,0.9086
11,20,0.0589,22.1074,0.8400
11,21,0.0394,24.4604,0.8707
11,22,0.0593,21.9727,0.8771
11,23,0.0592,24.4464,0.9459
11,24,0.0854,21.4446,0.9194
11,25,0.0294,25.7066,0.9434
12,1,0.0949,20.9892,0.7638
12,2,0.0407,22.5766,0.8471
12,3,0.0684,23.8326,0.8709
12,4,0.0470,22.9926,0.9214
12,5,0.0441,23.4109,0.8535
