Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1150,15.3116,0.4385,0.81
10,0.1132,15.3785,0.4530,2.23
20,0.1132,15.3776,0.4531,2.42
30,0.1132,15.3793,0.4536,2.54
40,0.1126,15.4017,0.4570,3.17
50,0.1117,15.4358,0.4616,3.80
60,0.1113,15.4534,0.4663,4.60
70,0.1111,15.4589,0.4651,4.86
80,0.1111,15.4589,0.4651,4.86
90,0.1087,15.5554,0.4833,6.24
100,0.1086,15.5583,0.4846,6.43
110,0.1057,15.6790,0.4991,7.51
120,0.1086,15.5578,0.4982,8.29
130,0.1077,15.5951,0.5017,8.81
140,0.1060,15.6656,0.5145,9.69
150,0.1058,15.6722,0.5172,10.92
160,0.1058,15.6722,0.5181,11.78
170,0.1058,15.6724,0.5183,11.87
180,0.1058,15.6724,0.5184,11.90
190,0.1058,15.6735,0.5189,12.03
200,0.1058,15.6735,0.5189,12.03
210,0.1058,15.6728,0.5181,11.96
220,0.1058,15.6728,0.5181,11.96
230,0.1058,15.6724,0.5180,11.91
240,0.1058,15.6718,0.5177,11.71
250,0.1058,15.6718,0.5177,11.71
260,0.1059,15.6695,0.5167,11.44
270,0.1061,15.6597,0.5144,10.93
280,0.1061,15.6618,0.5143,10.81
290,0.1061,15.6619,0.5139,10.75
300,0.1061,15.6616,0.5141,10.85
310,0.1079,15.5877,0.5083,10.58
320,0.1096,15.5197,0.5040,10.51
330,0.1066,15.6401,0.5080,10.12
340,0.1082,15.5740,0.5001,9.41
350,0.1088,15.5496,0.4950,9.05
360,0.1052,15.6961,0.5078,10.09
370,0.1045,15.7280,0.5118,11.45
380,0.1039,15.7522,0.5177,11.93
390,0.1038,15.7538,0.5192,11.99
400,0.1030,15.7893,0.5297,12.82
410,0.1028,15.7989,0.5344,12.95
420,0.1025,15.8108,0.5340,12.37
430,0.1032,15.7823,0.5381,13.51
440,0.1033,15.7767,0.5380,13.84
450,0.1019,15.8381,0.5521,13.89
460,0.1013,15.8609,0.5639,14.67
470,0.1014,15.8571,0.5644,15.64
480,0.1020,15.8321,0.5617,15.42
490,0.1012,15.8649,0.5701,16.33
500,0.3450,10.5740,0.2458,16.15
510,0.3450,10.5746,0.2472,16.09
520,0.3139,10.9849,0.2585,16.78
530,0.3112,11.0218,0.2621,16.29
540,0.2970,11.2246,0.2731,16.26
550,0.2546,11.8928,0.2880,16.61
560,0.2261,12.4096,0.3116,16.65
570,0.2233,12.4638,0.3121,16.20
580,0.2229,12.4704,0.3131,16.33
590,0.2230,12.4684,0.3113,15.85
600,0.2236,12.4574,0.3100,14.88
610,0.2216,12.4963,0.3256,16.04
620,0.2197,12.5331,0.3295,16.00
630,0.2199,12.5303,0.3278,15.50
640,0.2182,12.5634,0.3256,14.13
650,0.2168,12.5925,0.3268,13.83
660,0.2000,12.9426,0.3296,12.73
670,0.1994,12.9546,0.3330,12.49
680,0.1989,12.9651,0.3348,13.00
690,0.1979,12.9883,0.3382,12.83
700,0.1978,12.9890,0.3400,12.86
710,0.1986,12.9725,0.3353,11.59
720,0.2128,12.6727,0.3277,10.90
730,0.2153,12.6213,0.3203,10.18
740,0.2161,12.6047,0.2955,9.19
750,0.2309,12.3188,0.2844,8.25
760,0.2304,12.3280,0.2838,8.22
770,0.2381,12.1846,0.2781,7.47
780,0.2429,12.0974,0.2715,7.13
790,0.2435,12.0870,0.2743,7.62
800,0.2636,11.7425,0.2763,7.78
810,0.2712,11.6188,0.2805,8.37
820,0.2718,11.6097,0.2851,8.62
830,0.2719,11.6086,0.2842,8.74
840,0.2719,11.6086,0.2842,8.74
850,0.2719,11.6086,0.2842,8.74
860,0.2711,11.6213,0.2845,8.93
870,0.2752,11.5563,0.2844,9.29
880,0.2752,11.5563,0.2844,9.29
890,0.2753,11.5541,0.2849,9.36
900,0.2769,11.5293,0.2792,8.71
910,0.2764,11.5367,0.2799,8.74
920,0.2764,11.5367,0.2799,8.74
930,0.2804,11.4750,0.2794,8.77
940,0.3142,10.9799,0.2675,7.79
950,0.3127,11.0010,0.2694,7.83
960,0.3174,10.9359,0.2622,7.06
970,0.3191,10.9136,0.2505,5.94
980,0.2954,11.2477,0.2531,5.88
990,0.2449,12.0616,0.2722,7.29
