Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1150,15.3113,0.4361,0.81
10,0.1109,15.4700,0.4690,1.77
20,0.1106,15.4792,0.4697,2.25
30,0.1105,15.4858,0.4714,2.82
40,0.1105,15.4861,0.4714,2.89
50,0.1104,15.4867,0.4724,3.12
60,0.1100,15.5038,0.4729,3.76
70,0.1100,15.5040,0.4730,3.83
80,0.1101,15.5000,0.4730,4.01
90,0.1101,15.5001,0.4730,4.03
100,0.1095,15.5235,0.4758,4.50
110,0.1095,15.5238,0.4760,4.53
120,0.1095,15.5238,0.4760,4.53
130,0.1095,15.5232,0.4786,4.73
140,0.1095,15.5232,0.4786,4.73
150,0.1095,15.5238,0.4812,5.18
160,0.1095,15.5238,0.4812,5.18
170,0.1089,15.5491,0.4866,5.53
180,0.1082,15.5757,0.4919,6.41
190,0.1082,15.5761,0.4921,6.54
200,0.1074,15.6090,0.4996,7.39
210,0.1077,15.5950,0.5022,8.20
220,0.0983,15.9931,0.5204,10.66
230,0.0912,16.3165,0.5260,10.40
240,0.0918,16.2870,0.5205,10.26
250,0.0925,16.2551,0.5159,10.02
260,0.0923,16.2669,0.5158,10.14
270,0.0923,16.2672,0.5159,10.16
280,0.0918,16.2881,0.5220,10.55
290,0.0918,16.2893,0.5219,10.55
300,0.0863,16.5569,0.5320,10.86
310,0.0869,16.5259,0.5300,10.66
320,0.0858,16.5837,0.5346,11.74
330,0.0840,16.6771,0.5497,12.52
340,0.0838,16.6836,0.5475,13.39
350,0.0829,16.7312,0.5617,14.53
360,0.0829,16.7323,0.5620,15.15
370,0.0829,16.7311,0.5625,15.61
380,0.0828,16.7376,0.5631,15.38
390,0.0830,16.7277,0.5634,15.80
400,0.1051,15.7030,0.5497,15.47
410,0.1036,15.7635,0.5442,15.31
420,0.1018,15.8415,0.5527,14.95
430,0.1003,15.9050,0.5668,14.32
440,0.1003,15.9066,0.5672,14.01
450,0.1075,15.6041,0.5458,14.04
460,0.0997,15.9310,0.5798,14.83
470,0.1003,15.9049,0.5734,13.86
480,0.1005,15.8957,0.5717,13.49
490,0.0994,15.9447,0.5821,14.41
500,0.3497,10.5150,0.2280,15.17
510,0.3503,10.5073,0.2296,14.60
520,0.3427,10.6027,0.2466,15.27
530,0.3365,10.6827,0.2553,15.75
540,0.3343,10.7114,0.2586,15.12
550,0.3358,10.6911,0.2527,13.51
560,0.3364,10.6837,0.2463,12.33
570,0.3368,10.6781,0.2466,11.45
580,0.3374,10.6712,0.2464,10.56
590,0.3387,10.6539,0.2440,9.83
600,0.3402,10.6345,0.2407,8.90
610,0.3427,10.6032,0.2404,7.72
620,0.3422,10.6088,0.2445,8.07
630,0.3281,10.7918,0.2545,8.74
640,0.3279,10.7946,0.2540,8.36
650,0.3282,10.7907,0.2539,8.13
660,0.3169,10.9433,0.2568,8.26
670,0.3140,10.9831,0.2680,8.78
680,0.3095,11.0452,0.2709,9.00
690,0.3144,10.9768,0.2745,9.41
700,0.3109,11.0258,0.2819,9.66
710,0.3085,11.0603,0.2842,9.85
720,0.3084,11.0608,0.2842,9.98
730,0.3084,11.0608,0.2842,9.98
740,0.3094,11.0464,0.2814,9.77
750,0.3086,11.0579,0.2827,9.67
760,0.3135,10.9902,0.2815,9.52
770,0.3063,11.0911,0.2736,9.73
780,0.2959,11.2405,0.2745,9.83
790,0.2705,11.6313,0.2740,9.49
800,0.2645,11.7284,0.2759,9.98
810,0.2467,12.0309,0.2953,11.68
820,0.2265,12.4025,0.3030,12.15
830,0.2255,12.4200,0.2992,11.82
840,0.1992,12.9587,0.3036,12.43
850,0.1924,13.1098,0.3146,13.54
860,0.1925,13.1081,0.3200,14.41
870,0.1730,13.5727,0.3422,15.34
880,0.1670,13.7244,0.3540,16.23
890,0.1729,13.5732,0.3472,15.73
900,0.1712,13.6169,0.3547,16.23
910,0.1711,13.6186,0.3477,15.56
920,0.1676,13.7092,0.3510,15.72
930,0.1765,13.4853,0.3349,15.14
940,0.1764,13.4868,0.3334,14.70
950,0.1749,13.5243,0.3387,14.15
960,0.1754,13.5117,0.3299,12.86
970,0.1777,13.4548,0.3243,12.54
980,0.1844,13.2953,0.3159,11.43
990,0.1852,13.2764,0.3218,11.71
