Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1124,15.4114,0.4577,0.81
10,0.1131,15.3847,0.4451,2.58
20,0.1126,15.4034,0.4500,3.39
30,0.1225,15.0367,0.4341,3.75
40,0.1121,15.4214,0.4498,4.60
50,0.1123,15.4149,0.4461,4.89
60,0.1134,15.3698,0.4390,5.84
70,0.1127,15.3991,0.4366,7.30
80,0.1112,15.4574,0.4503,8.17
90,0.1108,15.4720,0.4492,8.91
100,0.1114,15.4495,0.4482,8.96
110,0.1120,15.4253,0.4448,9.12
120,0.1109,15.4698,0.4487,10.01
130,0.1096,15.5183,0.4544,10.48
140,0.1105,15.4844,0.4507,11.32
150,0.1096,15.5186,0.4520,11.69
160,0.1125,15.4073,0.4397,11.76
170,0.1081,15.5785,0.4554,12.76
180,0.1087,15.5558,0.4499,12.92
190,0.1097,15.5175,0.4451,13.26
200,0.1093,15.5320,0.4487,13.43
210,0.1087,15.5537,0.4498,13.48
220,0.1082,15.5775,0.4536,13.16
230,0.1079,15.5877,0.4564,13.81
240,0.1079,15.5872,0.4506,14.02
250,0.1075,15.6026,0.4587,12.48
260,0.1065,15.6448,0.4653,11.91
270,0.1081,15.5791,0.4519,12.11
280,0.1083,15.5700,0.4547,11.95
290,0.1080,15.5842,0.4577,11.73
300,0.1083,15.5701,0.4534,11.48
310,0.1111,15.4589,0.4406,10.93
320,0.1117,15.4384,0.4410,11.07
330,0.1119,15.4306,0.4336,10.59
340,0.1122,15.4185,0.4339,10.10
350,0.1127,15.3999,0.4299,10.29
360,0.1138,15.3552,0.4272,9.85
370,0.1135,15.3689,0.4277,9.83
380,0.1131,15.3822,0.4351,9.77
390,0.1123,15.4140,0.4327,9.77
400,0.1132,15.3811,0.4294,9.73
410,0.1123,15.4155,0.4340,9.62
420,0.1120,15.4270,0.4332,9.80
430,0.1128,15.3955,0.4304,9.97
440,0.1128,15.3931,0.4309,10.51
450,0.1134,15.3707,0.4228,11.06
460,0.1127,15.3973,0.4259,10.99
470,0.1123,15.4129,0.4281,10.99
480,0.1139,15.3536,0.4247,9.46
490,0.1131,15.3837,0.4312,8.69
500,0.3566,10.4303,0.1883,8.92
510,0.3551,10.4481,0.1799,10.76
520,0.3516,10.4923,0.1878,11.01
530,0.3528,10.4764,0.1874,11.02
540,0.3535,10.4683,0.1894,10.97
550,0.3514,10.4937,0.1923,10.71
560,0.3394,10.6457,0.1951,10.88
570,0.3160,10.9557,0.2023,12.10
580,0.2883,11.3539,0.2195,13.88
590,0.2839,11.4213,0.2226,13.54
600,0.2744,11.5690,0.2321,14.22
610,0.2491,11.9882,0.2409,14.85
620,0.2441,12.0763,0.2429,14.35
630,0.2467,12.0313,0.2501,14.28
640,0.2478,12.0113,0.2471,13.94
650,0.2362,12.2192,0.2455,13.66
660,0.2366,12.2126,0.2406,14.75
670,0.2365,12.2134,0.2414,14.82
680,0.2378,12.1902,0.2395,14.98
690,0.2366,12.2121,0.2390,15.62
700,0.2315,12.3073,0.2407,15.68
710,0.2344,12.2528,0.2339,16.33
720,0.2455,12.0516,0.2368,16.38
730,0.2548,11.8900,0.2313,15.79
740,0.2554,11.8808,0.2307,15.45
750,0.2569,11.8546,0.2254,14.39
760,0.2573,11.8474,0.2279,12.68
770,0.2589,11.8211,0.2234,11.87
780,0.2591,11.8180,0.2248,11.81
790,0.2599,11.8043,0.2235,11.99
800,0.2607,11.7914,0.2203,12.31
810,0.2595,11.8111,0.2235,12.48
820,0.2595,11.8104,0.2241,12.42
830,0.2687,11.6600,0.2172,11.61
840,0.2906,11.3196,0.2042,10.66
850,0.2999,11.1827,0.1969,9.44
860,0.3059,11.0967,0.1929,9.31
870,0.3004,11.1753,0.2020,8.74
880,0.3009,11.1676,0.1989,8.02
890,0.3033,11.1339,0.2013,7.83
900,0.3022,11.1493,0.2010,7.54
910,0.3031,11.1368,0.2000,7.54
920,0.3042,11.1207,0.1983,7.54
930,0.3048,11.1114,0.1977,7.30
940,0.3048,11.1122,0.1960,7.51
950,0.3027,11.1425,0.1996,7.62
960,0.3015,11.1598,0.1987,7.72
970,0.3210,10.8870,0.1980,8.19
980,0.2753,11.5537,0.2088,8.74
990,0.2649,11.7220,0.2179,10.43
