Epoch,Batch,MSE,PSNR,SSIM
1,1,0.1840,7.0965,0.7967
1,2,0.1772,7.2796,0.7540
1,3,0.1780,7.2455,0.8390
1,4,0.1868,7.0110,0.8974
1,5,0.1818,7.1624,0.8254
1,6,0.1818,7.1226,0.8573
1,7,0.1800,7.1874,0.8313
1,8,0.1781,7.1983,0.8594
1,9,0.1709,7.4256,0.8073
1,10,0.1574,7.7646,0.7737
1,11,0.1495,7.9774,0.7617
1,12,0.1391,8.2836,0.7295
1,13,0.1290,8.6224,0.6236
1,14,0.1258,8.7846,0.7629
1,15,0.1160,9.1263,0.7308
1,16,0.1004,9.8215,0.6359
1,17,0.1006,9.8742,0.7093
1,18,0.0966,10.2789,0.6825
1,19,0.0841,10.9800,0.7084
1,20,0.1246,9.8024,0.6615
1,21,0.1010,10.7153,0.6927
1,22,0.1070,10.3276,0.6688
1,23,0.1278,9.9193,0.6151
1,24,0.1284,9.2245,0.6742
1,25,0.1475,8.9406,0.6861
2,1,0.1072,11.1892,0.7040
2,2,0.0803,11.9251,0.6789
2,3,0.0965,10.8197,0.7286
2,4,0.0894,11.0844,0.7413
2,5,0.1430,9.2373,0.5479
2,6,0.1333,9.3449,0.6559
2,7,0.0910,10.9380,0.7690
2,8,0.1165,10.6772,0.6751
2,9,0.1023,10.7559,0.6703
2,10,0.0929,10.7767,0.7883
2,11,0.0894,10.8654,0.6977
2,12,0.1177,9.8675,0.6929
2,13,0.0878,11.2586,nan
2,14,0.1197,9.3345,0.6181
2,15,0.0947,10.5496,0.6947
2,16,0.1015,10.1890,0.6887
2,17,0.1020,10.1764,0.6725
2,18,0.0807,10.9471,0.6722
2,19,0.1095,9.7038,0.6885
2,20,0.0958,10.1836,0.7110
2,21,0.0873,10.5460,0.7737
2,22,0.0920,10.3844,0.6665
2,23,0.0893,10.5237,0.8062
2,24,0.0798,10.9395,0.6890
2,25,0.1065,9.9229,0.8012
3,1,0.0999,10.2870,0.7308
3,2,0.1011,10.3240,0.6840
3,3,0.0833,10.8373,0.7252
3,4,0.0883,11.1256,0.7586
3,5,0.0886,11.3381,0.7006
3,6,0.1115,9.9910,0.7576
3,7,0.1057,10.1026,0.5620
3,8,0.0826,11.2009,0.6957
3,9,0.0741,11.6454,0.7744
3,10,0.0793,11.2182,0.7789
3,11,0.0893,10.9396,0.7980
3,12,0.0927,10.5582,0.7601
3,13,0.0707,12.0589,0.7457
3,14,0.0801,11.5588,0.8389
3,15,0.0637,12.0204,0.6820
3,16,0.1038,10.5931,0.6298
3,17,0.0798,10.9878,0.7663
3,18,0.0721,11.5722,0.6893
3,19,0.0865,11.1453,0.7773
3,20,0.0878,10.6904,0.7195
3,21,0.0885,10.7503,0.7104
3,22,0.0618,12.1144,0.8297
3,23,0.0845,10.9621,0.7599
3,24,0.0884,10.7894,0.7752
3,25,0.1036,10.4753,0.6438
4,1,0.0902,10.3353,0.7232
4,2,0.0683,11.8479,0.7612
4,3,0.1000,10.6116,0.7012
4,4,0.0915,10.7849,0.8443
4,5,0.0750,11.3683,0.7358
4,6,0.0895,10.9988,0.7258
4,7,0.0895,10.9343,0.7786
4,8,0.0659,11.9450,0.7782
4,9,0.0811,11.0774,0.8038
4,10,0.0787,11.2512,0.7548
4,11,0.1081,10.2312,0.8152
4,12,0.0939,10.8451,0.5996
4,13,0.0715,11.5040,0.7732
4,14,0.0776,11.8842,0.8105
4,15,0.0972,10.2844,0.7056
4,16,0.0775,11.4174,0.8829
4,17,0.0899,11.2389,0.7050
4,18,0.0845,11.1794,0.7563
4,19,0.0921,10.6722,0.7304
4,20,0.0773,11.2726,0.7810
4,21,0.0710,11.9069,0.6913
4,22,0.0682,11.8224,0.7488
4,23,0.0705,11.7720,0.7953
4,24,0.0921,10.8604,0.6699
4,25,0.0848,10.8487,0.7431
5,1,0.0816,11.6172,0.6967
5,2,0.0684,11.9012,0.7930
5,3,0.0642,12.1173,0.7001
5,4,0.0857,11.5310,0.6637
5,5,0.0829,11.2243,0.8315
5,6,0.0750,11.3592,0.7231
5,7,0.0848,10.9658,0.7744
5,8,0.0641,11.9456,0.8545
5,9,0.0980,10.1669,0.7859
5,10,0.0900,10.7673,0.7003
5,11,0.0937,10.7761,0.6634
5,12,0.0733,11.5579,0.7139
5,13,0.0885,10.8921,0.7524
5,14,0.0769,11.2401,0.7714
5,15,0.0918,10.3585,0.7103
5,16,0.0838,10.9079,0.7798
5,17,0.0871,10.6962,0.8061
5,18,0.0984,10.3431,0.6423
5,19,0.0895,10.7155,0.7623
5,20,0.0820,10.9598,0.7787
5,21,0.0742,11.1859,0.7974
5,22,0.0720,11.6255,0.8322
5,23,0.0770,11.2325,0.7836
5,24,0.0696,12.0310,0.6602
5,25,0.0736,11.5645,nan
