Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1179,15.2041,0.4468,0.81
10,0.1148,15.3179,0.4755,3.44
20,0.1143,15.3368,0.4801,4.25
30,0.1157,15.2857,0.4791,5.41
40,0.1151,15.3056,0.4859,5.94
50,0.1118,15.4332,0.4901,6.87
60,0.1034,15.7718,0.5042,7.60
70,0.1020,15.8298,0.5167,8.35
80,0.1020,15.8298,0.5167,8.48
90,0.1021,15.8293,0.5166,8.64
100,0.1021,15.8293,0.5166,8.64
110,0.1024,15.8161,0.5171,8.91
120,0.0955,16.1200,0.5330,10.98
130,0.0958,16.1048,0.5298,12.24
140,0.0932,16.2256,0.5514,12.59
150,0.0976,16.0252,0.5481,13.02
160,0.1012,15.8674,0.5467,13.15
170,0.0993,15.9498,0.5579,13.71
180,0.0990,15.9599,0.5629,14.19
190,0.0943,16.1736,0.5853,15.76
200,0.0957,16.1087,0.5875,16.23
210,0.0912,16.3192,0.6056,17.64
220,0.0944,16.1698,0.6260,18.27
230,0.0950,16.1416,0.6266,18.31
240,0.0947,16.1555,0.6257,18.07
250,0.0945,16.1617,0.6242,17.71
260,0.0942,16.1775,0.6223,16.43
270,0.0966,16.0697,0.5951,15.32
280,0.0975,16.0276,0.5930,14.05
290,0.1010,15.8732,0.5803,13.49
300,0.0962,16.0853,0.5870,13.90
310,0.0893,16.4112,0.5755,13.20
320,0.0867,16.5398,0.6109,14.40
330,0.0564,18.4067,0.6182,14.98
340,0.0562,18.4237,0.6179,14.70
350,0.0560,18.4352,0.6195,14.98
360,0.0559,18.4407,0.6212,15.01
370,0.0576,18.3157,0.6207,14.78
380,0.0604,18.1087,0.6068,14.20
390,0.0597,18.1590,0.6094,14.33
400,0.0611,18.0569,0.6059,14.23
410,0.0605,18.1012,0.6085,14.93
420,0.0648,17.8046,0.6077,15.00
430,0.0620,17.9943,0.6131,15.71
440,0.0637,17.8788,0.6191,16.87
450,0.0605,18.1002,0.6308,17.67
460,0.0602,18.1190,0.6265,18.36
470,0.0538,18.6128,0.6700,18.95
480,0.0630,17.9233,0.6207,16.91
490,0.0761,17.1047,0.5896,15.23
500,0.3057,11.0999,0.2255,15.24
510,0.3006,11.1718,0.2394,15.56
520,0.2994,11.1896,0.2459,15.58
530,0.2948,11.2574,0.2416,15.24
540,0.2883,11.3534,0.2458,15.31
550,0.2846,11.4103,0.2556,14.92
560,0.2755,11.5516,0.2631,15.91
570,0.2586,11.8258,0.2951,17.66
580,0.2578,11.8402,0.3066,19.03
590,0.2694,11.6485,0.3148,19.96
600,0.3079,11.0677,0.3102,19.01
610,0.3104,11.0331,0.3180,19.12
620,0.3105,11.0323,0.3215,19.64
630,0.3091,11.0512,0.3223,18.47
640,0.2957,11.2437,0.3253,17.93
650,0.2796,11.4863,0.3283,17.53
660,0.2697,11.6440,0.3309,17.11
670,0.2663,11.6988,0.3322,16.58
680,0.2657,11.7086,0.3335,16.49
690,0.2649,11.7207,0.3341,16.29
700,0.2688,11.6583,0.3141,14.68
710,0.2693,11.6493,0.3123,14.37
720,0.2687,11.6600,0.3116,14.21
730,0.2683,11.6652,0.3128,13.95
740,0.2685,11.6635,0.3148,14.26
750,0.2746,11.5654,0.3089,13.66
760,0.2897,11.3320,0.3042,12.80
770,0.3204,10.8955,0.2936,12.26
780,0.3267,10.8111,0.2843,11.52
790,0.3253,10.8291,0.2922,12.49
800,0.3305,10.7610,0.2941,13.07
810,0.3216,10.8792,0.2984,13.08
820,0.3175,10.9349,0.2997,12.78
830,0.2727,11.5950,0.3145,12.77
840,0.2469,12.0265,0.3211,14.01
850,0.2457,12.0479,0.3320,15.45
860,0.2485,11.9984,0.3379,16.51
870,0.2133,12.6625,0.3810,17.52
880,0.2130,12.6688,0.3959,18.72
890,0.2164,12.5997,0.3975,19.49
900,0.2190,12.5481,0.3975,18.68
910,0.2072,12.7890,0.4018,18.98
920,0.2075,12.7830,0.4032,20.33
930,0.2168,12.5923,0.3919,19.40
940,0.2182,12.5645,0.3851,18.74
950,0.2050,12.8352,0.3826,18.51
960,0.1954,13.0432,0.3911,19.07
970,0.1859,13.2606,0.3819,19.02
980,0.1764,13.4883,0.3937,20.09
990,0.1596,13.9231,0.4348,22.46
