Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1061,15.6587,0.4227,0.81
10,0.1125,15.4054,0.4466,2.44
20,0.1124,15.4106,0.4502,3.35
30,0.1124,15.4105,0.4523,3.55
40,0.1159,15.2779,0.4352,4.33
50,0.1108,15.4731,0.4827,5.66
60,0.1085,15.5624,0.4843,7.31
70,0.1063,15.6527,0.4861,8.09
80,0.1040,15.7464,0.4993,9.25
90,0.1047,15.7204,0.4879,9.41
100,0.1045,15.7260,0.4996,9.62
110,0.1045,15.7279,0.4996,9.81
120,0.1025,15.8103,0.5137,10.23
130,0.1025,15.8117,0.5139,10.45
140,0.0981,15.9996,0.5294,11.49
150,0.0980,16.0047,0.5372,11.71
160,0.0980,16.0047,0.5372,11.71
170,0.0927,16.2451,0.5404,12.01
180,0.0730,17.2868,0.5865,13.54
190,0.0677,17.6094,0.5914,13.82
200,0.0825,16.7529,0.5827,14.50
210,0.0563,18.4110,0.6141,17.02
220,0.0509,18.8475,0.6230,17.91
230,0.0506,18.8746,0.6286,18.75
240,0.0500,18.9318,0.6324,19.32
250,0.0485,19.0639,0.6424,20.11
260,0.0439,19.4922,0.6714,21.20
270,0.0437,19.5130,0.6761,21.25
280,0.0437,19.5154,0.6762,21.41
290,0.0438,19.5047,0.6796,22.11
300,0.0460,19.2948,0.6748,22.91
310,0.0433,19.5523,0.7008,24.69
320,0.0435,19.5350,0.6995,24.58
330,0.0447,19.4148,0.6904,25.01
340,0.0454,19.3486,0.6893,24.92
350,0.0481,19.0924,0.6746,24.00
360,0.0482,19.0883,0.6752,24.80
370,0.0488,19.0364,0.6702,24.11
380,0.0482,19.0915,0.6742,24.34
390,0.0484,19.0675,0.6728,24.71
400,0.0490,19.0162,0.6717,24.40
410,0.0490,19.0135,0.6666,23.32
420,0.0574,18.3285,0.6565,23.30
430,0.0502,18.9141,0.6652,24.58
440,0.0506,18.8766,0.6549,24.18
450,0.0478,19.1241,0.6610,25.26
460,0.0483,19.0823,0.6600,25.36
470,0.0490,19.0148,0.6586,24.80
480,0.0490,19.0146,0.6586,24.55
490,0.0490,19.0117,0.6553,24.49
500,0.3376,10.6683,0.2343,25.04
510,0.3374,10.6710,0.2365,24.80
520,0.3374,10.6712,0.2368,24.79
530,0.3375,10.6693,0.2371,23.44
540,0.3379,10.6639,0.2369,23.05
550,0.3393,10.6470,0.2313,21.68
560,0.3384,10.6575,0.2344,21.25
570,0.3362,10.6858,0.2396,20.15
580,0.3309,10.7553,0.2422,19.77
590,0.3209,10.8891,0.2502,19.82
600,0.2991,11.1943,0.2572,18.07
610,0.2845,11.4115,0.2714,16.67
620,0.2929,11.2855,0.2809,16.33
630,0.2867,11.3781,0.2879,15.36
640,0.2828,11.4380,0.2880,15.09
650,0.2798,11.4838,0.2873,14.97
660,0.2802,11.4768,0.2874,14.86
670,0.2802,11.4774,0.2893,15.08
680,0.2803,11.4758,0.2888,14.96
690,0.2803,11.4767,0.2890,15.02
700,0.2802,11.4779,0.2900,15.06
710,0.2802,11.4779,0.2900,15.05
720,0.2802,11.4779,0.2900,15.05
730,0.2802,11.4780,0.2904,15.10
740,0.2802,11.4781,0.2905,15.10
750,0.2802,11.4781,0.2907,15.11
760,0.2806,11.4711,0.2890,15.05
770,0.2808,11.4678,0.2866,14.72
780,0.2812,11.4625,0.2860,14.69
790,0.2844,11.4136,0.2853,14.52
800,0.2866,11.3799,0.2816,14.09
810,0.2891,11.3410,0.2795,13.83
820,0.2891,11.3410,0.2795,13.83
830,0.2855,11.3968,0.2796,13.67
840,0.2834,11.4288,0.2803,13.58
850,0.2930,11.2841,0.2812,12.87
860,0.2585,11.8270,0.2838,11.94
870,0.2473,12.0192,0.2876,12.01
880,0.2473,12.0194,0.2876,12.00
890,0.2473,12.0194,0.2876,12.00
900,0.2474,12.0190,0.2872,11.96
910,0.2474,12.0188,0.2868,11.76
920,0.2474,12.0188,0.2868,11.76
930,0.2474,12.0188,0.2868,11.76
940,0.2474,12.0189,0.2864,12.12
950,0.2473,12.0205,0.2874,12.37
960,0.2471,12.0233,0.2881,12.45
970,0.2475,12.0167,0.2889,12.18
980,0.2472,12.0209,0.2920,12.41
990,0.2495,11.9819,0.2930,12.29
