Step,MSE,PSNR,SSIM,Percentage Explored
0,0.0784,16.9428,0.4629,0.81
10,0.0698,17.4446,0.5134,3.56
20,0.0700,17.4332,0.5116,4.05
30,0.0676,17.5815,0.5290,5.71
40,0.0675,17.5882,0.5377,7.31
50,0.0662,17.6744,0.5367,8.47
60,0.0668,17.6370,0.5351,9.45
70,0.0661,17.6821,0.5375,9.66
80,0.0718,17.3231,0.5181,8.91
90,0.0688,17.5096,0.5257,8.57
100,0.0642,17.8113,0.5516,8.94
110,0.0660,17.6847,0.5405,8.27
120,0.0639,17.8317,0.5559,8.71
130,0.0646,17.7779,0.5553,8.95
140,0.0651,17.7504,0.5557,9.52
150,0.0640,17.8190,0.5534,10.27
160,0.0608,18.0411,0.5497,9.68
170,0.0623,17.9391,0.5435,8.97
180,0.0713,17.3494,0.5019,7.82
190,0.0704,17.4096,0.5108,7.83
200,0.0710,17.3710,0.5089,7.37
210,0.0709,17.3786,0.5098,7.45
220,0.0699,17.4410,0.5085,6.55
230,0.0703,17.4142,0.5024,6.36
240,0.0703,17.4116,0.5023,6.48
250,0.0713,17.3528,0.5020,6.70
260,0.0711,17.3626,0.5020,6.41
270,0.0706,17.3950,0.4988,4.92
280,0.0697,17.4524,0.4997,4.90
290,0.0700,17.4314,0.4968,4.25
300,0.0701,17.4286,0.4932,3.83
310,0.0705,17.4045,0.4921,3.81
320,0.0707,17.3913,0.4927,3.89
330,0.0706,17.3966,0.5057,5.68
340,0.0729,17.2577,0.5035,7.60
350,0.0742,17.1803,0.5076,9.26
360,0.0714,17.3457,0.5186,9.70
370,0.0725,17.2769,0.5091,10.16
380,0.0781,16.9574,0.5126,10.33
390,0.0689,17.5039,0.5464,11.52
400,0.0734,17.2247,0.5378,10.33
410,0.0768,17.0319,0.5283,9.62
420,0.0740,17.1937,0.5273,10.37
430,0.0834,16.6710,0.5035,10.65
440,0.0853,16.5725,0.4962,10.21
450,0.0841,16.6350,0.4965,9.93
460,0.0811,16.7908,0.5050,9.46
470,0.0790,16.9081,0.5153,8.78
480,0.0828,16.7025,0.5088,8.95
490,0.0840,16.6430,0.5021,8.76
500,0.0740,17.2271,0.4592,7.50
510,0.0721,17.3406,0.4720,7.36
520,0.0713,17.3876,0.4804,7.38
530,0.0655,17.7567,0.5151,7.35
540,0.0552,18.5000,0.5698,9.00
550,0.0529,18.6813,0.5897,9.37
560,0.0544,18.5608,0.5941,8.29
570,0.0565,18.3981,0.5962,8.83
580,0.0505,18.8816,0.6171,10.30
590,0.0521,18.7455,0.6246,10.76
600,0.0541,18.5868,0.6055,10.78
610,0.0559,18.4437,0.5918,9.76
620,0.0571,18.3550,0.5784,9.14
630,0.0581,18.2732,0.5654,9.63
640,0.0592,18.1954,0.5569,9.28
650,0.0603,18.1129,0.5465,8.24
660,0.0623,17.9711,0.5281,6.82
670,0.0636,17.8839,0.5192,6.15
680,0.0645,17.8206,0.5228,6.93
690,0.0602,18.1197,0.5479,7.51
700,0.0603,18.1168,0.5495,8.46
710,0.0618,18.0047,0.5357,7.80
720,0.0614,18.0385,0.5460,8.17
730,0.0623,17.9708,0.5329,7.22
740,0.0641,17.8479,0.5461,8.54
750,0.0589,18.2197,0.5789,10.50
760,0.0561,18.4301,0.5992,9.57
770,0.0561,18.4272,0.5992,9.53
780,0.0564,18.4025,0.5875,9.69
790,0.0575,18.3244,0.5798,8.28
800,0.0565,18.3946,0.5797,8.35
810,0.0585,18.2497,0.5774,8.11
820,0.0588,18.2277,0.5698,8.50
830,0.0577,18.3087,0.5882,9.81
840,0.0574,18.3314,0.5861,9.99
850,0.0575,18.3229,0.5926,10.65
860,0.0521,18.7504,0.6176,11.57
870,0.0556,18.4690,0.5949,11.46
880,0.0563,18.4155,0.5936,11.21
890,0.0599,18.1407,0.5739,10.54
900,0.0593,18.1877,0.5737,9.77
910,0.0598,18.1472,0.5502,8.61
920,0.0607,18.0871,0.5433,9.00
930,0.0652,17.7745,0.5230,7.77
940,0.0652,17.7723,0.5189,7.26
950,0.0658,17.7383,0.5140,6.52
960,0.0624,17.9682,0.5252,6.74
970,0.0617,18.0164,0.5327,7.96
980,0.0613,18.0455,0.5394,9.01
990,0.0613,18.0452,0.5400,9.06
