Epoch,Batch,MSE,PSNR,SSIM
7,19,0.0369,22.5928,0.8855
7,20,0.1963,18.8486,0.8891
7,21,0.1265,17.5040,0.8389
7,22,0.1322,18.4735,0.8640
7,23,0.0895,22.0823,0.9560
7,24,0.1343,17.4681,0.7315
7,25,0.0456,22.1158,0.8506
8,1,0.1106,19.6760,0.8793
8,2,0.2010,16.0832,0.7115
8,3,0.0892,19.1583,0.9157
8,4,0.0671,21.2051,0.9321
8,5,0.0827,21.9724,0.8555
8,6,0.0930,24.1932,0.9253
8,7,0.1608,17.7176,0.8566
8,8,0.1089,20.2708,0.8368
8,9,0.0898,20.4288,0.8467
8,10,0.0994,18.4303,0.8917
8,11,0.1223,19.0978,0.8182
8,12,0.0457,22.3252,0.8842
8,13,0.0571,21.5969,0.9019
8,14,0.0640,20.3581,0.8659
8,15,0.0476,23.6122,0.8806
8,16,0.0704,20.8223,0.8652
8,17,0.0917,19.8512,0.7829
8,18,0.0370,23.2771,0.9098
8,19,0.0659,21.4638,0.8747
8,20,0.0731,21.3395,0.8534
8,21,0.0689,22.0943,0.8814
8,22,0.0294,24.7820,0.9396
8,23,0.1215,21.5490,0.8978
8,24,0.0889,20.9535,0.8480
8,25,0.1653,16.0415,0.8537
9,1,0.1110,21.9731,0.8280
9,2,0.1360,18.5600,0.8615
9,3,0.1206,17.6518,0.8207
9,4,0.0405,22.3299,0.9127
9,5,0.0449,22.4536,nan
9,6,0.0669,23.2577,0.9198
9,7,0.1038,19.1135,0.7852
9,8,0.1183,21.5898,0.8449
9,9,0.0345,23.0363,0.9387
9,10,0.1114,19.2580,0.8418
9,11,0.1075,19.3028,0.7722
9,12,0.1072,21.4242,0.8198
9,13,0.0680,22.5155,0.9231
9,14,0.0641,22.9371,0.9702
9,15,0.1805,20.8354,0.7626
9,16,0.1412,18.7771,0.8815
9,17,0.1100,21.4599,0.8334
9,18,0.0241,25.3669,0.9160
9,19,0.1160,19.4665,0.7831
9,20,0.1101,18.5017,0.7897
9,21,0.1458,17.3556,0.8801
9,22,0.1404,18.3253,0.8339
9,23,0.1134,16.9801,0.7431
9,24,0.0615,21.3761,0.9248
9,25,0.2357,16.0514,0.8431
10,1,0.1216,17.9376,0.8658
10,2,0.0698,20.2584,0.9000
10,3,0.0646,23.4994,0.9509
10,4,0.0935,22.6941,0.8657
10,5,0.0711,25.0207,0.9705
10,6,0.1292,21.2906,0.8348
10,7,0.1096,19.4506,0.8682
10,8,0.0869,20.4961,0.8514
10,9,0.0360,23.3701,0.9251
10,10,0.0578,25.7200,0.9088
10,11,0.1177,19.3570,0.8585
10,12,0.0319,23.7556,0.9256
10,13,0.1405,19.0484,0.8427
10,14,0.1344,20.4802,0.8677
10,15,0.0857,20.5644,0.8662
10,16,0.1760,17.0462,0.7642
10,17,0.1251,19.7590,0.8673
10,18,0.1075,19.0199,0.8175
10,19,0.2240,14.5005,0.7432
10,20,0.0576,21.2421,0.9124
10,21,0.1193,19.6292,0.8679
10,22,0.1391,18.4999,0.8282
10,23,0.0923,22.1231,0.8751
10,24,0.0766,20.1835,0.8258
10,25,0.2065,16.3619,0.8244
11,1,0.0844,20.9047,0.8374
11,2,0.0821,22.1122,0.8997
11,3,0.0976,23.2525,0.8874
11,4,0.0848,21.0492,0.9354
11,5,0.1286,19.2386,0.8751
11,6,0.0920,22.0092,0.8788
11,7,0.1264,20.4321,nan
11,8,0.0880,20.4515,0.9157
11,9,0.0898,20.4611,0.8563
11,10,0.0356,24.6741,0.9221
11,11,0.0968,20.9051,0.8233
11,12,0.0849,21.7493,0.9080
11,13,0.0985,20.2656,0.8541
11,14,0.0918,21.2520,0.8490
11,15,0.0366,23.5545,0.9261
11,16,0.1044,17.8991,0.7939
11,17,0.1545,18.4225,0.7613
11,18,0.1131,24.1506,0.9803
11,19,0.0734,22.7155,0.8579
11,20,0.0772,21.0096,0.7929
11,21,0.1537,19.0105,0.7984
11,22,0.0861,20.7753,0.8048
11,23,0.0503,22.8874,0.9426
11,24,0.0856,20.6853,0.8650
11,25,0.0988,20.8609,0.8070
12,1,0.0378,23.7787,0.9062
12,2,0.0763,25.7858,0.8141
12,3,0.0834,19.7934,0.8972
12,4,0.0959,20.2239,0.8455
12,5,0.0601,23.0963,0.8546
12,6,0.0862,20.9005,0.8450
12,7,0.0329,23.6720,0.9201
12,8,0.1195,22.2776,0.8919
12,9,0.0304,25.0452,0.9411
12,10,0.0584,22.9529,0.8974
12,11,0.0881,20.6900,0.8405
12,12,0.0871,21.7342,0.8393
12,13,0.0579,22.5385,0.8441
12,14,0.1142,21.4973,0.8635
12,15,0.0919,22.9012,0.8937
12,16,0.1078,21.8471,0.8344
12,17,0.0737,21.9239,0.9417
12,18,0.0755,19.6006,0.9048
12,19,0.0968,21.4568,0.9000
12,20,0.1034,21.7331,0.9196
12,21,0.0504,23.9223,0.9391
12,22,0.0717,21.1242,0.8955
12,23,0.0898,22.4653,0.8582
12,24,0.0639,23.3959,0.8289
12,25,0.0685,19.7654,0.8228
13,1,0.1062,20.8010,0.9698
13,2,0.0734,23.5562,0.8404
13,3,0.0735,23.3623,0.9070
13,4,0.1451,23.1577,0.8505
13,5,0.0945,22.1852,0.9196
13,6,0.0740,21.0854,nan
13,7,0.0680,23.1792,0.9215
13,8,0.0895,20.0350,0.8630
13,9,0.0527,24.5044,0.9351
13,10,0.1123,21.2214,0.8492
13,11,0.1525,18.5787,0.8119
13,12,0.0555,21.4809,0.8500
13,13,0.1058,20.7628,0.8214
13,14,0.0590,22.8827,0.8860
13,15,0.0913,21.1083,0.8698
13,16,0.0710,23.0196,0.9184
13,17,0.0991,23.4202,0.8523
13,18,0.0603,22.5008,0.9161
13,19,0.0598,23.6470,0.9165
13,20,0.0837,22.5845,0.8296
13,21,0.1051,20.3750,0.8924
13,22,0.0339,25.3469,0.8969
13,23,0.0336,24.7973,0.9471
13,24,0.0553,24.6390,0.9072
13,25,0.0723,22.7942,0.8452
14,1,0.0594,21.8818,0.8092
14,2,0.0508,23.6597,0.9418
14,3,0.0416,23.2238,0.8626
14,4,0.0902,21.4855,0.8980
14,5,0.0821,19.8348,0.7840
14,6,0.1024,20.6967,0.9210
14,7,0.0831,22.0103,0.9251
