Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
1,1,1.50904,2.18185,0.11224,0.0993,16.0184,0.7893
1,2,1.99218,1.86523,0.10559,0.0896,16.4387,0.7895
1,3,1.37098,1.87958,0.09816,0.0796,16.9927,0.7938
1,4,1.46349,1.73193,0.09158,0.0711,17.4982,0.7931
1,5,1.34960,1.68637,0.08297,0.0622,18.1573,0.7934
1,6,1.33405,1.56992,0.07373,0.0504,19.1008,0.7986
1,7,1.26476,1.57755,0.07027,0.0450,19.5525,0.7951
1,8,1.29409,1.51190,0.06865,0.0435,19.7710,0.7989
1,9,1.28454,1.47725,0.06298,0.0396,20.4169,0.8056
1,10,1.28706,1.47211,0.06225,0.0350,20.8807,0.7935
1,11,1.31013,1.45921,0.06545,0.0397,20.5188,0.7915
1,12,1.32712,1.39995,0.05976,0.0341,20.9589,0.8037
1,13,1.31006,1.35983,0.05552,0.0291,21.9283,0.8023
1,14,1.37178,1.40541,0.05795,0.0369,21.3457,0.8166
1,15,1.31739,1.27576,0.04991,0.0265,22.7490,0.8158
1,16,1.31357,1.22249,0.04300,0.0184,23.8335,0.8270
1,17,1.39944,1.36208,0.05926,0.0412,21.2997,0.8220
1,18,1.39060,1.25674,0.04867,0.0286,22.9883,0.8342
1,19,1.39900,1.25085,0.05322,0.0326,21.3257,0.8278
1,20,1.37301,1.07257,0.03631,0.0186,24.3555,0.8539
1,21,1.40705,1.26090,0.05238,0.0392,21.7428,0.8465
1,22,1.37787,1.12699,0.04060,0.0227,23.7814,0.8615
1,23,1.36562,1.06273,0.03365,0.0163,25.7849,0.8632
1,24,1.36584,1.21247,0.04854,0.0316,22.7165,0.8521
1,25,1.36620,1.15667,0.04305,0.0264,24.0848,0.8588
1,26,1.35708,1.06248,0.03510,0.0189,25.8034,0.8704
1,27,1.36453,1.18416,0.04651,0.0316,22.3348,0.8582
1,28,1.37525,1.05651,0.03087,0.0163,24.9413,0.8775
1,29,1.40790,1.12209,0.03258,0.0170,26.1976,0.8718
1,30,1.44376,1.10568,0.03760,0.0224,25.9740,0.8719
1,31,1.39142,1.10263,0.03883,0.0255,24.3455,0.8735
1,32,1.40780,1.07714,0.03710,0.0239,24.0510,0.8728
1,33,1.38459,1.03030,0.03347,0.0166,24.9668,0.8787
1,34,1.39005,1.21049,0.05133,0.0398,22.7970,0.8620
1,35,1.33244,1.23179,0.04315,0.0208,23.2976,0.8552
1,36,1.36973,1.32846,0.05760,0.0437,21.4370,0.8450
1,37,1.39538,1.21810,0.04873,0.0374,22.9889,0.8661
1,38,1.38285,1.28992,0.05110,0.0408,21.8754,0.8669
1,39,1.37226,1.07890,0.03280,0.0221,26.2072,0.8937
1,40,1.36139,1.00409,0.03113,0.0183,26.1788,0.8915
1,41,1.37223,1.10079,0.04139,0.0303,24.7138,0.8789
1,42,1.35657,1.09199,0.03678,0.0247,25.2362,0.8839
1,43,1.38871,1.01840,0.02908,0.0181,26.1549,0.8863
1,44,1.38621,1.08334,0.03294,0.0177,25.1865,0.8884
1,45,1.36512,1.07059,0.03524,0.0219,24.2054,0.8751
1,46,1.34909,1.09594,0.03756,0.0247,24.1096,0.8806
1,47,1.34912,1.03148,0.03250,0.0210,26.7644,0.8859
