Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1195,15.1449,0.4066,0.81
10,0.1051,15.7002,0.4523,3.86
20,0.1082,15.5769,0.4584,5.25
30,0.0963,16.0819,0.5046,5.85
40,0.0930,16.2326,0.5113,6.79
50,0.0933,16.2211,0.5344,8.38
60,0.0877,16.4872,0.5401,9.03
70,0.0851,16.6188,0.5531,10.65
80,0.0802,16.8741,0.5823,12.02
90,0.0791,16.9340,0.5951,12.32
100,0.0792,16.9316,0.5948,12.39
110,0.0810,16.8328,0.5995,12.58
120,0.0811,16.8285,0.6158,13.47
130,0.0808,16.8447,0.6182,13.63
140,0.0812,16.8228,0.6164,13.43
150,0.0819,16.7844,0.6091,13.16
160,0.0804,16.8658,0.6196,13.81
170,0.0775,17.0269,0.6245,14.39
180,0.0775,17.0271,0.6259,14.42
190,0.0758,17.1188,0.6332,15.83
200,0.0758,17.1219,0.6351,16.39
210,0.0777,17.0108,0.6254,16.28
220,0.0774,17.0302,0.6295,16.89
230,0.0777,17.0156,0.6259,16.60
240,0.0775,17.0276,0.6157,16.04
250,0.0774,17.0287,0.6086,15.36
260,0.0778,17.0095,0.6038,14.99
270,0.0777,17.0132,0.6044,14.85
280,0.0749,17.1716,0.6177,15.88
290,0.0738,17.2389,0.6284,17.12
300,0.0729,17.2897,0.6351,18.01
310,0.0728,17.2951,0.6377,18.06
320,0.0733,17.2690,0.6269,18.26
330,0.0724,17.3186,0.6374,17.15
340,0.0777,17.0151,0.6174,16.63
350,0.0802,16.8748,0.6004,15.18
360,0.0830,16.7271,0.5917,14.86
370,0.0906,16.3473,0.5924,14.09
380,0.0966,16.0662,0.5695,12.45
390,0.0963,16.0824,0.5767,12.52
400,0.0960,16.0933,0.5805,14.11
410,0.0962,16.0854,0.5788,14.06
420,0.0962,16.0874,0.5795,14.38
430,0.0962,16.0859,0.5801,14.98
440,0.0962,16.0850,0.5793,14.86
450,0.0976,16.0245,0.5691,13.71
460,0.1001,15.9121,0.5573,12.89
470,0.1002,15.9109,0.5566,12.85
480,0.1003,15.9046,0.5496,12.35
490,0.1084,15.5660,0.5108,11.42
500,0.3299,10.7689,0.2156,12.20
510,0.3147,10.9726,0.2296,12.65
520,0.3134,10.9915,0.2328,12.67
530,0.3032,11.1345,0.2458,12.60
540,0.3018,11.1550,0.2529,12.39
550,0.2964,11.2334,0.2672,13.68
560,0.2914,11.3079,0.2752,13.79
570,0.2864,11.3822,0.2802,13.43
580,0.2529,11.9235,0.2918,14.54
590,0.2389,12.1703,0.3064,16.38
600,0.2356,12.2305,0.3243,17.52
610,0.2357,12.2286,0.3244,17.62
620,0.2330,12.2783,0.3373,17.80
630,0.2195,12.5382,0.3423,18.44
640,0.2073,12.7865,0.3570,19.43
650,0.2089,12.7531,0.3574,19.47
660,0.2097,12.7355,0.3548,19.14
670,0.2122,12.6850,0.3452,17.11
680,0.2034,12.8697,0.3471,17.47
690,0.2060,12.8136,0.3406,16.76
700,0.2044,12.8464,0.3382,16.37
710,0.1917,13.1252,0.3539,17.32
720,0.1928,13.1022,0.3533,16.58
730,0.1940,13.0734,0.3502,16.27
740,0.1853,13.2746,0.3749,17.34
750,0.1846,13.2896,0.3804,18.12
760,0.1879,13.2131,0.3729,17.39
770,0.1906,13.1506,0.3680,16.30
780,0.1914,13.1320,0.3645,16.90
790,0.1916,13.1280,0.3600,16.00
800,0.1955,13.0417,0.3481,15.16
810,0.1955,13.0399,0.3473,15.06
820,0.1982,12.9801,0.3393,14.55
830,0.1986,12.9732,0.3350,13.94
840,0.2015,12.9098,0.3240,12.67
850,0.2057,12.8202,0.3162,11.39
860,0.2056,12.8210,0.3166,11.52
870,0.2064,12.8050,0.3154,11.43
880,0.2042,12.8517,0.3172,11.49
890,0.2096,12.7390,0.3138,10.74
900,0.2194,12.5397,0.3093,10.52
910,0.2187,12.5543,0.3107,10.87
920,0.2164,12.5992,0.3148,11.46
930,0.2156,12.6149,0.3162,11.59
940,0.2070,12.7935,0.3344,13.40
950,0.2076,12.7790,0.3369,13.60
960,0.1956,13.0392,0.3508,15.00
970,0.2009,12.9231,0.3580,15.86
980,0.1951,13.0499,0.3636,16.32
990,0.1941,13.0714,0.3572,15.53
