Epoch,Batch,MSE,PSNR,SSIM
1,1,0.8391,6.5324,0.6228
1,2,0.8712,6.3325,0.4249
1,3,0.7178,7.2172,0.5114
1,4,0.7466,7.0134,nan
1,5,0.6415,7.7264,0.6407
1,6,0.6068,7.9721,0.7009
1,7,0.4949,8.8372,0.6801
1,8,0.4335,9.4439,0.6105
1,9,0.4218,9.8345,0.6082
1,10,0.4714,9.6685,0.7814
1,11,0.4412,10.4117,0.8193
1,12,0.3505,10.9174,0.6194
1,13,0.3735,11.2532,0.6756
1,14,0.4188,11.4967,0.6829
1,15,0.4182,10.1760,0.7385
1,16,0.3265,12.6780,nan
1,17,0.2856,12.6791,0.7685
1,18,0.3595,11.5085,0.8491
1,19,0.3982,12.2121,0.8019
1,20,0.2898,12.5267,0.6734
1,21,0.3883,12.7111,0.7005
1,22,0.2405,13.5124,0.7922
1,23,0.4252,11.5087,0.7711
1,24,0.3450,12.4362,0.7579
1,25,0.2882,12.2860,0.7409
2,1,0.3641,12.1921,0.7977
2,2,0.3210,12.1204,0.7945
2,3,0.1647,15.1607,0.8185
2,4,0.4252,11.8926,0.7379
2,5,0.2591,14.0539,0.8048
2,6,0.3631,12.8754,0.7695
2,7,0.2551,15.4170,0.8007
2,8,0.3027,14.3664,0.8273
2,9,0.1984,14.4648,0.7160
2,10,0.3284,12.9140,0.8138
2,11,0.2730,14.3052,nan
2,12,0.3589,12.4147,0.7489
2,13,0.2374,14.6421,0.7825
2,14,0.3241,10.8565,0.6453
2,15,0.3711,13.3265,0.7651
2,16,0.3507,14.6893,0.8465
2,17,0.4665,11.1606,0.8439
2,18,0.2291,15.0020,0.8863
2,19,0.1716,15.6474,0.8031
2,20,0.1896,15.2094,0.8033
2,21,0.2444,14.3569,0.8115
2,22,0.1602,14.4272,0.8267
2,23,0.2860,14.6538,0.7900
2,24,0.2836,13.4323,0.7810
2,25,0.1595,15.9686,0.8392
3,1,0.2075,15.0554,0.8213
3,2,0.2382,14.8161,0.7738
3,3,0.1422,15.0452,0.8157
3,4,0.2198,15.1648,0.7589
3,5,0.1638,15.3613,0.8512
3,6,0.1387,15.9569,0.9064
3,7,0.2283,15.0209,0.6893
3,8,0.2760,12.6296,0.6907
3,9,0.4179,14.0625,0.7661
3,10,0.2136,16.6261,0.8479
3,11,0.1791,15.8568,0.7972
3,12,0.1399,17.3484,0.8388
3,13,0.1449,16.4516,0.8413
3,14,0.1726,16.8369,0.7562
3,15,0.1186,18.6533,0.8720
3,16,0.0547,20.2304,0.9190
3,17,0.2671,15.4608,0.7068
3,18,0.3053,15.4800,0.8080
3,19,0.1949,14.5831,0.7605
3,20,0.1545,17.5828,0.8359
3,21,0.1439,16.7109,0.8221
3,22,0.0984,18.0433,0.8175
3,23,0.0660,20.3762,0.8800
3,24,0.2032,16.0666,0.8626
3,25,0.0925,20.4201,0.8406
4,1,0.2273,15.3122,0.7862
4,2,0.1602,17.0019,0.9131
4,3,0.1063,18.1039,nan
4,4,0.1666,20.2571,0.8224
4,5,0.1503,18.4714,0.8296
4,6,0.2451,16.2062,0.8479
4,7,0.1669,16.6708,0.7618
4,8,0.1209,18.1129,0.7594
4,9,0.1558,16.3788,nan
4,10,0.2100,14.7076,0.7048
4,11,0.1140,17.9092,0.9258
4,12,0.1161,17.0807,0.8708
4,13,0.2763,15.4552,0.7990
4,14,0.3508,14.4304,0.7155
4,15,0.1935,14.8753,0.6728
4,16,0.1167,17.0662,0.8827
4,17,0.1229,19.8412,0.8946
4,18,0.1348,16.8564,0.8545
4,19,0.1426,18.0209,0.7846
4,20,0.1177,17.9286,0.8766
4,21,0.1589,17.3261,0.8541
4,22,0.0833,19.3227,0.8635
4,23,0.0479,22.5411,0.9366
4,24,0.2135,15.2411,0.7084
4,25,0.2051,15.2491,0.7958
5,1,0.0768,20.5462,0.8470
5,2,0.1586,16.7774,0.8936
5,3,0.1092,18.1008,0.8650
5,4,0.1461,18.1242,0.9466
5,5,0.1390,17.3465,0.7210
5,6,0.1351,16.7684,0.8151
5,7,0.1800,15.1342,0.7614
5,8,0.2034,16.0056,0.8464
5,9,0.2719,14.6268,0.7437
5,10,0.3271,14.7820,0.8179
5,11,0.1122,18.5557,0.8599
5,12,0.2095,14.3387,0.6656
5,13,0.1521,17.2169,0.8371
5,14,0.1696,17.1568,0.8613
5,15,0.1567,17.9912,0.8857
5,16,0.1016,19.7253,0.8601
5,17,0.1254,18.1084,0.8233
5,18,0.0885,18.5831,nan
5,19,0.1070,18.9563,0.8128
5,20,0.2468,14.7400,0.7909
5,21,0.0945,19.9671,0.8353
5,22,0.1344,17.8013,0.8871
5,23,0.1015,17.9448,0.9005
5,24,0.0749,20.7686,0.8969
5,25,0.1811,17.4306,0.8347
6,1,0.1197,20.4968,0.8334
6,2,0.1653,18.2366,0.8546
6,3,0.0386,21.3123,nan
6,4,0.1281,19.0250,0.8842
6,5,0.1421,18.4494,0.8912
6,6,0.1097,18.8911,0.8585
6,7,0.1085,17.6689,0.8833
6,8,0.0396,22.6332,0.9065
6,9,0.1083,22.5779,0.8879
6,10,0.1435,18.3851,0.9019
6,11,0.1056,18.9165,0.8593
6,12,0.1355,19.7746,0.9141
6,13,0.0598,21.0451,0.9421
6,14,0.0944,21.0779,0.8542
6,15,0.0792,19.7498,0.8161
6,16,0.1385,18.1472,0.8449
6,17,0.1176,19.5641,nan
6,18,0.1111,18.2293,0.8594
6,19,0.1273,18.7291,0.8853
6,20,0.0547,22.5101,0.9328
6,21,0.1894,19.3506,0.8466
6,22,0.1660,19.9637,0.8654
6,23,0.1104,20.4595,nan
6,24,0.1378,16.2362,0.7845
6,25,0.1844,16.8979,0.8691
7,1,0.1295,18.6343,0.8647
7,2,0.1018,19.4348,0.8603
7,3,0.0732,19.8752,0.9122
7,4,0.0921,20.2473,0.7815
7,5,0.1152,19.6355,0.9170
7,6,0.1014,19.1750,0.8908
7,7,0.1432,19.6168,0.8711
7,8,0.0856,19.7856,nan
7,9,0.1677,17.6204,nan
