Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1690,13.6378,0.2772,0.81
10,0.1601,13.8726,0.2855,2.25
20,0.1615,13.8369,0.2806,2.90
30,0.1606,13.8603,0.2919,4.26
40,0.1584,13.9211,0.3085,6.41
50,0.1586,13.9145,0.3109,6.77
60,0.1586,13.9135,0.3146,7.03
70,0.1591,13.9016,0.3237,7.85
80,0.1576,13.9421,0.3361,9.54
90,0.1568,13.9657,0.3386,9.67
100,0.1568,13.9657,0.3386,9.67
110,0.1568,13.9657,0.3386,9.67
120,0.1568,13.9657,0.3386,9.67
130,0.1542,14.0356,0.3429,10.71
140,0.1510,14.1277,0.3550,11.95
150,0.1476,14.2259,0.3589,12.53
160,0.1478,14.2212,0.3596,12.73
170,0.1478,14.2212,0.3596,12.73
180,0.1508,14.1347,0.3612,12.92
190,0.1416,14.4077,0.3709,13.70
200,0.1416,14.4077,0.3709,13.70
210,0.1411,14.4225,0.3715,13.74
220,0.1418,14.4015,0.3734,14.06
230,0.1418,14.4015,0.3734,14.06
240,0.1418,14.4015,0.3734,14.06
250,0.1418,14.4015,0.3734,14.06
260,0.1418,14.4015,0.3734,14.06
270,0.1435,14.3500,0.3728,14.13
280,0.1429,14.3663,0.3761,14.29
290,0.1423,14.3847,0.3780,14.62
300,0.1236,14.9967,0.4086,15.69
310,0.1249,14.9516,0.4087,15.98
320,0.1231,15.0155,0.4105,16.28
330,0.1196,15.1395,0.4126,16.44
340,0.1196,15.1395,0.4126,16.44
350,0.1194,15.1466,0.4124,16.50
360,0.1168,15.2427,0.4254,16.73
370,0.1148,15.3200,0.4369,17.35
380,0.1126,15.4008,0.4418,17.71
390,0.1127,15.3970,0.4469,19.01
400,0.1126,15.4035,0.4484,19.69
410,0.1115,15.4467,0.4523,20.06
420,0.1108,15.4724,0.4546,20.16
430,0.1101,15.4983,0.4586,20.78
440,0.1098,15.5112,0.4592,20.91
450,0.1090,15.5416,0.4601,21.55
460,0.1088,15.5509,0.4613,22.16
470,0.1083,15.5725,0.4641,22.47
480,0.1046,15.7239,0.4779,23.22
490,0.1037,15.7582,0.4807,23.26
500,0.1037,15.7582,0.4807,23.26
510,0.1037,15.7612,0.4808,23.48
520,0.0994,15.9442,0.5103,25.40
530,0.0994,15.9443,0.5128,26.73
540,0.0994,15.9460,0.5125,26.99
550,0.0993,15.9462,0.5130,27.57
560,0.0993,15.9467,0.5132,27.81
570,0.0993,15.9467,0.5132,27.81
580,0.0993,15.9467,0.5132,27.81
590,0.0986,15.9773,0.5175,28.23
600,0.0984,15.9859,0.5205,28.65
610,0.0985,15.9847,0.5209,29.17
620,0.0984,15.9870,0.5213,29.25
630,0.0984,15.9870,0.5213,29.25
640,0.0984,15.9870,0.5213,29.25
650,0.0984,15.9870,0.5213,29.25
660,0.0984,15.9870,0.5213,29.25
670,0.0984,15.9870,0.5213,29.25
680,0.0984,15.9870,0.5213,29.25
690,0.0984,15.9870,0.5213,29.25
700,0.0984,15.9870,0.5213,29.25
710,0.0990,15.9633,0.5210,29.34
720,0.0974,16.0304,0.5245,29.70
730,0.0974,16.0304,0.5245,29.70
740,0.0974,16.0304,0.5245,29.70
750,0.0967,16.0615,0.5265,29.93
760,0.0967,16.0615,0.5265,29.93
770,0.0967,16.0615,0.5265,29.93
780,0.0965,16.0708,0.5274,29.96
790,0.0962,16.0867,0.5294,30.71
800,0.0947,16.1531,0.5383,32.26
810,0.0955,16.1171,0.5340,32.75
820,0.0955,16.1171,0.5340,32.75
830,0.0955,16.1171,0.5340,32.75
840,0.0955,16.1171,0.5340,32.75
850,0.0955,16.1171,0.5340,32.75
860,0.0955,16.1171,0.5340,32.75
870,0.0955,16.1171,0.5340,32.75
880,0.0955,16.1171,0.5340,32.75
890,0.0952,16.1325,0.5360,32.81
900,0.0951,16.1340,0.5381,33.69
910,0.0951,16.1355,0.5382,33.71
920,0.0951,16.1372,0.5401,33.85
930,0.0951,16.1372,0.5401,33.85
940,0.0951,16.1372,0.5401,33.85
950,0.0949,16.1440,0.5406,33.88
960,0.0949,16.1440,0.5406,33.88
970,0.0949,16.1440,0.5406,33.88
980,0.0949,16.1440,0.5406,33.88
990,0.0950,16.1425,0.5443,34.27
