Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
1,1,1.54057,2.03610,0.11081,0.1042,15.8329,0.7965
1,2,1.73813,1.86379,0.10935,0.1002,15.9707,0.7914
1,3,1.39080,1.90853,0.10275,0.0889,16.4986,0.7977
1,4,1.39812,1.82171,0.09686,0.0828,16.7872,0.8016
1,5,1.31358,1.85024,0.09398,0.0770,17.1187,0.7919
1,6,1.29125,1.72394,0.08764,0.0675,17.6643,0.7893
1,7,1.24644,1.70310,0.07962,0.0567,18.4444,0.7929
1,8,1.25213,1.66106,0.07289,0.0478,19.1958,0.7941
1,9,1.27276,1.56746,0.06680,0.0412,20.0047,0.7982
1,10,1.36386,1.56070,0.06954,0.0452,19.9067,0.7990
1,11,1.29480,1.52260,0.06906,0.0429,20.0608,0.7931
1,12,1.30827,1.33840,0.05533,0.0290,21.7873,0.8049
1,13,1.33331,1.32865,0.05521,0.0289,21.8650,0.8007
1,14,1.31637,1.33909,0.05434,0.0301,21.7669,0.8077
1,15,1.31948,1.29061,0.05040,0.0289,22.2888,0.8177
1,16,1.32622,1.32410,0.05497,0.0337,21.6802,0.8205
1,17,1.35815,1.27458,0.04779,0.0273,22.4592,0.8306
1,18,1.34210,1.29395,0.04497,0.0239,23.3409,0.8328
1,19,1.46906,1.17088,0.04246,0.0268,24.5143,0.8469
1,20,1.49808,1.35144,0.06182,0.0436,20.5886,0.8274
1,21,1.38940,1.12552,0.04169,0.0272,23.6647,0.8586
1,22,1.37897,1.15132,0.04395,0.0268,23.3339,0.8530
1,23,1.38241,1.13131,0.04072,0.0261,24.0236,0.8631
1,24,1.35564,1.07004,0.03201,0.0167,26.7054,0.8745
1,25,1.38382,1.12530,0.03978,0.0229,24.1949,0.8591
1,26,1.37629,1.12499,0.03792,0.0209,24.4955,0.8646
1,27,1.40845,1.17924,0.04444,0.0312,23.6752,0.8562
1,28,1.38587,1.08907,0.03495,0.0201,25.6359,0.8687
1,29,1.38584,1.12453,0.04270,0.0299,22.2768,0.8693
1,30,1.37103,1.14864,0.04112,0.0265,23.3635,0.8611
1,31,1.37303,1.05405,0.03197,0.0178,25.4321,0.8740
1,32,1.41179,1.17341,0.04603,0.0335,23.1780,0.8596
1,33,1.38091,1.11856,0.04055,0.0275,24.1241,0.8750
1,34,1.39274,1.10007,0.03773,0.0225,24.4789,0.8729
1,35,1.39717,1.04513,0.03408,0.0207,25.3892,0.8840
1,36,1.41320,1.25251,0.05348,0.0440,21.8806,0.8579
1,37,1.37373,1.02996,0.03242,0.0194,25.7979,0.8812
1,38,1.36770,1.05997,0.03552,0.0244,25.3912,0.8847
1,39,1.36673,1.03823,0.03135,0.0199,26.2818,0.8908
1,40,1.35838,1.05911,0.03478,0.0221,25.3292,0.8746
1,41,1.35952,0.98596,0.02507,0.0115,27.0024,0.8882
1,42,1.36106,1.03345,0.03135,0.0174,25.4413,0.8872
1,43,1.36798,1.02647,0.03034,0.0180,25.4576,0.8803
1,44,1.38829,1.10077,0.03952,0.0268,23.7974,0.8679
1,45,1.36755,1.08084,0.03507,0.0214,25.7738,0.8796
1,46,1.38036,1.06550,0.03495,0.0220,25.5048,0.8749
1,47,1.37097,1.07054,0.03676,0.0263,24.9924,0.8768
1,48,1.37221,1.06266,0.03523,0.0243,25.7584,0.8876
1,49,1.36687,1.18430,0.04199,0.0303,24.5324,0.8748
1,50,1.39320,1.12424,0.03622,0.0199,23.5933,0.8690
1,51,1.37921,1.07120,0.03624,0.0236,25.3255,0.8852
1,52,1.37589,1.10487,0.04120,0.0296,23.0942,0.8657
1,53,1.36627,1.09573,0.03781,0.0259,23.6744,0.8751
1,54,1.38298,0.97208,0.02251,0.0102,27.1334,0.9005
1,55,1.33620,1.09427,0.03467,0.0233,24.6766,0.8807
1,56,1.37156,1.04496,0.03423,0.0214,24.9721,0.8817
1,57,1.36602,1.08719,0.03682,0.0260,25.1596,0.8780
1,58,1.35983,1.04238,0.02896,0.0146,25.6735,0.8908
1,59,1.33007,1.09331,0.03396,0.0219,25.2686,0.8793
1,60,1.34408,1.15201,0.04050,0.0289,23.1133,0.8692
1,61,1.34829,1.09222,0.03568,0.0234,24.0644,0.8826
1,62,1.36813,1.09759,0.03124,0.0192,26.0366,0.8904
1,63,1.40851,1.23563,0.04550,0.0332,22.0711,0.8736
1,64,1.49225,1.09951,0.03340,0.0172,24.6817,0.8855
1,65,1.42459,1.12494,0.04306,0.0296,23.3058,0.8728
1,66,1.39730,1.07927,0.03775,0.0267,23.2644,0.8875
1,67,1.37210,1.08431,0.03392,0.0233,24.8480,0.8907
1,68,1.37219,0.99289,0.02722,0.0138,26.0180,0.8878
1,69,1.35949,1.13306,0.04178,0.0308,23.0157,0.8824
1,70,1.38410,0.98656,0.02823,0.0149,25.2659,0.8963
1,71,1.38721,1.06793,0.03500,0.0200,24.0267,0.8779
1,72,1.38497,1.02170,0.03026,0.0174,24.6095,0.8851
1,73,1.36102,1.10929,0.03880,0.0247,23.2575,0.8790
1,74,1.35599,0.97058,0.02330,0.0104,27.7721,0.9000
1,75,1.39121,1.11633,0.04057,0.0275,24.1545,0.8706
1,76,1.41401,0.99255,0.02877,0.0160,25.0845,0.8935
1,77,1.41357,1.14366,0.03961,0.0235,23.6843,0.8715
1,78,1.33122,1.11281,0.03618,0.0259,25.3269,0.8883
1,79,1.33606,1.18444,0.04286,0.0305,22.7517,0.8533
1,80,1.30905,1.17871,0.04188,0.0323,22.9711,0.8732
1,81,1.27843,1.16238,0.03539,0.0231,24.8515,0.8710
1,82,1.28984,1.09120,0.03234,0.0219,25.9251,0.8883
1,83,1.30715,1.20450,0.04083,0.0285,23.7938,0.8631
1,84,1.29092,1.17162,0.03774,0.0265,24.6659,0.8713
1,85,1.30480,1.21913,0.03927,0.0289,24.3687,0.8796
1,86,1.34213,1.10536,0.03137,0.0214,26.0108,0.8906
1,87,1.30473,1.17692,0.03420,0.0234,24.7264,0.8784
1,88,1.42289,1.20383,0.04706,0.0370,23.4802,0.8706
1,89,1.40269,1.21892,0.04065,0.0305,24.1597,0.8698
1,90,1.32876,1.18070,0.03923,0.0283,23.7618,0.8749
1,91,1.24021,1.18493,0.03497,0.0252,24.9443,0.8778
1,92,1.33700,1.07534,0.03791,0.0273,24.1627,0.8855
1,93,1.31765,1.10721,0.03214,0.0213,24.1250,0.8818
1,94,1.37124,0.96707,0.02287,0.0127,28.4360,0.9037
1,95,1.29824,1.21648,0.03634,0.0278,25.4054,0.8944
1,96,1.25963,1.24899,0.04316,0.0300,23.0544,0.8680
1,97,1.21607,1.12365,0.02749,0.0158,26.1533,0.8907
1,98,1.30858,1.11222,0.03331,0.0190,25.0484,0.8834
1,99,1.26056,1.32570,0.04613,0.0341,23.1566,0.8716
1,100,1.29327,1.21156,0.03432,0.0205,25.1191,0.8763
1,101,1.33537,1.12951,0.03509,0.0205,24.6042,0.8705
1,102,1.29136,1.20716,0.03588,0.0242,24.9324,0.8764
1,103,1.24351,1.33750,0.03799,0.0253,23.6822,0.8623
1,104,1.37069,1.19799,0.03905,0.0217,23.2199,0.8627
1,105,1.43727,1.26811,0.03966,0.0264,23.9865,0.8763
1,106,1.54602,1.02441,0.03483,0.0202,24.4243,0.8785
1,107,1.43866,1.03734,0.03386,0.0203,24.9191,0.8802
1,108,1.31050,1.25570,0.04551,0.0323,23.0912,0.8630
1,109,1.40374,1.10081,0.02729,0.0126,26.1623,0.8932
1,110,1.38587,0.99617,0.03462,0.0200,24.8312,0.8822
1,111,1.36510,1.10202,0.04062,0.0268,23.8205,0.8713
1,112,1.31812,1.16231,0.02887,0.0153,25.5018,0.8856
1,113,1.31542,1.16091,0.03474,0.0222,25.4440,0.8810
1,114,1.42478,1.36537,0.06046,0.0440,20.0476,0.8492
1,115,1.26641,1.20551,0.03707,0.0233,24.2624,0.8779
1,116,1.25674,1.37727,0.03427,0.0204,25.4589,0.8688
1,117,1.12441,1.37385,0.04717,0.0366,23.2348,0.8564
1,118,1.15450,1.18729,0.02918,0.0162,25.6225,0.8729
1,119,1.37864,0.98605,0.02807,0.0117,26.1792,0.8771
1,120,1.37269,1.08209,0.03754,0.0248,23.7322,0.8661
1,121,1.38926,1.06601,0.03211,0.0189,25.1045,0.8766
1,122,1.36991,1.08284,0.03082,0.0167,25.5203,0.8783
1,123,1.31291,1.18617,0.02495,0.0118,27.0180,0.8838
1,124,1.35611,1.12289,0.03434,0.0191,24.4383,0.8772
1,125,1.36995,1.04719,0.02721,0.0133,26.5111,0.8909
1,126,1.21981,1.25484,0.03449,0.0199,25.2416,0.8742
1,127,1.36134,1.04214,0.02879,0.0157,25.7170,0.8951
1,128,1.26550,1.27149,0.03294,0.0191,24.8283,0.8731
1,129,1.18221,1.33323,0.04151,0.0283,23.3762,0.8590
1,130,1.25485,1.30040,0.04223,0.0230,23.3936,0.8627
1,131,1.32125,1.09518,0.03745,0.0249,24.8989,0.8817
1,132,1.27484,1.40776,0.03875,0.0250,23.9022,0.8678
1,133,1.26448,1.21396,0.03623,0.0271,24.3877,0.8805
1,134,1.37075,1.13678,0.03408,0.0196,24.5642,0.8752
1,135,1.32457,1.10837,0.03537,0.0232,24.2752,0.8769
1,136,1.29862,1.10608,0.03383,0.0207,25.0212,0.8779
1,137,1.34307,1.04267,0.03204,0.0189,24.5334,0.8743
1,138,1.26874,1.22498,0.03208,0.0199,24.7443,0.8790
1,139,1.32036,1.13407,0.03445,0.0225,25.5530,0.8806
1,140,1.29078,1.30103,0.04607,0.0357,23.1728,0.8657
1,141,1.33080,1.19986,0.03961,0.0219,23.4372,0.8645
1,142,1.35570,0.99998,0.02509,0.0131,27.2927,0.8891
1,143,1.35271,0.98472,0.02573,0.0134,26.4319,0.8897
1,144,1.34359,0.93491,0.02383,0.0099,26.8326,0.8978
1,145,1.20121,1.32528,0.04129,0.0308,23.4054,0.8817
1,146,1.16512,1.42895,0.03126,0.0180,24.2400,0.8749
1,147,1.08429,1.38404,0.03692,0.0212,24.4124,0.8634
1,148,1.08882,1.26764,0.03049,0.0149,26.0570,0.8796
1,149,1.21582,1.19643,0.03827,0.0203,24.8526,0.8681
1,150,1.25022,1.17888,0.03700,0.0174,24.5982,0.8740
1,151,1.26680,1.28038,0.04722,0.0295,22.7384,0.8593
1,152,1.31055,1.13216,0.03514,0.0222,24.7896,0.8788
2,1,1.37847,1.03868,0.03125,0.0182,24.9549,0.8813
2,2,1.22806,1.24476,0.02515,0.0126,27.0107,0.8884
2,3,1.10440,1.41742,0.03284,0.0196,25.5865,0.8773
2,4,1.02827,1.41462,0.03601,0.0225,24.7213,0.8751
2,5,1.13136,1.27830,0.03343,0.0202,24.6147,0.8795
2,6,1.24286,1.25750,0.03478,0.0206,25.8672,0.8834
2,7,1.28103,1.20752,0.03712,0.0205,24.8610,0.8786
2,8,1.27428,1.25137,0.03209,0.0180,25.5866,0.8863
2,9,1.27247,1.30618,0.02870,0.0163,25.3415,0.8898
2,10,1.22243,1.41508,0.03574,0.0243,26.2676,0.8804
2,11,1.34816,1.06994,0.03618,0.0220,24.6453,0.8799
2,12,1.32563,1.08745,0.03338,0.0183,25.3774,0.8768
2,13,1.36025,1.05887,0.03324,0.0196,25.1336,0.8765
2,14,1.32888,1.16606,0.03372,0.0194,24.4899,0.8741
2,15,1.24551,1.22823,0.03001,0.0174,26.0281,0.8890
2,16,1.35935,1.08753,0.03062,0.0157,25.5505,0.8912
2,17,1.39712,1.02040,0.02757,0.0141,25.8184,0.8859
2,18,1.38865,1.07803,0.03544,0.0201,24.3982,0.8821
2,19,1.37756,0.94849,0.02278,0.0121,27.8641,0.9079
2,20,1.16491,1.35021,0.03424,0.0229,24.9646,0.8848
2,21,1.32551,1.22977,0.03951,0.0238,24.6906,0.8868
