Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1149,15.3157,0.4212,0.81
10,0.1129,15.3899,0.4432,2.37
20,0.1060,15.6632,0.4700,3.54
30,0.1034,15.7707,0.4852,4.45
40,0.1064,15.6474,0.4719,4.72
50,0.1024,15.8164,0.4931,6.55
60,0.1016,15.8504,0.5006,7.46
70,0.0983,15.9911,0.5202,8.37
80,0.0979,16.0098,0.5267,8.63
90,0.0961,16.0915,0.5344,8.82
100,0.0950,16.1394,0.5450,9.83
110,0.0926,16.2513,0.5495,11.15
120,0.0936,16.2067,0.5398,11.35
130,0.0960,16.0938,0.5350,12.18
140,0.0916,16.3011,0.5423,13.21
150,0.0895,16.3973,0.5618,14.95
160,0.0895,16.3995,0.5612,14.76
170,0.0912,16.3167,0.5590,15.06
180,0.0892,16.4145,0.5702,16.02
190,0.0872,16.5126,0.5931,17.12
200,0.0874,16.5043,0.5928,17.94
210,0.0873,16.5066,0.5984,19.60
220,0.0906,16.3463,0.5980,20.26
230,0.0760,17.1125,0.5947,21.27
240,0.0690,17.5286,0.5750,20.76
250,0.0792,16.9331,0.5758,20.40
260,0.0677,17.6109,0.5794,20.48
270,0.0674,17.6334,0.5782,19.50
280,0.0727,17.2995,0.5757,18.84
290,0.0703,17.4499,0.5668,18.31
300,0.0794,16.9193,0.5446,15.77
310,0.0805,16.8604,0.5348,14.63
320,0.0800,16.8855,0.5308,14.04
330,0.0793,16.9266,0.5298,13.50
340,0.0794,16.9220,0.5280,12.79
350,0.0753,17.1509,0.5314,12.79
360,0.0768,17.0621,0.5263,12.69
370,0.0797,16.9058,0.5114,11.24
380,0.0801,16.8805,0.5009,10.30
390,0.0789,16.9480,0.4996,9.44
400,0.0809,16.8371,0.4759,8.52
410,0.0815,16.8085,0.4737,8.07
420,0.0813,16.8189,0.4753,8.00
430,0.0830,16.7273,0.4769,8.22
440,0.0823,16.7637,0.4754,8.78
450,0.0776,17.0213,0.4791,8.84
460,0.0902,16.3656,0.4673,7.55
470,0.0821,16.7729,0.4659,7.62
480,0.0816,16.8010,0.4690,8.20
490,0.0807,16.8509,0.4813,9.53
500,0.3067,11.0854,0.2159,10.74
510,0.2627,11.7571,0.2398,11.95
520,0.2456,12.0504,0.2499,13.21
530,0.2398,12.1546,0.2626,14.68
540,0.2307,12.3210,0.2765,15.88
550,0.2270,12.3913,0.2801,15.14
560,0.2274,12.3851,0.2839,14.63
570,0.2211,12.5060,0.2885,14.25
580,0.2137,12.6542,0.2937,14.73
590,0.2116,12.6978,0.3038,16.39
600,0.2039,12.8583,0.3262,17.73
610,0.2047,12.8416,0.3292,17.87
620,0.2044,12.8468,0.3312,17.71
630,0.1932,13.0921,0.3437,18.95
640,0.1915,13.1300,0.3486,19.20
650,0.1908,13.1454,0.3467,18.78
660,0.1832,13.3224,0.3543,18.50
670,0.1919,13.1219,0.3535,18.29
680,0.1928,13.1015,0.3575,17.99
690,0.1910,13.1413,0.3458,16.86
700,0.1741,13.5432,0.3433,16.65
710,0.2148,12.6314,0.3572,16.69
720,0.1865,13.2451,0.3767,17.64
730,0.1865,13.2456,0.3833,19.37
740,0.1879,13.2123,0.3813,19.82
750,0.1987,12.9704,0.3686,18.97
760,0.2059,12.8157,0.3597,18.17
770,0.2128,12.6718,0.3528,17.29
780,0.2165,12.5971,0.3416,16.46
790,0.2221,12.4859,0.3243,14.99
800,0.2220,12.4890,0.3206,13.98
810,0.2366,12.2121,0.3090,13.37
820,0.2371,12.2036,0.3048,13.32
830,0.2373,12.1992,0.3073,13.52
840,0.2377,12.1928,0.3057,13.42
850,0.2376,12.1938,0.3058,13.48
860,0.2375,12.1949,0.3065,13.53
870,0.2376,12.1939,0.3059,13.25
880,0.2377,12.1917,0.3025,13.04
890,0.2462,12.0389,0.2928,11.50
900,0.2611,11.7837,0.2862,10.82
910,0.3075,11.0741,0.2603,9.16
920,0.3353,10.6981,0.2462,8.41
930,0.3391,10.6495,0.2472,8.68
940,0.3391,10.6486,0.2474,8.68
950,0.3390,10.6505,0.2470,8.75
960,0.3238,10.8499,0.2534,8.51
970,0.3237,10.8502,0.2539,8.51
980,0.3241,10.8459,0.2530,8.30
990,0.3241,10.8450,0.2527,8.21
