Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
1,1,1.49119,2.17852,0.11370,0.0977,16.1016,0.7870
1,2,1.79942,1.85484,0.10650,0.0904,16.3862,0.7892
1,3,1.43684,1.77660,0.09634,0.0757,17.2051,0.7994
1,4,1.36226,1.72305,0.08898,0.0673,17.7265,0.8009
1,5,1.34269,1.65332,0.08400,0.0631,18.0406,0.8045
1,6,1.30146,1.62195,0.08114,0.0564,18.5680,0.7970
1,7,1.31421,1.58379,0.07320,0.0466,19.4168,0.7880
1,8,1.30141,1.49362,0.06994,0.0444,19.8228,0.8009
1,9,1.32868,1.46317,0.06661,0.0404,20.2579,0.7905
1,10,1.30080,1.38368,0.05374,0.0265,22.0767,0.8043
1,11,1.37409,1.36232,0.05756,0.0324,21.4721,0.8030
1,12,1.37913,1.30611,0.05115,0.0247,22.3740,0.8084
1,13,1.39274,1.28264,0.05256,0.0289,22.1793,0.8135
1,14,1.33787,1.20275,0.04481,0.0202,23.6822,0.8164
1,15,1.37090,1.28491,0.05323,0.0313,22.3662,0.8206
1,16,1.33392,1.16541,0.04287,0.0200,24.2746,0.8273
1,17,1.35126,1.22418,0.04893,0.0300,22.7907,0.8360
1,18,1.32806,1.19121,0.04243,0.0224,23.6794,0.8435
1,19,1.34301,1.13110,0.03699,0.0183,24.6208,0.8514
1,20,1.34680,1.16057,0.03977,0.0201,24.0642,0.8481
1,21,1.34882,1.19888,0.04430,0.0253,22.7914,0.8524
1,22,1.38028,1.15561,0.04089,0.0232,23.7445,0.8560
1,23,1.36205,1.17472,0.04203,0.0232,23.4372,0.8537
1,24,1.36678,1.11597,0.03548,0.0163,25.1538,0.8628
1,25,1.39060,1.15546,0.03982,0.0248,25.4242,0.8597
1,26,1.42773,1.25959,0.05187,0.0362,21.5608,0.8486
1,27,1.35155,1.02762,0.02664,0.0115,26.6158,0.8831
1,28,1.40157,0.99958,0.02952,0.0156,25.9307,0.8817
1,29,1.38721,1.08671,0.03735,0.0217,23.9685,0.8720
1,30,1.36426,1.12198,0.04076,0.0263,24.1257,0.8708
1,31,1.38966,1.09053,0.03730,0.0231,24.5462,0.8761
1,32,1.37673,1.12292,0.03872,0.0234,24.7359,0.8736
1,33,1.41136,1.14848,0.04140,0.0269,23.7146,0.8718
