Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0000,49.7139,0.9952
1,1_020,0.0049,29.0308,0.9649
1,1_030,0.0001,48.3081,0.9953
1,1_040,0.0005,38.9794,0.9913
1,1_050,0.0023,32.2072,0.9769
1,1_060,0.0002,42.1144,0.9937
1,1_070,0.0004,40.2002,0.9851
1,1_080,0.0003,41.0236,0.9902
1,1_090,0.0039,29.9861,0.9773
1,1_100,0.0039,30.0287,0.9745
2,2_010,0.0287,21.3734,0.8994
2,2_020,0.0024,32.1958,0.9430
2,2_030,0.0019,33.2298,0.9526
2,2_040,0.0055,28.5471,0.9459
2,2_050,0.0057,28.3639,0.9259
2,2_060,0.0013,34.7420,0.9665
2,2_070,0.0013,34.8410,0.9564
2,2_080,0.0030,31.1237,0.9552
2,2_090,0.0076,27.1252,0.9331
2,2_100,0.0051,28.8473,0.9257
3,3_010,0.0020,33.0074,0.9659
3,3_020,0.0052,28.7297,0.9557
3,3_030,0.0085,26.6338,0.9341
3,3_040,0.0230,22.3070,0.9275
3,3_050,0.0068,27.6401,0.9316
3,3_060,0.0070,27.4359,0.9400
3,3_070,0.0017,33.5135,0.9628
3,3_080,0.0011,35.5353,0.9706
3,3_090,0.0012,34.8972,0.9558
3,3_097,0.0023,32.2466,0.9510
4,4_010,0.0047,29.1539,0.9668
4,4_020,0.0009,36.2095,0.9881
4,4_030,0.0004,40.0707,0.9844
4,4_040,0.0002,42.1803,0.9894
4,4_050,0.0020,32.8539,0.9714
4,4_060,0.0044,29.4651,0.9534
4,4_070,0.0058,28.3183,0.9394
4,4_080,0.0043,29.5702,0.9388
4,4_090,0.0054,28.5777,0.9336
4,4_100,0.0109,25.5433,0.9229
5,5_010,0.0097,26.0665,0.9402
5,5_020,0.0249,21.9816,0.9146
5,5_030,0.0013,34.7923,0.9672
5,5_040,0.0147,24.2645,0.9188
5,5_050,0.0281,21.4603,0.8876
5,5_060,0.0098,26.0255,0.9218
5,5_070,0.0112,25.4617,0.9084
5,5_080,0.0041,29.7663,0.9402
5,5_090,0.0056,28.4575,0.9366
5,5_100,0.0007,37.5484,0.9770
6,6_010,0.0031,31.0681,0.9588
6,6_020,0.0003,41.3370,0.9809
6,6_030,0.0003,41.8619,0.9819
6,6_040,0.0084,26.7235,0.9536
6,6_050,0.0379,20.1340,0.8710
6,6_060,0.0272,21.6040,0.8638
6,6_070,0.0136,24.5879,0.8791
6,6_080,0.0100,25.9223,0.8897
6,6_090,0.0032,30.8361,0.9385
6,6_100,0.0090,26.3994,0.9183
7,7_010,0.0146,24.2806,0.9415
7,7_020,0.0028,31.5042,0.9716
7,7_030,0.0052,28.7918,0.9486
7,7_040,0.0280,21.4849,0.8615
7,7_050,0.0158,23.9625,0.9050
7,7_060,0.0069,27.5447,0.9220
