Epoch,Batch,MSE,PSNR,SSIM
1,1,0.2101,6.5689,0.8140
1,2,0.1951,6.8686,0.8259
1,3,0.1692,7.4380,0.8108
1,4,0.1105,9.4434,0.6565
1,5,0.0817,10.9755,0.8415
1,6,0.1035,10.1454,0.8270
1,7,0.1256,9.6698,0.7899
1,8,0.1533,8.7696,0.7363
1,9,0.1116,9.9641,0.8567
1,10,0.1273,9.7239,0.7867
1,11,0.1252,9.5574,0.8215
1,12,0.0836,11.1770,0.8572
1,13,0.0924,10.4064,0.8549
1,14,0.1020,10.5828,0.7416
1,15,0.0904,10.4970,0.7145
1,16,0.0954,10.3321,0.7931
1,17,0.1007,9.9463,0.6828
1,18,0.0710,11.4059,0.8387
1,19,0.0956,10.2033,nan
1,20,0.0650,12.0087,0.7703
1,21,0.0943,10.2772,0.7290
1,22,0.0894,10.8300,0.8173
1,23,0.0798,11.2129,0.7873
1,24,0.0861,10.9367,0.7064
1,25,0.0678,11.7515,0.8299
2,1,0.0928,10.2838,0.7387
2,2,0.0739,11.1017,0.8574
2,3,0.0863,10.7752,0.7189
2,4,0.0679,11.5069,0.8743
2,5,0.0856,11.1595,0.7101
2,6,0.0745,11.2166,0.8166
2,7,0.0732,11.4536,0.6824
2,8,0.0682,11.7773,0.8252
2,9,0.0656,12.0148,0.8300
2,10,0.0825,11.1713,0.7346
2,11,0.0696,11.6544,0.8732
2,12,0.0598,12.0694,0.8639
2,13,0.0548,12.4945,0.8178
2,14,0.0568,12.4725,0.8152
2,15,0.0881,11.1536,0.8145
2,16,0.0805,11.3993,nan
2,17,0.0784,11.6171,0.7795
2,18,0.0826,11.1521,0.8362
2,19,0.0661,11.8918,0.7321
2,20,0.0775,11.0797,0.6921
2,21,0.0832,11.1322,0.7343
2,22,0.0646,12.2627,0.7985
2,23,0.0798,11.3889,0.7677
2,24,0.0645,12.2038,0.8108
2,25,0.0587,12.3921,0.7923
3,1,0.0801,11.0729,0.7775
3,2,0.0596,12.5412,0.8282
3,3,0.0945,10.9288,0.6545
3,4,0.0847,10.8706,0.7799
