Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1148,15.3177,0.4531,0.81
10,0.1156,15.2872,0.4701,2.89
20,0.1145,15.3301,0.4842,3.76
30,0.1147,15.3213,0.4768,4.22
40,0.1145,15.3283,0.4880,4.89
50,0.1166,15.2517,0.4774,5.55
60,0.1167,15.2479,0.4768,5.60
70,0.1166,15.2518,0.4773,5.78
80,0.1152,15.3022,0.4788,7.04
90,0.1137,15.3583,0.4922,8.36
100,0.1119,15.4279,0.4941,9.08
110,0.1099,15.5084,0.5171,10.27
120,0.1097,15.5157,0.5282,12.16
130,0.1066,15.6404,0.5470,14.29
140,0.1045,15.7276,0.5654,14.52
150,0.1046,15.7245,0.5663,15.23
160,0.1046,15.7244,0.5663,15.24
170,0.1046,15.7244,0.5664,15.25
180,0.1046,15.7245,0.5664,15.26
190,0.1046,15.7219,0.5664,15.47
200,0.1045,15.7265,0.5664,15.54
210,0.1045,15.7275,0.5664,15.53
220,0.1038,15.7577,0.5633,15.24
230,0.1035,15.7682,0.5638,15.42
240,0.1024,15.8127,0.5644,16.11
250,0.1029,15.7953,0.5629,16.18
260,0.1033,15.7775,0.5572,16.55
270,0.1035,15.7694,0.5603,17.64
280,0.1031,15.7869,0.5617,17.33
290,0.1031,15.7861,0.5616,17.32
300,0.1031,15.7848,0.5602,17.23
310,0.1031,15.7864,0.5616,17.45
320,0.1031,15.7865,0.5616,17.46
330,0.1031,15.7870,0.5626,17.15
340,0.1037,15.7579,0.5602,16.81
350,0.1038,15.7573,0.5576,17.55
360,0.1034,15.7740,0.5615,18.20
370,0.1034,15.7742,0.5615,18.23
380,0.1034,15.7742,0.5615,18.23
390,0.1033,15.7750,0.5621,18.65
400,0.1034,15.7746,0.5619,18.80
410,0.1034,15.7745,0.5615,18.80
420,0.1038,15.7576,0.5540,18.15
430,0.1037,15.7597,0.5544,18.11
440,0.1025,15.8113,0.5577,17.73
450,0.1033,15.7777,0.5566,16.69
460,0.1040,15.7480,0.5536,16.55
470,0.1042,15.7404,0.5523,16.23
480,0.1041,15.7451,0.5535,16.09
490,0.1041,15.7450,0.5532,16.07
500,0.3482,10.5341,0.2304,16.07
510,0.3416,10.6174,0.2433,16.43
520,0.3381,10.6612,0.2518,16.43
530,0.3381,10.6624,0.2526,16.43
540,0.3373,10.6722,0.2584,16.39
550,0.3362,10.6865,0.2689,16.37
560,0.3356,10.6939,0.2736,16.14
570,0.3356,10.6939,0.2736,16.14
580,0.3352,10.6986,0.2760,15.88
590,0.3351,10.7006,0.2779,15.95
600,0.3300,10.7675,0.2865,15.50
610,0.3204,10.8953,0.3023,16.15
620,0.3114,11.0185,0.3112,16.50
630,0.3074,11.0756,0.3172,16.60
640,0.2812,11.4619,0.3257,17.35
650,0.2668,11.6898,0.3334,18.00
660,0.2668,11.6899,0.3335,17.99
670,0.2667,11.6927,0.3349,17.37
680,0.2666,11.6936,0.3353,17.40
690,0.2666,11.6936,0.3353,17.40
700,0.2738,11.5774,0.3398,17.95
710,0.2615,11.7782,0.3555,19.10
720,0.2608,11.7884,0.3596,19.36
730,0.2598,11.8062,0.3617,19.62
740,0.2597,11.8077,0.3613,19.46
750,0.2596,11.8091,0.3610,19.39
760,0.2597,11.8082,0.3608,19.00
770,0.2600,11.8029,0.3603,18.12
780,0.2599,11.8048,0.3611,17.89
790,0.2590,11.8193,0.3615,18.33
800,0.2590,11.8189,0.3608,18.24
810,0.2590,11.8189,0.3608,18.24
820,0.2590,11.8189,0.3608,18.24
830,0.2588,11.8219,0.3622,18.56
840,0.2629,11.7548,0.3600,18.58
850,0.2872,11.3703,0.3575,18.22
860,0.2848,11.4062,0.3587,18.18
870,0.2849,11.4057,0.3584,18.02
880,0.2848,11.4075,0.3583,17.67
890,0.2854,11.3982,0.3570,17.35
900,0.2847,11.4076,0.3582,16.99
910,0.2944,11.2633,0.3563,16.72
920,0.2823,11.4458,0.3570,16.55
930,0.2825,11.4416,0.3546,16.61
940,0.2816,11.4555,0.3585,17.12
950,0.2816,11.4553,0.3584,17.32
960,0.2820,11.4498,0.3568,17.27
970,0.2820,11.4492,0.3564,17.29
980,0.2820,11.4496,0.3568,17.30
990,0.2823,11.4446,0.3547,17.09
