Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0070,27.4234,0.9626
1,1_020,0.0037,30.2386,0.9666
1,1_030,0.0005,38.7218,0.9890
1,1_040,0.0023,32.2882,0.9752
1,1_050,0.0004,39.5098,0.9844
1,1_060,0.0039,30.0052,0.9700
1,1_070,0.0006,37.9900,0.9846
1,1_080,0.0001,48.2968,0.9941
1,1_090,0.0006,37.9391,0.9915
1,1_100,0.0000,51.0346,0.9968
2,2_010,0.0170,23.6544,0.9278
2,2_020,0.0192,23.1136,0.8805
2,2_030,0.0020,32.8125,0.9482
2,2_040,0.0069,27.5050,0.9258
2,2_050,0.0016,33.9791,0.9538
2,2_060,0.0024,32.0626,0.9350
2,2_070,0.0032,30.8604,0.9431
2,2_080,0.0058,28.2945,0.9284
2,2_090,0.0020,32.8616,0.9500
2,2_100,0.0009,36.2745,0.9633
3,3_010,0.0005,38.6643,0.9849
3,3_020,0.0082,26.7561,0.9357
3,3_030,0.0055,28.5078,0.9501
3,3_040,0.0022,32.4712,0.9454
3,3_050,0.0280,21.4528,0.8913
3,3_060,0.0021,32.6853,0.9565
3,3_070,0.0015,34.2253,0.9555
3,3_080,0.0095,26.1250,0.9573
3,3_090,0.0008,36.7408,0.9701
3,3_097,0.0018,33.4799,0.9553
4,4_010,0.0012,35.2924,0.9889
4,4_020,0.0001,47.4490,0.9952
4,4_030,0.0002,42.7095,0.9901
4,4_040,0.0238,22.1611,0.9168
4,4_050,0.0067,27.6635,0.9488
4,4_060,0.0047,29.1984,0.9485
4,4_070,0.0029,31.3139,0.9630
4,4_080,0.0016,33.8290,0.9721
4,4_090,0.0043,29.5974,0.9446
4,4_100,0.0051,28.8519,0.9295
5,5_010,0.0187,23.2314,0.9062
5,5_020,0.0190,23.1686,0.9079
5,5_030,0.0116,25.2898,0.8996
5,5_040,0.0114,25.3938,0.9017
5,5_050,0.0185,23.2783,0.8854
5,5_060,0.0048,29.1782,0.9195
5,5_070,0.0134,24.6805,0.9043
5,5_080,0.0031,30.9620,0.9449
5,5_090,0.0013,34.8061,0.9592
5,5_100,0.0018,33.3198,0.9522
6,6_010,0.0030,31.1859,0.9662
6,6_020,0.0154,24.0729,0.9353
6,6_030,0.0018,33.3399,0.9657
6,6_040,0.0114,25.3961,0.9222
6,6_050,0.0251,21.9521,0.8858
6,6_060,0.0181,23.3777,0.8933
6,6_070,0.0129,24.8098,0.9253
6,6_080,0.0112,25.4166,0.9114
6,6_090,0.0066,27.7475,0.9218
6,6_100,0.0103,25.7794,0.9164
7,7_010,0.0006,38.0691,0.9587
7,7_020,0.0030,31.1503,0.9612
7,7_030,0.0091,26.3594,0.9473
7,7_040,0.0205,22.8250,0.9137
7,7_050,0.0070,27.4707,0.9550
7,7_060,0.0112,25.4741,0.9292
7,7_070,0.0231,22.3111,0.8664
7,7_080,0.0120,25.1486,0.8823
7,7_090,0.0138,24.5160,0.9093
7,7_100,0.0058,28.2526,0.9165
8,8_010,0.0271,21.6237,0.8916
8,8_020,0.0232,22.3053,0.8687
8,8_030,0.0047,29.1882,0.9388
8,8_040,0.0082,26.8197,0.9215
8,8_050,0.0060,28.1515,0.9275
8,8_060,0.0059,28.2664,0.9254
8,8_070,0.0026,31.7449,0.9465
8,8_080,0.0089,26.4412,0.9292
8,8_090,0.0246,22.0490,0.8959
8,8_100,0.0091,26.3618,0.9259
11,11_010,0.0037,30.2880,0.9249
11,11_020,0.0048,29.1186,0.9334
11,11_030,0.0030,31.0976,0.9602
11,11_040,0.0061,28.0420,0.9246
11,11_050,0.0069,27.5787,0.9427
11,11_060,0.0042,29.6985,0.9527
11,11_070,0.0076,27.1164,0.9333
11,11_080,0.0096,26.1286,0.9107
11,11_090,0.0052,28.7729,0.9145
11,11_100,0.0027,31.5798,0.9610
13,13_010,0.0343,20.6048,0.8658
13,13_020,0.0266,21.7012,0.9042
13,13_030,0.0128,24.8736,0.9100
13,13_040,0.0051,28.8839,0.9219
13,13_050,0.0132,24.7325,0.9059
13,13_060,0.0117,25.2624,0.9074
13,13_070,0.0107,25.6742,0.9164
13,13_080,0.0066,27.7610,0.9342
13,13_090,0.0052,28.7708,0.9353
13,13_100,0.0081,26.8463,0.9367
16,16_010,0.0024,32.1074,0.9655
16,16_020,0.0052,28.7490,0.9635
16,16_030,0.0000,49.5066,0.9957
16,16_040,0.0044,29.4373,0.9624
16,16_050,0.0021,32.5955,0.9742
16,16_060,0.0049,29.0026,0.9593
16,16_070,0.0006,37.8678,0.9856
16,16_080,0.0001,47.7641,0.9937
16,16_090,0.0028,31.3981,0.9727
16,16_100,0.0000,52.8049,0.9970
17,17_010,0.0009,36.4830,0.9791
17,17_020,0.0002,43.8019,0.9885
17,17_030,0.0020,32.9738,0.9733
17,17_040,0.0020,32.8540,0.9669
17,17_050,0.0032,30.9290,0.9715
17,17_060,0.0002,43.3779,0.9873
17,17_070,0.0015,34.1035,0.9804
17,17_080,0.0012,35.1665,0.9782
17,17_090,0.0001,45.3761,0.9888
17,17_100,0.0003,40.6645,0.9870
18,18_010,0.0001,45.2840,0.9889
18,18_020,0.0005,39.1323,0.9805
18,18_030,0.0079,26.9731,0.9320
18,18_040,0.0119,25.2026,0.9267
18,18_050,0.0010,35.7475,0.9760
18,18_060,0.0013,34.8607,0.9652
18,18_070,0.0027,31.6795,0.9601
