Epoch,Batch,MSE,PSNR,SSIM
7,18,0.0711,11.7915,0.8356
7,19,0.0946,10.3814,0.6550
7,20,0.0637,12.1816,0.8606
7,21,0.0911,11.5506,0.7608
7,22,0.0589,12.8811,0.7834
7,23,0.0765,11.4823,0.7946
7,24,0.0870,10.8043,0.7373
7,25,0.0576,12.2507,0.8055
8,1,0.0702,11.7534,nan
8,2,0.0474,13.3178,0.8220
8,3,0.0506,13.7383,0.8669
8,4,0.0652,12.6439,0.8075
8,5,0.0597,13.9718,0.8803
8,6,0.0569,13.9660,0.7583
8,7,0.0557,13.3914,0.7921
8,8,0.0759,12.6431,0.8287
8,9,0.0722,12.2538,0.7338
8,10,0.0659,12.3668,0.7877
8,11,0.0656,12.5013,0.8059
8,12,0.0625,12.8898,0.7205
8,13,0.0646,12.7690,0.7847
8,14,0.0679,12.5710,nan
8,15,0.0633,12.8050,0.7226
8,16,0.0677,12.3396,0.8108
8,17,0.0625,12.0846,0.7300
8,18,0.0549,12.7641,0.8701
8,19,0.0629,12.5769,0.8418
8,20,0.0567,13.2115,0.8592
8,21,0.0789,12.1763,0.7411
8,22,0.0832,11.8879,0.7275
8,23,0.0705,11.9358,0.7943
8,24,0.0668,11.9664,0.8116
8,25,0.0684,12.3910,0.7771
9,1,0.0627,12.5924,0.7056
9,2,0.0643,12.7742,0.7554
9,3,0.0678,12.4893,0.6913
9,4,0.0804,11.3312,0.6983
9,5,0.0659,11.7165,0.7980
9,6,0.0673,11.5601,0.8287
9,7,0.0771,11.7951,0.7233
9,8,0.0668,12.5330,0.7152
9,9,0.0469,13.3240,0.7676
9,10,0.0587,12.8181,0.7484
9,11,0.0693,12.1124,0.7174
9,12,0.0626,13.1859,0.8424
9,13,0.0667,11.9955,0.7350
9,14,0.0489,13.5152,nan
9,15,0.0731,12.0813,0.7421
9,16,0.0728,12.6283,0.8105
9,17,0.0713,12.4090,0.6951
9,18,0.0440,13.4632,0.8526
9,19,0.0740,11.8312,0.7602
9,20,0.0634,12.8749,0.8208
9,21,0.0869,11.3652,0.7560
9,22,0.0716,11.6810,0.7484
9,23,0.0691,11.6360,0.7331
9,24,0.0770,11.5215,0.6929
9,25,0.0820,11.4862,0.7759
10,1,0.0654,12.5129,0.6651
10,2,0.0614,12.7107,0.8398
10,3,0.0567,12.7718,0.7542
10,4,0.0541,13.0277,0.8743
10,5,0.0655,12.5512,0.7541
10,6,0.0637,12.6830,0.8195
10,7,0.0651,12.9169,0.7605
10,8,0.0615,13.0656,0.8457
10,9,0.0878,11.3307,0.6480
10,10,0.0597,12.2211,0.7229
10,11,0.0612,12.2378,0.6867
10,12,0.0623,12.4138,0.8081
10,13,0.0900,11.3773,0.6461
10,14,0.0596,13.0466,0.7741
10,15,0.0792,11.3877,0.6799
10,16,0.0664,11.9210,0.7613
10,17,0.0608,11.9907,0.8283
10,18,0.0662,11.9748,0.7330
10,19,0.0554,12.7732,0.8403
10,20,0.0567,12.7682,0.8416
10,21,0.0733,12.7169,0.7602
10,22,0.0516,14.2121,0.8272
10,23,0.0486,14.1588,0.8016
10,24,0.0722,13.3696,0.7223
10,25,0.0507,14.1031,0.7008
11,1,0.0627,13.2630,0.8336
11,2,0.0629,13.2672,0.8349
11,3,0.0419,14.0797,0.8916
11,4,0.0513,13.6564,0.8047
11,5,0.0516,13.2001,0.7699
11,6,0.0624,13.0942,0.8154
11,7,0.0581,12.7998,0.8253
11,8,0.0810,11.4471,0.7889
11,9,0.0668,11.9772,0.7615
11,10,0.0818,10.9580,0.7877
11,11,0.0742,11.4569,0.7683
11,12,0.0576,12.2455,0.7018
11,13,0.0588,12.7547,0.7788
11,14,0.0435,14.7696,0.8425
11,15,0.0568,13.8638,0.8185
11,16,0.0426,14.8419,0.8543
11,17,0.0782,13.2289,0.8327
11,18,0.0718,13.0076,0.7779
11,19,0.0737,13.3034,0.7460
11,20,0.0786,11.6718,0.8585
11,21,0.0901,11.7824,0.7968
11,22,0.0537,12.5421,0.7785
11,23,0.0607,12.1892,0.7389
11,24,0.0421,13.7177,0.7560
11,25,0.0632,12.4752,0.8317
12,1,0.0451,14.1154,0.7887
12,2,0.0814,11.3845,0.6392
12,3,0.0500,13.2814,0.8273
12,4,0.0743,11.8493,0.7632
12,5,0.0835,11.4259,0.6932
12,6,0.0626,12.1209,0.8325
12,7,0.0507,13.0462,0.9008
12,8,0.0712,12.0027,0.7416
12,9,0.0842,11.8897,0.7505
12,10,0.0633,12.6806,0.6906
12,11,0.0932,10.6623,0.6755
12,12,0.0524,13.1413,0.7754
12,13,0.0544,12.7024,0.7300
12,14,0.0481,13.0496,0.8856
12,15,0.0504,12.9171,0.8127
12,16,0.0413,13.7704,0.8919
12,17,0.0585,13.3622,0.8384
12,18,0.0681,12.5174,0.6764
12,19,0.0619,13.7579,0.7843
12,20,0.0472,14.6894,0.7701
12,21,0.0625,12.6609,0.8721
12,22,0.0409,14.3510,0.8770
12,23,0.0696,12.8419,0.8632
12,24,0.0626,12.8004,0.7773
12,25,0.0550,12.6545,0.8418
13,1,0.0615,12.4926,0.8565
13,2,0.0548,12.9767,0.7798
13,3,0.0615,12.9457,0.7194
13,4,0.0346,14.6160,0.9054
13,5,0.0579,13.2812,0.8238
13,6,0.0656,12.8035,0.7656
13,7,0.0416,14.9334,0.8338
13,8,0.0459,14.2832,0.9044
13,9,0.0733,13.2848,0.7023
13,10,0.0773,12.3984,0.7112
13,11,0.0850,12.0173,0.6369
13,12,0.0796,11.3723,0.6629
13,13,0.0775,10.9512,0.6504
13,14,0.0692,11.4243,0.7612
13,15,0.0651,12.0366,0.7255
13,16,0.0443,13.7838,0.8413
13,17,0.0459,13.9981,0.8196
13,18,0.0635,13.1780,0.8211
13,19,0.0897,12.5888,0.8314
13,20,0.0727,13.4446,0.7373
13,21,0.0742,13.6352,0.7799
13,22,0.0396,15.5076,0.8784
13,23,0.0781,12.8218,0.7830
13,24,0.0579,13.0629,0.8580
13,25,0.0583,13.0138,0.7305
14,1,0.0673,12.6544,0.7401
14,2,0.0648,12.0514,0.7538
14,3,0.0688,12.3304,0.7671
14,4,0.0673,11.7767,0.7861
14,5,0.0507,13.0965,0.7990
14,6,0.0652,12.3237,0.7053
14,7,0.0645,12.1831,0.7294
14,8,0.0594,12.5261,0.7748
14,9,0.0538,13.1937,0.7650
14,10,0.0502,13.3938,0.7404
14,11,0.0522,13.0850,0.7904
14,12,0.0681,12.1220,0.8237
14,13,0.0625,12.6366,0.9030
14,14,0.0560,12.7051,0.7345
14,15,0.0636,12.4055,0.7664
14,16,0.0559,13.1433,0.7616
14,17,0.0575,12.5741,0.7673
14,18,0.0591,12.5354,0.7517
14,19,0.0648,12.2020,0.7451
14,20,0.0593,12.6401,0.7993
14,21,0.0512,13.1385,0.7921
14,22,0.0565,12.9728,0.7391
14,23,0.0704,12.2646,0.7426
14,24,0.0619,12.8656,0.7587
14,25,0.0797,11.6232,0.7634
15,1,0.0518,13.0292,0.8173
15,2,0.0808,11.5925,0.7540
15,3,0.0821,11.1251,0.7076
15,4,0.0614,12.1824,0.7808
15,5,0.0536,12.6875,0.7360
15,6,0.0556,12.9662,0.7845
15,7,0.0519,13.4335,0.7784
15,8,0.0638,14.0944,0.8467
15,9,0.0504,14.2712,0.7493
15,10,0.0609,13.0264,0.7896
15,11,0.0658,13.5755,0.8064
15,12,0.0494,14.4957,0.7858
15,13,0.0582,13.5643,0.7983
15,14,0.0787,11.8000,0.7807
15,15,0.0684,12.1029,0.7373
15,16,0.0624,11.8985,0.7288
15,17,0.0644,11.9860,0.7858
15,18,0.0529,12.9258,0.7999
15,19,0.0644,12.9028,0.6714
15,20,0.0716,12.6418,0.8060
15,21,0.0385,14.7472,0.8691
15,22,0.0667,13.5482,0.8337
15,23,0.0831,12.3923,0.7836
15,24,0.0596,13.1831,0.7704
15,25,0.0549,13.8620,0.8051
16,1,0.0617,12.7314,0.8115
16,2,0.0580,12.7929,0.7878
16,3,0.0637,12.3782,0.7783
16,4,0.0944,10.6016,0.6768
16,5,0.0612,12.1342,0.7738
16,6,0.0596,12.0852,0.7588
16,7,0.0521,12.6815,0.7650
16,8,0.0726,12.1405,0.7376
16,9,0.0518,13.7493,0.8747
16,10,0.0588,12.7056,0.6720
16,11,0.0425,13.9939,0.8564
16,12,0.0672,13.0119,0.7928
16,13,0.0417,14.1915,0.7882
16,14,0.0710,12.7883,0.7636
16,15,0.0462,14.1464,0.7905
16,16,0.0753,12.0625,0.7531
16,17,0.0554,13.2513,0.8532
16,18,0.0721,12.0009,0.7153
16,19,0.0518,13.0425,0.6882
16,20,0.0574,12.3079,0.7368
16,21,0.0632,12.2228,0.6789
16,22,0.0631,12.4286,0.7786
16,23,0.0584,13.1397,0.7626
16,24,0.0492,14.1122,0.8118
16,25,0.0632,13.6057,0.7585
17,1,0.0593,13.4550,0.7308
17,2,0.0396,14.5751,0.7924
17,3,0.0443,14.1465,0.7334
17,4,0.0504,14.6891,0.7309
17,5,0.0692,13.1469,0.7528
17,6,0.0498,13.6753,0.7874
17,7,0.0559,13.6675,0.7886
17,8,0.0524,13.2930,0.7715
17,9,0.0475,13.6507,0.7847
17,10,0.0806,11.1176,0.6978
17,11,0.0542,12.7311,0.8138
17,12,0.0503,13.0939,0.8086
17,13,0.0477,13.4478,0.8747
17,14,0.0385,14.2622,0.7962
17,15,0.0597,13.5063,0.7721
17,16,0.0434,15.2127,0.8489
17,17,0.0781,12.3959,0.6968
17,18,0.0559,13.6706,0.8132
17,19,0.0852,12.2325,0.7270
17,20,0.0607,13.4588,0.6865
17,21,0.0623,13.4972,0.8326
17,22,0.0591,12.5497,0.7618
17,23,0.0454,13.2988,0.8536
17,24,0.0711,11.8006,0.6709
17,25,0.0597,12.2803,0.8020
18,1,0.0495,13.1541,0.8517
18,2,0.0525,13.2199,0.7749
18,3,0.0493,13.5052,0.8221
18,4,0.0682,12.5918,0.7794
18,5,0.0569,13.3762,0.7646
18,6,0.0611,13.4258,0.7530
18,7,0.0526,13.9954,nan
18,8,0.0614,13.0889,0.7848
18,9,0.0461,14.0764,0.8331
18,10,0.0521,13.4723,0.7534
18,11,0.0809,11.9072,0.7217
18,12,0.0463,13.6715,0.7636
18,13,0.0741,11.9977,0.7271
18,14,0.0409,13.9135,0.8643
18,15,0.0646,12.0966,0.6941
18,16,0.0653,12.6678,0.6877
18,17,0.0435,13.7189,0.8604
18,18,0.0446,13.8504,0.8965
18,19,0.0630,12.6628,0.8682
18,20,0.0592,13.0059,0.8306
18,21,0.0507,13.6009,0.8339
18,22,0.0420,14.0109,0.8746
18,23,0.0617,13.7835,0.7898
18,24,0.0794,12.3364,0.7536
18,25,0.0622,12.8182,0.8106
19,1,0.0542,13.3783,0.7152
19,2,0.0498,13.4995,0.8198
19,3,0.0565,12.9476,0.8006
19,4,0.0451,13.8073,0.8267
19,5,0.0487,13.5502,0.7624
19,6,0.0769,12.0221,0.7398
19,7,0.0555,13.0391,0.8054
19,8,0.0543,13.0173,0.7870
19,9,0.0486,13.6844,0.8198
19,10,0.0542,13.2583,nan
19,11,0.0497,13.2426,0.8804
19,12,0.0530,13.3166,0.7396
19,13,0.0722,12.2408,0.7487
19,14,0.0502,13.8076,0.8281
19,15,0.0543,13.3244,0.8632
19,16,0.0528,13.4419,0.8116
19,17,0.0638,12.5625,0.7678
19,18,0.0468,13.6708,0.8102
19,19,0.0498,13.1395,0.7207
19,20,0.0581,12.9032,0.7661
19,21,0.0608,13.1369,0.7577
19,22,0.0508,13.6846,0.8516
19,23,0.0385,14.5014,0.8162
19,24,0.0584,13.9433,0.7557
19,25,0.0474,13.9642,0.8834
20,1,0.0650,13.1113,0.7973
20,2,0.0445,14.2017,0.8098
20,3,0.0564,13.0652,0.7870
20,4,0.0571,13.1629,0.7236
20,5,0.0381,14.2399,0.8547
20,6,0.0595,13.1876,0.8596
20,7,0.0313,15.2604,0.9368
20,8,0.0512,13.5386,0.8110
20,9,0.0422,14.4324,0.7705
20,10,0.0584,14.1340,0.7456
20,11,0.0570,13.7010,0.7468
20,12,0.0615,12.7197,0.7604
20,13,0.0633,12.5556,0.7743
20,14,0.0499,13.0187,0.7678
20,15,0.0509,13.2131,0.7280
20,16,0.0594,12.8095,0.7723
20,17,0.0403,14.8747,0.8651
20,18,0.0434,14.5528,nan
20,19,0.0410,15.2408,0.8916
20,20,0.0952,12.2271,0.7472
20,21,0.0530,14.5261,0.8627
20,22,0.0678,12.8635,0.8040
20,23,0.0793,12.2226,0.7149
20,24,0.0480,13.5294,0.7953
20,25,0.0553,12.5592,0.7466
21,1,0.0493,13.0634,0.8220
21,2,0.0426,13.9381,0.8553
21,3,0.0599,13.0699,0.7237
21,4,0.0584,13.4703,0.8159
21,5,0.0567,13.4293,0.8033
21,6,0.0382,15.1026,0.8661
21,7,0.0624,13.1968,0.7957
21,8,0.0534,14.0362,0.7769
21,9,0.0564,13.7995,0.9025
21,10,0.0582,12.9696,0.7143
21,11,0.0692,12.1323,0.6328
21,12,0.0433,13.6673,0.7907
21,13,0.0498,13.0562,0.7799
21,14,0.0773,11.5823,0.7497
21,15,0.0422,13.6513,0.7835
21,16,0.0418,13.7744,0.8855
21,17,0.0552,13.3589,0.7107
21,18,0.0501,13.7525,0.8776
21,19,0.0633,12.9234,0.7251
21,20,0.0665,13.2946,0.7411
21,21,0.0686,13.0981,0.7760
21,22,0.0585,13.9346,0.8467
21,23,0.0350,15.5079,0.8251
21,24,0.0639,12.6844,0.7625
21,25,0.0569,13.5353,0.7607
22,1,0.0549,13.1247,0.7700
22,2,0.0626,12.2653,0.7612
22,3,0.0529,12.7283,0.7673
22,4,0.0739,12.3419,0.7375
22,5,0.0473,13.4240,0.8146
22,6,0.0369,14.6139,0.8879
22,7,0.0524,13.3374,0.8208
22,8,0.0409,14.9895,0.8268
22,9,0.0454,14.5958,0.8207
22,10,0.0803,12.4066,0.7647
22,11,0.0546,13.8283,0.8299
22,12,0.0400,14.8304,0.7542
22,13,0.0651,12.7698,0.7228
22,14,0.0513,13.7882,0.7907
22,15,0.0628,12.6156,0.7660
22,16,0.0587,12.6455,0.8701
22,17,0.0685,12.0199,0.6833
22,18,0.0653,12.1372,0.7264
22,19,0.0532,12.7136,0.7461
22,20,0.0479,13.3875,0.8437
22,21,0.0652,12.5476,0.7561
22,22,0.0709,12.1999,0.7720
