Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0002,43.1251,0.9877
1,1_020,0.0006,37.8234,0.9945
1,1_030,0.0007,37.7039,0.9848
1,1_040,0.0006,38.3114,0.9831
1,1_050,0.0021,32.7469,0.9677
1,1_060,0.0022,32.5642,0.9822
1,1_070,0.0023,32.2445,0.9794
1,1_080,0.0046,29.2737,0.9709
1,1_090,0.0031,30.9856,0.9814
1,1_100,0.0014,34.4705,0.9835
2,2_010,0.0253,21.9176,0.8960
2,2_020,0.0367,20.3036,0.9041
2,2_030,0.0039,30.0086,0.9430
2,2_040,0.0054,28.6405,0.9389
2,2_050,0.0032,30.9630,0.9279
2,2_060,0.0045,29.3536,0.9225
2,2_070,0.0006,38.2413,0.9745
2,2_080,0.0021,32.6856,0.9546
2,2_090,0.0036,30.4129,0.9371
2,2_100,0.0020,32.8336,0.9463
3,3_010,0.0065,27.7949,0.9452
3,3_020,0.0038,30.1239,0.9496
3,3_030,0.0087,26.5129,0.9256
3,3_040,0.0075,27.1832,0.9464
3,3_050,0.0227,22.3652,0.9248
3,3_060,0.0027,31.4905,0.9578
3,3_070,0.0022,32.4140,0.9503
3,3_080,0.0016,33.7403,0.9552
3,3_090,0.0003,40.4659,0.9825
3,3_097,0.0016,33.7666,0.9572
4,4_010,0.0050,28.9252,0.9733
4,4_020,0.0001,44.7321,0.9955
4,4_030,0.0001,46.0262,0.9947
4,4_040,0.0042,29.7105,0.9698
4,4_050,0.0007,37.3324,0.9837
4,4_060,0.0025,31.9153,0.9712
4,4_070,0.0038,30.0653,0.9650
4,4_080,0.0048,29.1293,0.9373
4,4_090,0.0022,32.4647,0.9691
4,4_100,0.0015,34.2326,0.9711
5,5_010,0.0180,23.4052,0.9168
5,5_020,0.0033,30.7939,0.9451
5,5_030,0.0200,22.9520,0.9181
5,5_040,0.0345,20.5722,0.8776
5,5_050,0.0138,24.5601,0.9201
5,5_060,0.0156,24.0678,0.8992
5,5_070,0.0024,32.2145,0.9363
5,5_080,0.0100,25.9387,0.9071
5,5_090,0.0020,32.9594,0.9571
5,5_100,0.0013,34.6994,0.9670
6,6_010,0.0016,33.7906,0.9664
6,6_020,0.0239,22.1663,0.9260
6,6_030,0.0323,20.8293,0.9138
6,6_040,0.0231,22.3227,0.9057
6,6_050,0.0325,20.8314,0.8845
6,6_060,0.0479,19.1529,0.8783
6,6_070,0.0421,19.6781,0.8676
6,6_080,0.0157,23.9648,0.9001
6,6_090,0.0198,22.9582,0.8938
6,6_100,0.0072,27.3185,0.9162
7,7_010,0.0105,25.7134,0.9456
7,7_020,0.0278,21.5079,0.9005
7,7_030,0.0166,23.7640,0.9033
7,7_040,0.0082,26.7716,0.9326
7,7_050,0.0191,23.1523,0.8972
7,7_060,0.0138,24.5673,0.8761
7,7_070,0.0185,23.2914,0.8778
7,7_080,0.0216,22.6063,0.8665
7,7_090,0.0067,27.6399,0.9222
7,7_100,0.0111,25.4831,0.8956
8,8_010,0.0193,23.1060,0.9129
8,8_020,0.0174,23.5530,0.8800
8,8_030,0.0024,32.2368,0.9685
8,8_040,0.0074,27.2687,0.9258
8,8_050,0.0059,28.2705,0.9419
8,8_060,0.0107,25.6429,0.9208
8,8_070,0.0080,26.9172,0.9254
8,8_080,0.0092,26.2959,0.9271
8,8_090,0.0058,28.3213,0.9391
8,8_100,0.0057,28.3608,0.9454
11,11_010,0.0072,27.3466,0.9374
11,11_020,0.0034,30.5728,0.9279
11,11_030,0.0104,25.7360,0.9098
11,11_040,0.0087,26.5368,0.8996
11,11_050,0.0088,26.5028,0.9118
11,11_060,0.0050,28.9105,0.9364
11,11_070,0.0051,28.8155,0.9568
11,11_080,0.0043,29.5459,0.9454
11,11_090,0.0039,30.0206,0.9321
11,11_100,0.0044,29.5561,0.9225
13,13_010,0.0120,25.1744,0.9158
13,13_020,0.0216,22.6070,0.8886
13,13_030,0.0179,23.4185,0.9174
13,13_040,0.0084,26.6915,0.9459
13,13_050,0.0122,25.0995,0.9229
13,13_060,0.0140,24.4996,0.8981
13,13_070,0.0126,24.9558,0.9134
13,13_080,0.0191,23.1390,0.8931
13,13_090,0.0134,24.6805,0.8998
13,13_100,0.0077,27.1098,0.9322
16,16_010,0.0001,48.5282,0.9918
16,16_020,0.0005,38.4908,0.9902
16,16_030,0.0003,40.9765,0.9858
16,16_040,0.0002,43.5959,0.9901
16,16_050,0.0021,32.6726,0.9794
16,16_060,0.0023,32.2544,0.9774
16,16_070,0.0009,36.4611,0.9811
16,16_080,0.0000,50.1830,0.9940
16,16_090,0.0040,29.8246,0.9676
16,16_100,0.0000,53.0883,0.9972
17,17_010,0.0004,39.9945,0.9829
17,17_020,0.0028,31.3831,0.9789
17,17_030,0.0005,39.2810,0.9777
17,17_040,0.0019,33.0887,0.9745
17,17_050,0.0034,30.6480,0.9710
17,17_060,0.0002,43.1753,0.9902
17,17_070,0.0001,48.6004,0.9945
17,17_080,0.0002,43.3057,0.9883
17,17_090,0.0000,51.1981,0.9955
17,17_100,0.0003,41.2488,0.9848
18,18_010,0.0054,28.5627,0.9481
18,18_020,0.0001,47.8400,0.9947
18,18_030,0.0066,27.7386,0.9619
18,18_040,0.0004,39.4246,0.9798
18,18_050,0.0028,31.4999,0.9602
18,18_060,0.0013,34.7928,0.9648
18,18_070,0.0024,32.1434,0.9643
18,18_080,0.0115,25.3515,0.9300
18,18_090,0.0032,30.9121,0.9668
18,18_100,0.0007,37.5804,0.9830
20,20_010,0.0048,29.0960,0.9648
20,20_020,0.0090,26.4228,0.9529
20,20_030,0.0005,39.1127,0.9836
20,20_040,0.0052,28.7917,0.9372
20,20_050,0.0020,32.8424,0.9490
20,20_060,0.0007,37.5251,0.9718
20,20_070,0.0005,38.7095,0.9631
20,20_080,0.0003,40.7862,0.9761
20,20_090,0.0006,38.3351,0.9670
20,20_100,0.0004,40.3470,0.9731
21,21_010,0.0076,27.1661,0.9582
21,21_020,0.0034,30.6671,0.9573
21,21_030,0.0103,25.8102,0.8885
21,21_040,0.0046,29.3201,0.9075
21,21_050,0.0012,35.0777,0.9526
21,21_060,0.0019,33.1638,0.9317
21,21_070,0.0138,24.5606,0.9231
21,21_080,0.0013,34.9662,0.9603
21,21_090,0.0072,27.4022,0.9336
21,21_100,0.0087,26.5328,0.9224
22,22_010,0.0000,51.1585,0.9962
22,22_020,0.0161,23.8481,0.9320
22,22_030,0.0022,32.4683,0.9739
22,22_040,0.0074,27.2799,0.9415
22,22_050,0.0195,23.0281,0.8976
22,22_060,0.0075,27.1877,0.9125
22,22_070,0.0095,26.1247,0.9161
22,22_080,0.0042,29.6487,0.9364
22,22_090,0.0022,32.5581,0.9436
22,22_100,0.0029,31.2672,0.9365
23,23_010,0.0157,23.9649,0.9107
23,23_020,0.0133,24.6413,0.9393
23,23_030,0.0047,29.2014,0.9513
23,23_040,0.0200,22.9127,0.9177
23,23_050,0.0081,26.8593,0.9354
23,23_060,0.0088,26.4858,0.9573
23,23_070,0.0042,29.7220,0.9608
23,23_080,0.0177,23.4310,0.9376
23,23_090,0.0130,24.7704,0.9567
23,23_100,0.0021,32.6752,0.9534
24,24_010,0.0007,37.4737,0.9854
24,24_020,0.0008,36.9845,0.9715
24,24_030,0.0109,25.5454,0.9384
24,24_040,0.0088,26.4490,0.9380
24,24_050,0.0108,25.6000,0.9301
24,24_060,0.0196,22.9985,0.9025
24,24_070,0.0067,27.6687,0.9368
24,24_080,0.0008,37.0504,0.9690
24,24_090,0.0077,27.0610,0.9103
24,24_100,0.0101,25.8553,0.9115
25,25_010,0.0071,27.4282,0.9516
25,25_020,0.0043,29.5364,0.9286
25,25_030,0.0102,25.8323,0.9172
25,25_040,0.0046,29.3192,0.9429
25,25_050,0.0081,26.8380,0.9221
25,25_060,0.0049,28.9753,0.9429
25,25_070,0.0038,30.0860,0.9403
25,25_080,0.0050,28.8979,0.9305
25,25_090,0.0056,28.4326,0.9134
25,25_100,0.0072,27.3406,0.9378
26,26_010,0.0003,41.4455,0.9839
26,26_020,0.0222,22.4568,0.9235
26,26_030,0.0030,31.1917,0.9486
26,26_040,0.0026,31.8338,0.9304
26,26_050,0.0021,32.5937,0.9395
26,26_060,0.0015,34.0316,0.9590
26,26_070,0.0022,32.4784,0.9505
26,26_080,0.0029,31.2503,0.9336
26,26_090,0.0040,29.8854,0.9416
26,26_099,0.0018,33.2921,0.9531
27,27_010,0.0052,28.7264,0.9600
27,27_020,0.0069,27.5193,0.9541
27,27_030,0.0107,25.6406,0.8863
27,27_040,0.0321,20.8572,0.9063
27,27_050,0.0057,28.3388,0.9477
27,27_060,0.0017,33.7425,0.9627
27,27_070,0.0010,35.7851,0.9683
27,27_080,0.0025,32.0254,0.9374
27,27_090,0.0023,32.3370,0.9401
27,27_100,0.0052,28.7568,0.9273
28,28_010,0.0067,27.6303,0.9533
28,28_020,0.0187,23.2007,0.9184
28,28_030,0.0044,29.5033,0.9683
28,28_040,0.0048,29.0991,0.9411
28,28_050,0.0006,38.4919,0.9684
28,28_060,0.0005,39.0342,0.9749
28,28_070,0.0119,25.1528,0.9423
28,28_080,0.0003,40.5417,0.9795
28,28_090,0.0036,30.3731,0.9577
28,28_100,0.0057,28.3396,0.9310
29,29_010,0.0189,23.1488,0.9144
29,29_020,0.0002,42.8667,0.9851
29,29_030,0.0096,26.1065,0.9541
29,29_040,0.0123,25.0045,0.8991
29,29_050,0.0079,26.9394,0.9328
29,29_060,0.0056,28.4402,0.9253
29,29_070,0.0173,23.5463,0.9005
29,29_080,0.0054,28.6331,0.9470
29,29_090,0.0020,32.9045,0.9582
29,29_098,0.0017,33.4986,0.9394
30,30_010,0.0003,40.9292,0.9842
30,30_020,0.0056,28.4194,0.9687
30,30_030,0.0008,36.8739,0.9779
30,30_040,0.0042,29.6739,0.9733
30,30_050,0.0002,43.5637,0.9880
30,30_060,0.0054,28.5957,0.9595
30,30_070,0.0004,39.5298,0.9685
30,30_080,0.0027,31.5279,0.9729
30,30_090,0.0003,41.5028,0.9802
30,30_100,0.0009,36.5808,0.9807
32,32_010,0.0078,26.9696,0.9605
32,32_020,0.0056,28.4302,0.9681
32,32_030,0.0024,32.0540,0.9849
32,32_040,0.0056,28.4381,0.9671
32,32_050,0.0096,26.1134,0.9575
32,32_060,0.0055,28.4940,0.9684
32,32_070,0.0003,40.9913,0.9932
32,32_080,0.0026,31.7146,0.9834
32,32_090,0.0004,39.5980,0.9885
32,32_100,0.0001,46.3054,0.9916
33,33_010,0.0222,22.4575,0.8937
33,33_020,0.0063,27.8911,0.9372
33,33_030,0.0048,29.1028,0.9702
33,33_040,0.0152,24.0896,0.9314
33,33_050,0.0007,37.3103,0.9759
33,33_060,0.0003,41.3069,0.9838
33,33_070,0.0000,50.9932,0.9958
33,33_080,0.0003,41.5610,0.9863
33,33_090,0.0001,44.8881,0.9917
33,33_100,0.0002,42.8419,0.9876
34,34_010,0.0001,46.4996,0.9914
34,34_020,0.0001,47.5593,0.9927
34,34_030,0.0002,44.0361,0.9922
34,34_040,0.0002,42.6200,0.9837
34,34_050,0.0016,33.9424,0.9765
34,34_060,0.0083,26.7138,0.9506
34,34_070,0.0003,41.3860,0.9862
34,34_080,0.0036,30.3518,0.9617
34,34_090,0.0051,28.8069,0.9400
34,34_100,0.0013,34.6898,0.9677
