Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
1,1,1.53403,2.11245,0.10698,0.0908,16.4282,0.7952
1,2,1.72736,1.97832,0.11390,0.0955,16.1472,0.7847
1,3,1.39372,1.99790,0.10915,0.0886,16.5550,0.7879
1,4,1.42542,1.87243,0.09689,0.0741,17.2611,0.7894
1,5,1.32685,1.81939,0.09304,0.0692,17.5664,0.7885
1,6,1.29430,1.83092,0.09698,0.0723,17.3715,0.7821
1,7,1.36223,1.64071,0.08294,0.0591,18.4252,0.8009
1,8,1.27073,1.61486,0.07561,0.0491,19.1566,0.7972
1,9,1.30527,1.59224,0.07607,0.0482,19.2597,0.7941
1,10,1.27425,1.47977,0.06323,0.0370,20.4378,0.8038
1,11,1.28109,1.53956,0.07040,0.0451,19.8448,0.7967
1,12,1.36509,1.49088,0.06459,0.0401,20.8648,0.8019
1,13,1.48303,1.43762,0.05622,0.0291,21.6751,0.8082
1,14,1.54560,1.30352,0.05113,0.0279,22.4145,0.8187
1,15,1.41088,1.33957,0.05950,0.0393,21.8746,0.8170
1,16,1.41106,1.24298,0.05159,0.0282,22.2565,0.8201
1,17,1.36399,1.19012,0.04443,0.0236,23.1369,0.8266
1,18,1.38317,1.20050,0.04754,0.0294,22.8381,0.8357
1,19,1.41342,1.31653,0.05795,0.0427,20.1009,0.8356
1,20,1.39122,1.19894,0.04779,0.0310,21.9697,0.8413
1,21,1.41050,1.12593,0.04207,0.0247,23.3931,0.8482
1,22,1.39560,1.11850,0.04034,0.0224,23.7394,0.8536
1,23,1.38520,1.16131,0.04525,0.0320,22.8554,0.8550
1,24,1.38124,1.21105,0.04908,0.0364,23.6371,0.8555
1,25,1.37025,1.14999,0.03934,0.0244,25.3744,0.8611
1,26,1.37789,1.16163,0.04370,0.0249,23.4580,0.8578
1,27,1.37693,1.15032,0.04117,0.0269,24.2538,0.8616
1,28,1.40480,1.11006,0.03598,0.0219,25.1727,0.8694
1,29,1.39586,1.03499,0.03191,0.0186,25.0058,0.8781
1,30,1.36536,1.08191,0.03529,0.0219,24.8895,0.8738
1,31,1.36828,1.07594,0.03540,0.0196,24.2921,0.8697
1,32,1.37007,1.16932,0.04644,0.0319,21.9075,0.8627
1,33,1.34579,1.12054,0.03646,0.0199,25.1736,0.8725
1,34,1.37973,1.09908,0.03827,0.0246,24.1939,0.8701
1,35,1.35612,1.02304,0.02902,0.0155,26.2446,0.8916
1,36,1.35727,1.09813,0.03826,0.0269,24.1123,0.8687
1,37,1.36373,1.14769,0.04375,0.0333,23.3481,0.8763
1,38,1.37055,1.08169,0.03484,0.0240,25.2246,0.8756
1,39,1.37972,1.17786,0.04110,0.0290,22.9092,0.8655
1,40,1.40202,1.08306,0.03070,0.0183,25.3598,0.8778
1,41,1.42245,1.07925,0.03305,0.0199,24.9300,0.8718
1,42,1.41091,1.15722,0.04683,0.0378,23.2317,0.8693
1,43,1.36133,1.10252,0.03564,0.0232,24.7655,0.8802
1,44,1.44036,1.13105,0.03871,0.0272,23.2781,0.8757
1,45,1.43845,1.12870,0.03938,0.0293,24.4157,0.8802
1,46,1.44764,1.02978,0.03057,0.0167,26.0046,0.8819
1,47,1.41580,1.10334,0.03810,0.0261,23.6047,0.8700
1,48,1.37914,1.03250,0.03000,0.0210,26.6165,0.8881
1,49,1.38650,1.11234,0.04112,0.0326,24.3538,0.8792
1,50,1.38922,1.05615,0.03449,0.0220,24.9754,0.8879
1,51,1.38363,0.89059,0.01975,0.0090,28.8253,0.9050
1,52,1.37102,1.05916,0.03604,0.0244,25.3800,0.8824
1,53,1.36426,1.08386,0.03608,0.0237,24.1949,0.8841
1,54,1.34557,1.13909,0.03947,0.0286,25.8447,0.8746
