Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1178,15.2046,0.4437,0.81
10,0.1104,15.4875,0.5034,4.08
20,0.1106,15.4809,0.5059,5.28
30,0.1106,15.4806,0.5165,6.58
40,0.1103,15.4920,0.5170,6.75
50,0.1104,15.4901,0.5169,6.76
60,0.1006,15.8926,0.5048,8.13
70,0.1215,15.0714,0.4972,9.38
80,0.0904,16.3545,0.5421,10.82
90,0.0883,16.4559,0.5444,11.31
100,0.0825,16.7535,0.5466,11.83
110,0.0825,16.7524,0.5477,11.90
120,0.0822,16.7711,0.5467,12.01
130,0.0827,16.7425,0.5466,12.12
140,0.0829,16.7303,0.5466,12.22
150,0.0827,16.7452,0.5465,12.28
160,0.0830,16.7278,0.5438,12.21
170,0.0861,16.5670,0.5316,11.88
180,0.0799,16.8947,0.5416,12.01
190,0.0800,16.8880,0.5411,12.01
200,0.0824,16.7582,0.5238,11.12
210,0.0853,16.6070,0.5069,9.42
220,0.0851,16.6187,0.5074,9.22
230,0.0941,16.1815,0.4960,8.39
240,0.0942,16.1771,0.4987,8.52
250,0.0896,16.3966,0.4952,8.03
260,0.0841,16.6712,0.5031,8.50
270,0.0644,17.8284,0.5266,9.69
280,0.0637,17.8776,0.5215,9.71
290,0.0617,18.0177,0.5234,10.30
300,0.0663,17.6999,0.5144,10.74
310,0.0773,17.0368,0.4953,10.51
320,0.0798,16.8993,0.5064,11.52
330,0.0825,16.7523,0.5106,11.83
340,0.0813,16.8173,0.5105,11.82
350,0.0740,17.2240,0.5183,12.41
360,0.0639,17.8601,0.5464,14.13
370,0.0638,17.8675,0.5515,14.32
380,0.0610,18.0654,0.5546,14.43
390,0.0640,17.8530,0.5634,14.79
400,0.0644,17.8317,0.5652,15.08
410,0.0653,17.7672,0.5498,13.87
420,0.0656,17.7482,0.5478,13.84
430,0.0666,17.6828,0.5346,13.33
440,0.0619,17.9995,0.5476,13.37
450,0.0588,18.2216,0.5656,14.26
460,0.0588,18.2217,0.5651,13.98
470,0.0585,18.2485,0.5648,13.72
480,0.0577,18.3079,0.5638,13.55
490,0.0574,18.3256,0.5571,13.57
500,0.3560,10.4376,0.1987,12.12
510,0.3232,10.8572,0.2141,12.03
520,0.3167,10.9458,0.2292,12.97
530,0.3147,10.9727,0.2296,12.67
540,0.3119,11.0114,0.2377,12.69
550,0.2859,11.3899,0.2579,13.17
560,0.2686,11.6608,0.2936,14.83
570,0.2687,11.6603,0.2979,15.48
580,0.2664,11.6974,0.2991,15.51
590,0.2657,11.7079,0.2985,15.37
600,0.2686,11.6606,0.2954,14.67
610,0.2607,11.7900,0.3030,14.09
620,0.2601,11.8009,0.3056,14.63
630,0.2441,12.0760,0.3077,13.90
640,0.2490,11.9910,0.3071,13.52
650,0.2441,12.0767,0.3040,13.11
660,0.2403,12.1441,0.3027,13.33
670,0.2504,11.9660,0.2991,12.66
680,0.2332,12.2745,0.3092,12.51
690,0.2317,12.3020,0.3126,12.56
700,0.2314,12.3084,0.3154,12.84
710,0.2305,12.3254,0.3165,13.13
720,0.2305,12.3264,0.3114,12.52
730,0.2316,12.3043,0.3092,12.34
740,0.2418,12.1176,0.3018,12.00
750,0.2418,12.1175,0.2949,11.21
760,0.2443,12.0735,0.2858,10.57
770,0.2500,11.9725,0.2822,9.95
780,0.2500,11.9722,0.2822,9.95
790,0.2501,11.9706,0.2820,9.95
800,0.2501,11.9706,0.2820,9.95
810,0.2489,11.9924,0.2801,9.12
820,0.2490,11.9901,0.2802,8.89
830,0.2502,11.9696,0.2736,8.28
840,0.2498,11.9768,0.2733,7.93
850,0.2514,11.9490,0.2704,7.88
860,0.2530,11.9218,0.2744,8.73
870,0.2506,11.9622,0.2775,8.90
880,0.2511,11.9534,0.2732,8.54
890,0.2611,11.7843,0.2657,7.59
900,0.2631,11.7514,0.2626,6.77
910,0.2636,11.7433,0.2601,6.58
920,0.2642,11.7335,0.2609,6.57
930,0.2643,11.7316,0.2610,6.59
940,0.2848,11.4062,0.2589,5.99
950,0.2970,11.2246,0.2511,5.83
960,0.3269,10.8074,0.2635,7.36
970,0.2735,11.5819,0.2849,9.50
980,0.2218,12.4917,0.2985,10.59
990,0.2046,12.8439,0.3188,12.37
