Step,MSE,PSNR,SSIM,Percentage Explored
0,0.0675,17.5900,0.4963,0.81
10,0.0636,17.8481,0.5287,2.79
20,0.0626,17.9149,0.5513,4.34
30,0.0617,17.9809,0.5549,4.73
40,0.0610,18.0317,0.5616,5.68
50,0.0607,18.0536,0.5601,6.51
60,0.0604,18.0761,0.5613,6.27
70,0.0603,18.0795,0.5617,6.38
80,0.0602,18.0884,0.5640,6.99
90,0.0602,18.0905,0.5648,7.02
100,0.0636,17.8460,0.5370,6.04
110,0.0591,18.1643,0.5630,7.42
120,0.0591,18.1692,0.5603,7.81
130,0.0590,18.1749,0.5629,8.04
140,0.0600,18.1051,0.5566,6.87
150,0.0610,18.0279,0.5554,6.25
160,0.0616,17.9889,0.5557,5.90
170,0.0612,18.0152,0.5578,5.77
180,0.0604,18.0696,0.5563,5.75
190,0.0630,17.8922,0.5373,5.26
200,0.0626,17.9183,0.5486,5.52
210,0.0629,17.8993,0.5436,5.76
220,0.0602,18.0871,0.5633,6.90
230,0.0587,18.1971,0.5705,7.25
240,0.0574,18.2931,0.5798,7.69
250,0.0574,18.2969,0.5804,7.48
260,0.0624,17.9341,0.5527,5.72
270,0.0630,17.8908,0.5406,4.52
280,0.0634,17.8626,0.5396,4.71
290,0.0647,17.7727,0.5173,3.99
300,0.0648,17.7674,0.5171,3.88
310,0.0646,17.7836,0.5200,3.54
320,0.0638,17.8364,0.5300,3.93
330,0.0628,17.9006,0.5536,4.82
340,0.0611,18.0218,0.5625,6.17
350,0.0576,18.2765,0.5805,6.93
360,0.0569,18.3344,0.5839,7.32
370,0.0558,18.4187,0.5812,7.84
380,0.0555,18.4396,0.5951,9.36
390,0.0581,18.2436,0.5838,9.89
400,0.0626,17.9203,0.5706,8.62
410,0.0646,17.7778,0.5618,7.39
420,0.0657,17.7053,0.5491,7.93
430,0.0613,18.0097,0.5774,8.62
440,0.0678,17.5681,0.5594,7.98
450,0.0625,17.9266,0.5722,7.35
460,0.0652,17.7423,0.5694,7.55
470,0.0577,18.2740,0.6151,9.86
480,0.0553,18.4533,0.6185,10.49
490,0.0518,18.7364,0.6434,11.99
500,0.1299,14.7827,0.4584,10.93
510,0.1298,14.7847,0.4494,9.72
520,0.1116,15.4396,0.4595,9.43
530,0.0896,16.3962,0.4717,9.37
540,0.0911,16.3232,0.4672,9.01
550,0.0912,16.3161,0.4638,8.65
560,0.0925,16.2567,0.4630,6.27
570,0.0889,16.4293,0.4758,7.58
580,0.0902,16.3672,0.4822,7.84
590,0.0837,16.6894,0.4959,8.61
600,0.0896,16.3926,0.4908,8.17
610,0.0922,16.2727,0.4883,9.35
620,0.0967,16.0618,0.4770,9.05
630,0.1021,15.8267,0.4832,9.60
640,0.1030,15.7886,0.4609,8.62
650,0.1003,15.9069,0.4559,8.18
660,0.1327,14.6884,0.4063,7.10
670,0.1169,15.2405,0.4208,6.69
680,0.1218,15.0630,0.4172,6.36
690,0.1254,14.9356,0.4143,6.48
700,0.1234,15.0057,0.4171,6.49
710,0.1253,14.9376,0.4211,6.73
720,0.1264,14.9006,0.4170,6.25
730,0.1148,15.3187,0.4287,5.64
740,0.1277,14.8548,0.4190,5.37
750,0.1262,14.9074,0.4216,6.49
760,0.1286,14.8241,0.4286,7.68
770,0.1255,14.9319,0.4380,8.22
780,0.1130,15.3877,0.4520,8.08
790,0.1119,15.4310,0.4460,7.73
800,0.1123,15.4154,0.4429,7.55
810,0.1138,15.3583,0.4435,7.39
820,0.1101,15.4990,0.4427,6.07
830,0.1189,15.1646,0.4371,5.49
840,0.1141,15.3437,0.4304,6.78
850,0.1133,15.3771,0.4383,7.71
860,0.1110,15.4655,0.4372,8.16
870,0.1213,15.0800,0.4328,8.92
880,0.1119,15.4304,0.4409,9.51
890,0.1059,15.6678,0.4507,9.91
900,0.0988,15.9719,0.4920,10.88
910,0.0856,16.5945,0.5156,12.46
920,0.0838,16.6830,0.5045,11.89
930,0.0834,16.7064,0.5173,12.66
940,0.0823,16.7614,0.5210,12.09
950,0.0876,16.4931,0.5030,11.40
960,0.0802,16.8763,0.5325,11.33
970,0.0842,16.6642,0.5227,10.80
980,0.1066,15.6417,0.5017,10.24
990,0.0844,16.6554,0.5138,10.66
