Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1117,15.4384,0.4694,0.81
10,0.1098,15.5123,0.4808,2.44
20,0.1084,15.5694,0.4903,3.35
30,0.1068,15.6314,0.5059,4.32
40,0.1046,15.7227,0.5320,6.20
50,0.1046,15.7224,0.5328,6.36
60,0.1046,15.7211,0.5311,6.58
70,0.1046,15.7242,0.5344,7.08
80,0.1046,15.7244,0.5346,7.18
90,0.1037,15.7610,0.5385,7.48
100,0.1033,15.7764,0.5433,7.87
110,0.1029,15.7957,0.5497,8.42
120,0.1004,15.9022,0.5629,9.55
130,0.0998,15.9260,0.5647,10.58
140,0.0995,15.9394,0.5722,11.52
150,0.1019,15.8367,0.5646,12.11
160,0.1008,15.8826,0.5697,12.65
170,0.0973,16.0372,0.5804,13.18
180,0.0968,16.0613,0.5809,13.10
190,0.0962,16.0838,0.5876,13.34
200,0.0936,16.2028,0.5969,13.79
210,0.0942,16.1787,0.5809,12.73
220,0.0946,16.1592,0.5811,13.00
230,0.0964,16.0773,0.5793,13.25
240,0.0951,16.1363,0.5883,14.30
250,0.0951,16.1364,0.5895,14.38
260,0.0951,16.1364,0.5901,15.13
270,0.0954,16.1213,0.5846,15.32
280,0.0962,16.0876,0.5792,15.87
290,0.0964,16.0789,0.5778,15.59
300,0.0968,16.0605,0.5741,15.17
310,0.1006,15.8932,0.5500,13.15
320,0.1029,15.7936,0.5312,12.24
330,0.1029,15.7926,0.5312,12.25
340,0.1029,15.7929,0.5312,12.26
350,0.1039,15.7532,0.5263,11.58
360,0.1040,15.7487,0.5260,11.48
370,0.1042,15.7407,0.5254,11.45
380,0.1041,15.7429,0.5255,11.32
390,0.1052,15.6993,0.5146,10.20
400,0.1071,15.6213,0.5001,10.17
410,0.1072,15.6145,0.5105,10.76
420,0.1051,15.7019,0.5241,11.81
430,0.1034,15.7719,0.5242,11.86
440,0.1034,15.7717,0.5223,11.00
450,0.1057,15.6758,0.5229,10.96
460,0.1057,15.6762,0.5188,10.59
470,0.1065,15.6452,0.5106,9.80
480,0.1065,15.6444,0.5113,10.02
490,0.1065,15.6445,0.5116,10.04
500,0.3506,10.5036,0.2067,9.90
510,0.3504,10.5060,0.2086,9.89
520,0.3503,10.5073,0.2108,9.86
530,0.3502,10.5096,0.2176,9.31
540,0.3500,10.5112,0.2191,9.31
550,0.3490,10.5238,0.2240,9.33
560,0.3491,10.5228,0.2280,9.57
570,0.3453,10.5704,0.2372,9.99
580,0.3447,10.5782,0.2439,9.70
590,0.3424,10.6071,0.2437,9.32
600,0.3443,10.5827,0.2415,9.05
610,0.3418,10.6147,0.2421,8.88
620,0.3349,10.7026,0.2461,8.45
630,0.3362,10.6867,0.2418,7.85
640,0.3083,11.0621,0.2542,8.63
650,0.2967,11.2296,0.2580,8.70
660,0.2811,11.4642,0.2692,9.63
670,0.2756,11.5489,0.2755,10.05
680,0.2714,11.6163,0.2710,10.14
690,0.2590,11.8195,0.2768,11.28
700,0.2247,12.4370,0.3002,13.10
710,0.2065,12.8037,0.3147,14.55
720,0.1903,13.1567,0.3594,16.39
730,0.1712,13.6161,0.3793,17.86
740,0.1619,13.8586,0.3919,18.90
750,0.1624,13.8460,0.3916,19.26
760,0.1505,14.1763,0.3937,19.58
770,0.1520,14.1343,0.3888,19.67
780,0.1542,14.0716,0.3815,18.95
790,0.1525,14.1205,0.3844,19.95
800,0.1468,14.2839,0.4059,21.68
810,0.1539,14.0801,0.4208,22.81
820,0.1545,14.0636,0.4171,22.22
830,0.1572,13.9890,0.4093,20.76
840,0.1711,13.6205,0.3830,18.62
850,0.1771,13.4690,0.3648,17.86
860,0.1798,13.4054,0.3632,17.70
870,0.1730,13.5726,0.3721,18.15
880,0.1797,13.4067,0.3697,17.46
890,0.1755,13.5085,0.3770,17.10
900,0.1766,13.4832,0.3798,17.48
910,0.1789,13.4272,0.3798,17.96
920,0.1764,13.4874,0.3926,19.11
930,0.1627,13.8392,0.4000,19.63
940,0.1526,14.1174,0.4034,20.00
950,0.1503,14.1813,0.4069,20.18
960,0.1470,14.2791,0.4233,20.85
970,0.1451,14.3343,0.4340,21.33
980,0.1564,14.0096,0.4269,20.89
990,0.1557,14.0301,0.4114,19.48
