Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1248,14.9573,0.4215,0.75
10,0.1139,15.3516,0.4510,1.82
20,0.1160,15.2748,0.4397,2.77
30,0.1145,15.3308,0.4500,3.73
40,0.1092,15.5347,0.4680,4.75
50,0.1083,15.5727,0.4785,6.01
60,0.1057,15.6766,0.4864,8.15
70,0.0993,15.9499,0.5097,9.97
80,0.0952,16.1293,0.5455,11.33
90,0.0984,15.9900,0.5606,13.91
100,0.0988,15.9684,0.5646,14.58
110,0.0987,15.9749,0.5702,15.92
120,0.0989,15.9637,0.5660,16.45
130,0.0997,15.9306,0.5573,16.91
140,0.0996,15.9359,0.5677,16.89
150,0.0998,15.9265,0.5698,18.12
160,0.1003,15.9032,0.5737,18.74
170,0.1011,15.8699,0.5729,18.87
180,0.1011,15.8697,0.5721,18.57
190,0.0903,16.3606,0.5751,18.36
200,0.0937,16.2014,0.5706,18.74
210,0.0936,16.2048,0.5715,20.49
220,0.0940,16.1844,0.5699,20.45
230,0.0940,16.1875,0.5676,19.60
240,0.0951,16.1353,0.5619,18.02
250,0.0990,15.9599,0.5355,16.03
260,0.1034,15.7735,0.5248,14.25
270,0.1027,15.8005,0.5225,13.75
280,0.1027,15.8031,0.5190,12.80
290,0.1082,15.5740,0.5184,12.02
300,0.1092,15.5355,0.5102,9.98
310,0.1095,15.5217,0.5120,9.07
320,0.1096,15.5195,0.5104,8.58
330,0.1095,15.5229,0.5108,8.30
340,0.1098,15.5099,0.5065,8.06
350,0.1109,15.4686,0.4920,7.83
360,0.1108,15.4724,0.4939,7.81
370,0.1136,15.3627,0.4836,8.13
380,0.1100,15.5030,0.5040,8.72
390,0.1080,15.5826,0.5043,8.91
400,0.1087,15.5548,0.4986,8.41
410,0.1081,15.5792,0.5025,8.46
420,0.1081,15.5785,0.5021,8.51
430,0.1081,15.5809,0.5036,8.65
440,0.1080,15.5826,0.5023,8.68
450,0.1077,15.5962,0.5058,9.75
460,0.1076,15.5995,0.5068,10.11
470,0.1076,15.5978,0.5065,9.96
480,0.1079,15.5884,0.5056,9.76
490,0.1102,15.4947,0.5025,9.34
500,0.3542,10.4599,0.2245,9.60
510,0.3497,10.5148,0.2313,9.69
520,0.3548,10.4518,0.2291,9.87
530,0.3282,10.7903,0.2520,11.12
540,0.3096,11.0442,0.2655,12.04
550,0.3097,11.0422,0.2625,11.76
560,0.3012,11.1642,0.2672,11.61
570,0.2878,11.3617,0.2747,12.08
580,0.2854,11.3971,0.2789,12.07
590,0.2751,11.5570,0.2815,10.73
600,0.2588,11.8225,0.2831,9.83
610,0.2597,11.8073,0.2828,9.82
620,0.2597,11.8074,0.2844,9.76
630,0.2511,11.9534,0.2837,9.86
640,0.2508,11.9591,0.2862,9.95
650,0.2508,11.9586,0.2852,10.30
660,0.2522,11.9356,0.2824,10.35
670,0.2516,11.9443,0.2844,10.61
680,0.2551,11.8847,0.2825,10.70
690,0.2550,11.8860,0.2848,11.08
700,0.2608,11.7888,0.2785,10.61
710,0.2610,11.7865,0.2781,10.59
720,0.2610,11.7855,0.2778,10.34
730,0.2703,11.6338,0.2749,9.69
740,0.2712,11.6197,0.2702,9.84
750,0.2703,11.6339,0.2746,10.02
760,0.2703,11.6333,0.2755,9.79
770,0.2691,11.6530,0.2718,9.20
780,0.2741,11.5731,0.2667,8.56
790,0.2962,11.2357,0.2567,8.20
800,0.2992,11.1933,0.2539,8.48
810,0.2992,11.1931,0.2532,8.42
820,0.2982,11.2070,0.2541,8.53
830,0.2981,11.2090,0.2544,8.40
840,0.2979,11.2108,0.2545,8.30
850,0.3015,11.1589,0.2509,7.90
860,0.2972,11.2212,0.2527,8.12
870,0.2736,11.5816,0.2595,8.35
880,0.2699,11.6403,0.2669,9.12
890,0.2660,11.7039,0.2717,9.52
900,0.2658,11.7070,0.2727,9.78
910,0.2719,11.6080,0.2693,9.38
920,0.2647,11.7253,0.2727,9.47
930,0.2647,11.7253,0.2727,9.47
940,0.2651,11.7180,0.2706,9.21
950,0.2644,11.7295,0.2653,8.47
960,0.2716,11.6135,0.2567,8.03
970,0.2653,11.7144,0.2577,7.73
980,0.2722,11.6035,0.2606,7.64
990,0.2648,11.7231,0.2651,7.67
